# Sat Aug 29 12:07:23 2020
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
100 1 0 1 0 0 
200 1 0 1 0 0 
300 1 0 1 0 0 
400 1 0 1 0 0 
500 1 0 1 0 0 
600 1 0 1 0 0 
700 1 0 1 0 0 
800 1 0 1 0 0 
900 1 0 1 0 0 
1000 1 0 1 0 0 
1100 1 0 1 0 0 
1200 1 0 1 0 0 
1300 1 0 1 0 0 
1400 1 0 1 0 0 
1500 1 0 1 0 0 
1600 1 0 1 0 0 
1700 1 0 1 0 0 
1800 1 0 1 0 0 
1900 1 0 1 0 0 
2000 1 0 1 0 0 
2100 1 0 1 0 0 
2200 1 0 1 0 0 
2300 1 0 1 0 0 
2400 1 0 1 0 0 
2500 1 0 1 0 0 
2600 1 0 1 0 0 
2700 1 0 1 0 0 
2800 1 0 1 0 0 
2900 1 0 1 0 0 
3000 1 0 1 0 0 
3100 2 0.0707393 2 0 0.00850917 
3200 2 0.127953 2 0 0.0176359 
3300 2 0.202117 2 0 0.0315521 
3400 2 0.278077 2 0 0.048055 
3500 2 0.385684 2 0 0.0753792 
3600 2 0.469785 2 0 0.100249 
3700 2 0.544089 2 0 0.125187 
3800 2 0.642468 2 0 0.163437 
3900 2 0.721676 2 0 0.199874 
4000 2 0.786846 2 0 0.235129 
4100 2 0.833611 2 0 0.264601 
4200 2 0.894142 2 0 0.310841 
4300 2 0.940728 2 0 0.357665 
4400 2 0.976185 2 0 0.409401 
4500 2 0.99909 2 0 0.482243 
4600 2 0.989836 2 0 0.55928 
4700 2 0.960763 2 0 0.61608 
4800 2 0.954354 2 0 0.625109 
4900 2 0.967138 2 0 0.606312 
5000 2 0.973244 2 0 0.595998 
5100 2 0.962252 2 0 0.613877 
5200 2 0.946261 2 0 0.635617 
5300 2 0.913121 2 0 0.671757 
5400 2 0.876742 2 0 0.703683 
5500 2 0.863969 2 0 0.713643 
5600 2 0.852569 2 0 0.722103 
5700 2 0.859472 2 0 0.717026 
5800 2 0.870581 2 0 0.708554 
5900 2 0.873726 2 0 0.706084 
6000 2 0.866638 2 0 0.711606 
6100 2 0.852377 2 0 0.722243 
6200 2 0.842027 2 0 0.729608 
6300 2 0.829673 2 0 0.738051 
6400 2 0.846152 2 0 0.726706 
6500 2 0.843959 2 0 0.728254 
6600 2 0.84401 2 0 0.728218 
6700 2 0.837068 2 0 0.73304 
6800 2 0.84903 2 0 0.724655 
6900 2 0.849995 2 0 0.723962 
7000 2 0.856411 2 0 0.719294 
7100 2 0.863952 2 0 0.713655 
7200 2 0.852457 2 0 0.722185 
7300 2 0.844803 2 0 0.72766 
7400 2 0.858439 2 0 0.717794 
7500 2 0.861759 2 0 0.715313 
7600 2 0.862026 2 0 0.715112 
7700 2 0.878842 2 0 0.701992 
7800 2 0.87538 2 0 0.704771 
7900 2 0.873281 2 0 0.706436 
8000 2 0.8671 2 0 0.711251 
8100 2 0.875563 2 0 0.704625 
8200 2 0.884512 2 0 0.697345 
8300 2 0.890746 2 0 0.69209 
8400 2 0.89096 2 0 0.691907 
8500 2 0.897362 2 0 0.686333 
8600 2 0.899853 2 0 0.684112 
8700 2 0.900065 2 0 0.683923 
8800 2 0.902914 2 0 0.681344 
8900 2 0.910575 2 0 0.674202 
9000 2 0.90333 2 0 0.680964 
9100 2 0.906241 2 0 0.678281 
9200 2 0.902486 2 0 0.681734 
9300 2 0.893372 2 0 0.689828 
9400 2 0.893621 2 0 0.689612 
9500 2 0.90003 2 0 0.683953 
9600 2 0.906951 2 0 0.67762 
9700 2 0.918863 2 0 0.666098 
9800 2 0.922625 2 0 0.662275 
9900 2 0.915287 2 0 0.669646 
10000 2 0.921038 2 0 0.6639 
10100 2 0.915183 2 0 0.669749 
10200 2 0.914962 2 0 0.669965 
10300 2 0.918446 2 0 0.666516 
10400 2 0.914142 2 0 0.670766 
10500 2 0.906272 2 0 0.678252 
10600 2 0.89825 2 0 0.685544 
10700 2 0.897739 2 0 0.685998 
10800 2 0.913652 2 0 0.671242 
10900 2 0.919587 2 0 0.66537 
11000 2 0.926237 2 0 0.65851 
11100 2 0.926204 2 0 0.658545 
11200 2 0.928642 2 0 0.65595 
11300 2 0.927111 2 0 0.657584 
11400 2 0.931455 2 0 0.652896 
11500 2 0.921727 2 0 0.663197 
11600 2 0.915891 2 0 0.669053 
11700 2 0.91752 2 0 0.667441 
11800 2 0.919724 2 0 0.665232 
11900 2 0.925932 2 0 0.658832 
12000 2 0.924342 2 0 0.660497 
12100 2 0.923293 2 0 0.661586 
12200 2 0.924725 2 0 0.660098 
12300 2 0.928821 2 0 0.655757 
12400 2 0.943891 2 0 0.638537 
12500 2 0.940215 2 0 0.642941 
12600 2 0.941032 2 0 0.641974 
12700 2 0.934516 2 0 0.649498 
12800 2 0.91977 2 0 0.665185 
12900 2 0.913426 2 0 0.671462 
13000 2 0.913289 2 0 0.671594 
13100 2 0.917279 2 0 0.66768 
13200 2 0.926286 2 0 0.658459 
13300 2 0.929685 2 0 0.654825 
13400 2 0.929377 2 0 0.655158 
13500 2 0.929503 2 0 0.655022 
13600 2 0.937738 2 0 0.645829 
13700 2 0.94403 2 0 0.638367 
13800 2 0.94552 2 0 0.636537 
13900 2 0.938956 2 0 0.644416 
14000 2 0.929288 2 0 0.655254 
14100 2 0.917567 2 0 0.667394 
14200 2 0.916368 2 0 0.668582 
14300 2 0.913269 2 0 0.671613 
14400 2 0.915542 2 0 0.669396 
14500 2 0.918963 2 0 0.665998 
14600 2 0.922988 2 0 0.661901 
14700 2 0.93714 2 0 0.646517 
14800 2 0.943388 2 0 0.639149 
14900 2 0.940585 2 0 0.642504 
15000 2 0.944044 2 0 0.63835 
15100 2 0.935194 2 0 0.648733 
15200 2 0.919751 2 0 0.665205 
15300 2 0.910226 2 0 0.674535 
15400 2 0.91414 2 0 0.670768 
15500 2 0.92534 2 0 0.659454 
15600 2 0.935416 2 0 0.648482 
15700 2 0.942012 2 0 0.640806 
15800 2 0.936183 2 0 0.647611 
15900 2 0.918567 2 0 0.666395 
16000 2 0.906441 2 0 0.678095 
16100 2 0.91152 2 0 0.673299 
16200 2 0.914325 2 0 0.670587 
