# Avida Dominant Parasite Data
# Sat Aug 29 12:07:47 2020
#  1: Update
#  2: Number of Extant Parasites

0 0 
100 0 
200 0 
300 0 
400 0 
500 0 
600 0 
700 0 
800 0 
900 0 
1000 0 
1100 0 
1200 0 
1300 0 
1400 0 
1500 0 
1600 0 
1700 0 
1800 0 
1900 0 
2000 0 
2100 0 
2200 0 
2300 0 
2400 0 
2500 0 
2600 0 
2700 0 
2800 0 
2900 0 
3000 0 
3100 273 
3200 479 
3300 813 
3400 1296 
3500 2210 
3600 3376 
3700 4657 
3800 6722 
3900 9212 
4000 11474 
4100 13622 
4200 13958 
4300 13015 
4400 11739 
4500 10977 
4600 10957 
4700 11892 
4800 12958 
4900 13471 
5000 13553 
5100 13187 
5200 12753 
5300 12698 
5400 13024 
5500 13229 
5600 13349 
5700 13073 
5800 12876 
5900 12649 
6000 12681 
6100 12554 
6200 12459 
6300 12321 
6400 12366 
6500 12177 
6600 12184 
6700 12217 
6800 12227 
6900 11932 
7000 11757 
7100 11585 
7200 11441 
7300 11376 
7400 11317 
7500 11259 
7600 11216 
7700 11178 
7800 11108 
7900 10905 
8000 10877 
8100 10811 
8200 10698 
8300 10596 
8400 10501 
8500 10455 
8600 10349 
8700 10352 
8800 10078 
8900 10050 
9000 10148 
9100 10309 
9200 10481 
9300 10469 
9400 10329 
9500 9935 
9600 9630 
9700 9441 
9800 9565 
9900 9784 
10000 10256 
10100 10448 
10200 10259 
10300 10126 
10400 10002 
10500 9843 
10600 9631 
10700 9309 
10800 9446 
10900 9526 
11000 9521 
11100 9508 
11200 9556 
11300 9731 
11400 9800 
11500 9877 
11600 9820 
11700 9510 
11800 9450 
11900 9175 
12000 9108 
12100 9196 
12200 9294 
12300 9341 
12400 9232 
12500 9438 
12600 9433 
12700 9437 
12800 9313 
12900 9310 
13000 9357 
13100 9454 
13200 9555 
13300 9732 
13400 9852 
13500 9837 
13600 9691 
13700 9618 
13800 9412 
13900 9234 
14000 9092 
14100 9297 
14200 9231 
14300 9231 
14400 9225 
14500 9195 
14600 9384 
14700 9533 
14800 9873 
14900 9891 
15000 9889 
15100 9863 
15200 9586 
15300 9295 
15400 9228 
15500 8844 
15600 8715 
15700 8460 
15800 8497 
15900 8910 
16000 9340 
16100 9703 
16200 9656 
16300 9672 
16400 9459 
16500 9310 
16600 9101 
16700 8839 
16800 8768 
16900 8776 
17000 8829 
17100 8874 
17200 8971 
17300 9073 
17400 9209 
17500 9356 
17600 9401 
17700 9346 
17800 9283 
17900 9547 
18000 9441 
18100 9389 
18200 9151 
18300 9088 
18400 9175 
18500 9197 
18600 9009 
18700 8791 
18800 8616 
18900 8670 
19000 8827 
19100 9089 
19200 9351 
19300 9483 
19400 9595 
19500 9505 
19600 9326 
19700 9049 
19800 8910 
19900 8853 
20000 8955 
20100 8961 
20200 9071 
20300 9021 
20400 9216 
20500 9454 
20600 9452 
20700 9491 
20800 9200 
20900 9143 
21000 9261 
21100 9202 
21200 9100 
21300 8818 
21400 8849 
21500 8750 
21600 8692 
21700 8680 
21800 8558 
21900 8696 
22000 8919 
22100 9145 
22200 9611 
22300 9571 
22400 9711 
22500 9549 
22600 9482 
22700 9367 
22800 9218 
22900 9114 
23000 9094 
23100 9057 
23200 8840 
23300 8634 
23400 8583 
23500 8679 
23600 8819 
23700 9014 
23800 9137 
23900 9375 
24000 9550 
24100 9675 
24200 9733 
24300 9585 
24400 9263 
24500 8946 
24600 8738 
24700 8603 
24800 8648 
24900 8839 
25000 9005 
25100 9003 
25200 9131 
25300 9337 
25400 9495 
25500 9573 
25600 9445 
25700 9206 
25800 8876 
25900 8668 
26000 8588 
26100 8511 
26200 8513 
26300 8637 
26400 8830 
26500 9203 
26600 9490 
26700 9715 
26800 9675 
26900 9716 
27000 9504 
27100 9435 
27200 9140 
27300 8843 
27400 8418 
27500 8323 
27600 8407 
27700 8679 
27800 9063 
27900 9344 
28000 9515 
28100 9757 
28200 9913 
28300 10055 
28400 9777 
28500 9258 
28600 8849 
28700 8820 
28800 8834 
28900 8895 
29000 9052 
29100 9184 
29200 9306 
29300 9351 
29400 9458 
29500 9602 
29600 9707 
29700 9724 
29800 9604 
29900 9514 
30000 9202 
30100 9045 
30200 8825 
30300 8707 
30400 8738 
30500 8858 
30600 8961 
30700 9105 
30800 9131 
30900 9168 
31000 9120 
31100 9286 
31200 9358 
31300 9547 
31400 9423 
31500 9363 
31600 9284 
31700 9317 
31800 9200 
31900 9097 
32000 9021 
32100 9069 
32200 9272 
32300 9222 
32400 9210 
32500 9237 
32600 9318 
32700 9502 
32800 9579 
32900 9672 
33000 9782 
33100 9624 
33200 9595 
33300 9386 
33400 9497 
33500 9536 
33600 9412 
33700 9252 
33800 9063 
33900 9007 
34000 9162 
34100 9331 
34200 9447 
34300 9336 
34400 9047 
34500 8972 
34600 9150 
34700 9274 
34800 9421 
34900 9519 
35000 9530 
35100 9523 
35200 9464 
35300 9382 
35400 9217 
35500 9140 
35600 9043 
35700 8787 
35800 8819 
35900 8762 
36000 8753 
36100 8850 
36200 9110 
36300 9150 
36400 9289 
36500 9340 
36600 9240 
36700 9203 
36800 9099 
36900 9037 
37000 9011 
37100 9020 
37200 8973 
37300 8759 
37400 8787 
37500 8835 
37600 9183 
37700 9428 
37800 9484 
37900 9441 
38000 9164 
38100 9027 
38200 8913 
38300 8855 
38400 9072 
38500 9307 
38600 9449 
38700 9236 
38800 9080 
38900 8854 
39000 8857 
39100 9046 
39200 9081 
39300 9099 
39400 8928 
39500 9231 
39600 9418 
39700 9593 
39800 9686 
39900 9523 
40000 9627 
40100 9618 
40200 9677 
40300 9592 
40400 9439 
40500 9250 
40600 9261 
40700 9292 
40800 9545 
40900 9455 
41000 9558 
41100 9532 
41200 9348 
41300 9174 
41400 9119 
41500 9157 
41600 8929 
41700 9057 
41800 9180 
41900 9294 
42000 9360 
42100 9336 
42200 9478 
42300 9523 
42400 9561 
42500 9411 
42600 9288 
42700 9244 
42800 9161 
42900 9233 
43000 9128 
43100 9154 
43200 9376 
43300 9532 
43400 9843 
43500 9915 
43600 10038 
43700 9883 
43800 9459 
43900 9080 
44000 8913 
44100 8884 
44200 9030 
44300 9153 
44400 9448 
44500 9487 
44600 9457 
44700 9322 
44800 9275 
44900 9473 
45000 9608 
45100 9897 
45200 9880 
45300 9825 
45400 9678 
45500 9499 
45600 9296 
45700 9188 
45800 8895 
45900 8732 
46000 8630 
46100 8766 
46200 8977 
46300 9209 
46400 9087 
46500 9429 
46600 9549 
46700 9868 
46800 9986 
46900 9891 
47000 9764 
47100 9551 
47200 9475 
47300 9433 
47400 9458 
47500 9238 
47600 9197 
47700 9128 
47800 9107 
47900 9052 
48000 9045 
48100 9208 
48200 9407 
48300 9456 
48400 9543 
48500 9560 
48600 9441 
48700 9311 
48800 9341 
48900 9237 
49000 9242 
49100 9257 
49200 9430 
49300 9500 
49400 9536 
49500 9617 
49600 9472 
49700 9538 
49800 9230 
49900 9173 
50000 8997 
50100 8957 
50200 9028 
50300 9130 
50400 9406 
50500 9533 
50600 9484 
50700 9383 
50800 9266 
50900 9214 
51000 9004 
51100 8964 
51200 8928 
51300 8931 
51400 8858 
51500 8998 
51600 9035 
51700 9109 
51800 9260 
51900 9535 
52000 9617 
52100 9684 
52200 9349 
52300 9174 
52400 8987 
52500 9057 
52600 9190 
52700 9303 
52800 9455 
52900 9267 
53000 9348 
53100 9274 
53200 9186 
53300 9191 
53400 9335 
53500 9417 
53600 9522 
53700 9511 
53800 9737 
53900 9610 
54000 9310 
54100 8897 
54200 8612 
54300 8642 
54400 8914 
54500 9081 
54600 9124 
54700 9143 
54800 9210 
54900 9522 
55000 9584 
55100 9555 
55200 9281 
55300 9014 
55400 8821 
55500 8784 
55600 8857 
55700 9080 
55800 9418 
55900 9515 
56000 9564 
56100 9413 
56200 9336 
56300 9416 
56400 9449 
56500 9365 
56600 9238 
56700 9102 
56800 9148 
56900 9012 
57000 8944 
57100 8923 
57200 8894 
57300 8787 
57400 8609 
57500 8607 
57600 8792 
57700 8851 
57800 8859 
57900 8730 
58000 9137 
58100 9284 
58200 9562 
58300 9753 
58400 9729 
58500 9601 
58600 9423 
58700 9120 
58800 8832 
58900 8682 
59000 8708 
59100 8697 
59200 8716 
59300 8826 
59400 9030 
59500 9201 
59600 9203 
59700 9274 
59800 9242 
59900 9247 
60000 9321 
60100 9407 
60200 9488 
60300 9384 
60400 9079 
60500 9037 
60600 8972 
60700 8806 
60800 8749 
60900 8915 
61000 9100 
61100 9153 
61200 9340 
61300 9321 
61400 9166 
61500 9056 
61600 8929 
61700 8840 
61800 8710 
61900 8818 
62000 9003 
62100 9321 
62200 9452 
62300 9439 
62400 9191 
62500 8692 
62600 8091 
62700 7875 
62800 7992 
62900 8485 
63000 8886 
63100 9444 
63200 9534 
63300 9581 
63400 9496 
63500 9156 
63600 8953 
63700 8952 
63800 8980 
63900 8920 
64000 8980 
64100 8983 
64200 8957 
64300 8938 
64400 8973 
64500 9111 
64600 9269 
64700 9215 
64800 9157 
64900 9007 
65000 9032 
65100 9220 
65200 9329 
65300 9426 
65400 9311 
65500 9178 
65600 9011 
65700 8902 
65800 8833 
65900 8871 
66000 8729 
66100 8625 
66200 8458 
66300 8327 
66400 8505 
66500 8648 
66600 8787 
66700 9090 
66800 9189 
66900 9240 
67000 9301 
67100 9468 
67200 9444 
67300 9030 
67400 8720 
67500 8476 
67600 8419 
67700 8703 
67800 8960 
67900 9183 
68000 9031 
68100 8865 
68200 8977 
68300 9126 
68400 9514 
68500 9659 
68600 9601 
68700 9322 
68800 9201 
68900 9185 
69000 9316 
69100 9324 
69200 9205 
69300 8966 
69400 8965 
69500 8938 
69600 9170 
69700 9272 
69800 9344 
69900 9270 
70000 9222 
70100 9399 
70200 9204 
70300 9247 
70400 9003 
70500 8690 
70600 8616 
70700 8740 
70800 8893 
70900 8758 
71000 8656 
71100 8505 
71200 8571 
71300 8898 
71400 9212 
71500 9318 
71600 9487 
71700 9428 
71800 9207 
71900 9071 
72000 8841 
72100 8796 
72200 8775 
72300 8873 
72400 8787 
72500 8790 
72600 9005 
72700 9088 
72800 9135 
72900 9110 
73000 9054 
73100 8979 
73200 9063 
73300 8989 
73400 9059 
73500 9054 
73600 9174 
73700 9164 
73800 9075 
73900 8888 
74000 8709 
74100 8764 
74200 8828 
74300 8818 
74400 8750 
74500 8780 
74600 8853 
74700 9012 
74800 9136 
74900 9428 
75000 9620 
