# Wed Aug 26 16:26:45 2020
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
100 1 0 1 0 0 
200 1 0 1 0 0 
300 1 0 1 0 0 
400 1 0 1 0 0 
500 1 0 1 0 0 
600 1 0 1 0 0 
700 1 0 1 0 0 
800 1 0 1 0 0 
900 1 0 1 0 0 
1000 1 0 1 0 0 
1100 1 0 1 0 0 
1200 1 0 1 0 0 
1300 1 0 1 0 0 
1400 1 0 1 0 0 
1500 1 0 1 0 0 
1600 1 0 1 0 0 
1700 1 0 1 0 0 
1800 1 0 1 0 0 
1900 1 0 1 0 0 
2000 1 0 1 0 0 
2100 1 0 1 0 0 
2200 1 0 1 0 0 
2300 1 0 1 0 0 
2400 1 0 1 0 0 
2500 1 0 1 0 0 
2600 1 0 1 0 0 
2700 1 0 1 0 0 
2800 1 0 1 0 0 
2900 1 0 1 0 0 
3000 1 0 1 0 0 
3100 3 0.0762327 4 0 0.00926774 
3200 3 0.128264 3 0 0.0175754 
3300 3 0.175995 4 0 0.0263241 
3400 3 0.23161 3 0 0.0376059 
3500 3 0.307963 4 0 0.0548236 
3600 4 0.410497 4 0 0.0818044 
3700 4 0.496149 8 0 0.107617 
3800 5 0.606016 8 0 0.146395 
3900 5 0.721273 9 0 0.195357 
4000 5 0.823248 12 0 0.252881 
4100 5 0.914019 9 0 0.321709 
4200 5 0.973915 8 0 0.386269 
4300 5 1.00342 12 0 0.448238 
4400 6 1.01003 17 4.5635e-05 0.49482 
4500 6 1.01162 17 4.72389e-05 0.535028 
4600 6 1.0105 20 4.90894e-05 0.536743 
4700 6 1.01541 22 0.000148807 0.518478 
4800 5 1.01875 16 0.000198837 0.491574 
4900 6 1.02313 23 9.89462e-05 0.469945 
5000 6 1.01721 21 9.79432e-05 0.463565 
5100 5 1.0197 19 0 0.467787 
5200 6 1.02108 19 0.000138388 0.460851 
5300 6 1.01866 16 9.38189e-05 0.450351 
5400 5 1.0109 19 0.000293614 0.427502 
5500 5 1.01235 13 0.000392522 0.411118 
5600 5 1.01347 18 0.000534682 0.395762 
5700 6 1.01306 15 0.000679447 0.376122 
5800 7 1.01561 19 0.000964227 0.354884 
5900 7 1.02086 16 0.00100527 0.332599 
6000 6 1.02114 12 0.000952426 0.314158 
6100 7 1.00218 17 0.000851064 0.28818 
6200 7 0.99911 19 0.00111298 0.274268 
6300 7 1.00322 22 0.00208295 0.267636 
6400 7 1.02119 14 0.00373048 0.266614 
6500 8 1.05287 19 0.00748005 0.265724 
6600 9 1.09711 18 0.0146891 0.271595 
6700 10 1.19809 22 0.0265671 0.298393 
6800 9 1.29457 19 0.0372299 0.330051 
6900 9 1.34978 18 0.0475323 0.351697 
7000 10 1.38074 20 0.0530507 0.363774 
7100 10 1.36666 20 0.0542636 0.358581 
7200 10 1.3628 17 0.0534255 0.354788 
7300 10 1.37266 17 0.0556283 0.358178 
7400 9 1.38794 18 0.0620169 0.367468 
7500 9 1.39481 17 0.069263 0.374138 
7600 9 1.38782 16 0.0730751 0.375612 
7700 9 1.40192 17 0.0803806 0.384764 
7800 8 1.41298 17 0.0920876 0.397262 
7900 9 1.44436 17 0.104602 0.421138 
8000 8 1.46838 16 0.116347 0.440974 
8100 9 1.48514 20 0.128303 0.45441 
8200 9 1.4751 24 0.137018 0.455696 
8300 9 1.4693 24 0.139345 0.451815 
8400 9 1.45813 19 0.136935 0.439039 
8500 10 1.44526 21 0.139667 0.433014 
8600 9 1.44583 18 0.145515 0.433051 
8700 7 1.40519 16 0.143386 0.417542 
8800 8 1.36432 23 0.138521 0.399981 
8900 10 1.32341 23 0.130704 0.379403 
9000 10 1.29773 22 0.123536 0.362313 
9100 9 1.27377 17 0.115103 0.343803 
9200 10 1.26029 19 0.108589 0.328934 
9300 10 1.23062 21 0.0987348 0.307256 
9400 13 1.20971 27 0.0874659 0.286931 
9500 13 1.21004 26 0.0831316 0.281214 
9600 13 1.23908 27 0.086724 0.290162 
9700 12 1.29341 23 0.0923887 0.307896 
9800 10 1.34475 17 0.0982451 0.324555 
9900 12 1.36356 25 0.104411 0.334061 
10000 12 1.36397 23 0.105426 0.333603 
10100 13 1.36961 27 0.110256 0.339439 
10200 13 1.40396 30 0.113113 0.350016 
10300 14 1.46727 28 0.116404 0.366083 
10400 14 1.48571 25 0.116344 0.367943 
10500 15 1.47266 30 0.11573 0.36267 
10600 13 1.48109 30 0.116334 0.364368 
10700 13 1.49443 27 0.119333 0.369333 
10800 13 1.5074 28 0.130182 0.382699 
10900 15 1.53109 28 0.13587 0.39204 
11000 14 1.51402 24 0.13491 0.3852 
11100 16 1.50026 28 0.134098 0.381328 
11200 14 1.48623 28 0.132375 0.378314 
11300 14 1.45881 28 0.129772 0.369737 
11400 14 1.42117 26 0.123094 0.353751 
11500 15 1.38729 24 0.115589 0.337506 
11600 14 1.37067 22 0.110986 0.326635 
11700 14 1.37613 23 0.108633 0.32342 
11800 14 1.35065 28 0.104882 0.312489 
11900 17 1.33642 34 0.106612 0.30879 
12000 18 1.31634 35 0.10884 0.305503 
12100 17 1.2902 28 0.108171 0.298242 
12200 19 1.28973 29 0.107574 0.295929 
12300 19 1.32393 30 0.112397 0.305098 
12400 19 1.32734 29 0.113351 0.303794 
12500 20 1.35071 36 0.119802 0.313264 
12600 20 1.38256 37 0.124027 0.322262 
12700 21 1.46553 37 0.135749 0.346888 
12800 20 1.52228 38 0.144746 0.363308 
12900 20 1.59505 35 0.154543 0.383764 
13000 21 1.67113 36 0.163457 0.405423 
13100 21 1.72111 38 0.176745 0.429235 
13200 22 1.78584 41 0.187456 0.452959 
13300 22 1.8169 38 0.192091 0.463844 
13400 23 1.8261 42 0.189625 0.463851 
13500 23 1.7808 40 0.184336 0.449179 
13600 20 1.74445 39 0.179678 0.436988 
13700 21 1.72082 38 0.177517 0.428993 
13800 23 1.74546 43 0.185131 0.441086 
13900 22 1.7971 43 0.193458 0.45923 
14000 21 1.84242 41 0.198311 0.472909 
14100 23 1.93085 46 0.213345 0.505042 
14200 23 2.0127 45 0.226466 0.534428 
14300 23 2.02734 42 0.227613 0.5385 
14400 24 2.0607 47 0.231679 0.549414 
