# Avida Dominant Parasite Data
# Wed Aug 26 16:37:12 2020
#  1: Update
#  2: Number of Extant Parasites

0 0 
100 0 
200 0 
300 0 
400 0 
500 0 
600 0 
700 0 
800 0 
900 0 
1000 0 
1100 0 
1200 0 
1300 0 
1400 0 
1500 0 
1600 0 
1700 0 
1800 0 
1900 0 
2000 0 
2100 0 
2200 0 
2300 0 
2400 0 
2500 0 
2600 0 
2700 0 
2800 0 
2900 0 
3000 0 
3100 301 
3200 612 
3300 982 
3400 1339 
3500 2053 
3600 2924 
3700 3987 
3800 5299 
3900 6854 
4000 8488 
4100 9985 
4200 11223 
4300 11884 
4400 11829 
4500 11177 
4600 10603 
4700 10090 
4800 9883 
4900 9932 
5000 10149 
5100 10333 
5200 10188 
5300 9838 
5400 9511 
5500 9141 
5600 8529 
5700 7889 
5800 7339 
5900 6768 
6000 6272 
6100 5890 
6200 5455 
6300 5047 
6400 4659 
6500 4320 
6600 3889 
6700 3487 
6800 3283 
6900 3135 
7000 3050 
7100 3122 
7200 3319 
7300 3747 
7400 4145 
7500 4682 
7600 5117 
7700 5495 
7800 5757 
7900 5704 
8000 5856 
8100 6039 
8200 6023 
8300 5945 
8400 5628 
8500 5570 
8600 5626 
8700 5844 
8800 5916 
8900 5876 
9000 5584 
9100 5316 
9200 5115 
9300 4833 
9400 4454 
9500 4073 
9600 3974 
9700 3895 
9800 3927 
9900 3915 
10000 3884 
10100 3923 
10200 4015 
10300 4061 
10400 3990 
10500 3852 
10600 3810 
10700 3935 
10800 4160 
10900 4350 
11000 4821 
11100 5356 
11200 5737 
11300 6248 
11400 6528 
11500 6679 
11600 6659 
11700 6674 
11800 6737 
11900 6560 
12000 6478 
12100 6603 
12200 6778 
12300 7126 
12400 7196 
12500 7114 
12600 6752 
12700 6505 
12800 6452 
12900 6386 
13000 6373 
13100 6515 
13200 6521 
13300 6502 
13400 6537 
13500 6828 
13600 7229 
13700 7326 
13800 7376 
13900 7271 
14000 7056 
14100 6869 
14200 6752 
14300 6907 
14400 7278 
14500 7465 
14600 7336 
14700 7273 
14800 7172 
14900 7070 
15000 6986 
15100 7059 
15200 7382 
15300 7641 
15400 7645 
15500 7570 
15600 7436 
15700 7312 
15800 7147 
15900 7210 
16000 7254 
16100 7219 
16200 7298 
16300 7227 
16400 7258 
16500 7475 
16600 7626 
16700 7578 
16800 7613 
16900 7675 
17000 7361 
17100 7002 
17200 6877 
17300 6900 
17400 6901 
17500 7082 
17600 7094 
17700 7146 
17800 7039 
17900 7002 
18000 6962 
18100 6824 
18200 6784 
18300 6609 
18400 6511 
18500 6321 
18600 6165 
18700 6193 
18800 5934 
18900 5789 
19000 5529 
19100 5372 
19200 5239 
19300 4869 
19400 4517 
19500 4232 
19600 3849 
19700 3636 
19800 3621 
19900 3510 
20000 3453 
20100 3370 
20200 3374 
20300 3255 
20400 3199 
20500 3198 
20600 3163 
20700 3050 
20800 2862 
20900 2673 
21000 2523 
21100 2433 
21200 2358 
21300 2315 
21400 2205 
21500 2168 
21600 2064 
21700 1916 
21800 1785 
21900 1648 
22000 1537 
22100 1467 
22200 1423 
22300 1488 
22400 1547 
22500 1506 
22600 1358 
22700 1163 
22800 1137 
22900 1231 
23000 1159 
23100 1049 
23200 996 
23300 1012 
23400 1061 
23500 1145 
23600 1319 
23700 1597 
23800 2183 
23900 2749 
24000 3401 
24100 3982 
24200 4672 
24300 5431 
24400 6145 
24500 6192 
24600 6028 
24700 5678 
24800 5575 
24900 5551 
25000 5719 
25100 6068 
25200 6249 
25300 6258 
25400 6029 
25500 6147 
25600 6307 
25700 6243 
25800 5915 
25900 5861 
26000 5839 
26100 5756 
26200 5881 
26300 6023 
26400 6180 
26500 6403 
26600 6557 
26700 6563 
26800 6458 
26900 6490 
27000 6713 
27100 6912 
27200 6848 
27300 6839 
27400 6862 
27500 6995 
27600 6987 
27700 7128 
27800 7064 
27900 7105 
28000 7137 
28100 6961 
28200 6916 
28300 6876 
28400 7155 
28500 7226 
28600 7458 
28700 7411 
28800 7485 
28900 7289 
29000 7253 
29100 7133 
29200 7009 
29300 6924 
29400 7077 
29500 6982 
29600 7145 
29700 7117 
29800 7117 
29900 7113 
30000 7196 
30100 7302 
30200 7311 
30300 7161 
30400 6961 
30500 7062 
30600 7303 
30700 7494 
30800 7607 
30900 7389 
31000 7220 
31100 7110 
31200 6936 
31300 6985 
31400 7082 
31500 7230 
31600 7435 
31700 7765 
31800 7825 
31900 7943 
32000 7898 
32100 7638 
32200 7403 
32300 7311 
32400 7382 
32500 7347 
32600 7336 
32700 7388 
32800 7539 
32900 7864 
33000 8120 
33100 8144 
33200 8041 
33300 7952 
33400 7795 
33500 7974 
33600 8109 
33700 8267 
33800 8067 
33900 7882 
34000 7776 
34100 7769 
34200 7854 
34300 7989 
34400 7914 
34500 8000 
34600 7961 
34700 7904 
34800 8014 
34900 8062 
35000 8053 
35100 7921 
35200 7664 
35300 7712 
35400 7617 
35500 7554 
35600 7740 
35700 7786 
35800 8049 
35900 8242 
36000 8098 
36100 7918 
36200 8015 
36300 8063 
36400 8163 
36500 8001 
36600 8118 
36700 8062 
36800 7891 
36900 7766 
37000 7761 
37100 8042 
37200 8095 
37300 8199 
37400 8246 
37500 8111 
37600 8079 
37700 8028 
37800 8012 
37900 7978 
38000 7925 
38100 8058 
38200 8069 
38300 7933 
38400 7974 
38500 8117 
38600 8352 
38700 8402 
38800 8631 
38900 8532 
39000 8439 
39100 8349 
39200 8199 
39300 7952 
39400 7975 
39500 8089 
39600 8244 
39700 8327 
39800 8066 
39900 7955 
40000 7829 
40100 7828 
40200 8017 
40300 8192 
40400 8403 
40500 8304 
40600 8122 
40700 8001 
40800 7972 
40900 8000 
41000 7918 
41100 7824 
41200 7975 
41300 8179 
41400 8330 
41500 8263 
41600 8289 
41700 8296 
41800 8369 
41900 8376 
42000 8221 
42100 8026 
42200 8005 
42300 8077 
42400 8452 
42500 8552 
42600 8559 
42700 8386 
42800 8454 
42900 8262 
43000 8139 
43100 7992 
43200 8054 
43300 8101 
43400 8130 
43500 8186 
43600 7953 
43700 7991 
43800 7882 
43900 7961 
44000 7787 
44100 7774 
44200 7629 
44300 7791 
44400 7901 
44500 8174 
44600 8206 
44700 8295 
44800 8247 
44900 8257 
45000 8364 
45100 8479 
45200 8292 
45300 8072 
45400 8047 
45500 8222 
45600 8444 
45700 8601 
45800 8785 
45900 8618 
46000 8354 
46100 8204 
46200 8252 
46300 8317 
46400 8332 
46500 8221 
46600 8150 
46700 8408 
46800 8584 
46900 8716 
47000 8714 
47100 8653 
47200 8664 
47300 8730 
47400 8852 
47500 8794 
47600 8855 
47700 8860 
47800 8938 
47900 8909 
48000 8982 
48100 8888 
48200 8809 
48300 8812 
48400 8720 
48500 8560 
48600 8609 
48700 8447 
48800 8447 
48900 8339 
49000 8308 
49100 8191 
49200 8152 
49300 8182 
49400 8201 
49500 8164 
49600 8192 
49700 8202 
49800 8370 
49900 8704 
50000 9079 
50100 9246 
50200 9215 
50300 8846 
50400 8748 
50500 8639 
50600 8501 
50700 8595 
50800 8696 
50900 8589 
51000 8609 
51100 8686 
51200 8746 
51300 8615 
51400 8494 
51500 8385 
51600 8583 
51700 8699 
51800 8859 
51900 8919 
52000 8770 
52100 8700 
52200 8606 
52300 8513 
52400 8474 
52500 8336 
52600 8431 
52700 8661 
52800 8917 
52900 9035 
53000 9141 
53100 9269 
53200 9146 
53300 9146 
53400 9044 
53500 9182 
53600 8946 
53700 8674 
53800 8538 
53900 8427 
54000 8537 
54100 8633 
54200 8648 
54300 8748 
54400 8805 
54500 8869 
54600 8641 
54700 8447 
54800 8471 
54900 8274 
55000 8064 
55100 8203 
55200 8389 
55300 8700 
55400 8873 
55500 8907 
55600 8892 
55700 8679 
55800 8390 
55900 8446 
56000 8595 
56100 8781 
56200 8926 
56300 8768 
56400 8735 
56500 8641 
56600 8661 
56700 8662 
56800 8605 
56900 8597 
57000 8603 
57100 8608 
57200 8774 
57300 8732 
57400 8719 
57500 8604 
57600 8953 
57700 8900 
57800 8915 
57900 8870 
58000 8990 
58100 8827 
58200 8771 
58300 8627 
58400 8644 
58500 8599 
58600 8558 
58700 8709 
58800 8826 
58900 9055 
59000 8959 
59100 8891 
59200 8874 
59300 8766 
59400 8647 
59500 8704 
59600 8669 
59700 8763 
59800 8770 
59900 8698 
60000 8628 
60100 8476 
60200 8433 
60300 8434 
60400 8573 
60500 8608 
60600 8717 
60700 8668 
60800 8692 
60900 8731 
61000 8748 
61100 8952 
61200 8977 
61300 8892 
61400 8889 
61500 8841 
61600 8808 
61700 8814 
61800 8750 
61900 8790 
62000 8626 
62100 8823 
62200 9149 
62300 9075 
62400 9107 
62500 9242 
62600 9096 
62700 8838 
62800 8807 
62900 8700 
63000 8700 
63100 8869 
63200 8983 
63300 9242 
63400 9245 
63500 9291 
63600 9277 
63700 8946 
63800 8880 
63900 8869 
64000 8992 
64100 9060 
64200 8992 
64300 8923 
64400 8859 
64500 8747 
64600 8580 
64700 8719 
64800 8932 
64900 8839 
65000 8815 
65100 8817 
65200 8928 
65300 8995 
65400 9225 
65500 9324 
65600 9383 
65700 9190 
65800 9017 
65900 8970 
66000 8856 
66100 9097 
66200 9290 
66300 9469 
66400 9541 
66500 9474 
66600 9294 
66700 9138 
66800 9101 
66900 9009 
67000 9056 
67100 9220 
67200 9380 
67300 9326 
67400 9354 
67500 9269 
67600 9139 
67700 8912 
67800 8846 
67900 8955 
68000 8890 
68100 8880 
68200 9029 
68300 9241 
68400 9285 
68500 9152 
68600 8807 
68700 8635 
68800 8826 
68900 8932 
69000 9121 
69100 9406 
69200 9236 
69300 9135 
69400 9014 
69500 8932 
69600 8730 
69700 8899 
69800 8986 
69900 9275 
70000 9302 
70100 9336 
70200 9275 
70300 9087 
70400 9066 
70500 9194 
70600 9370 
70700 9346 
70800 9191 
70900 9001 
71000 8966 
71100 8822 
71200 8880 
71300 8944 
71400 9084 
71500 9017 
71600 8964 
71700 9148 
71800 9281 
71900 9343 
72000 9114 
72100 8981 
72200 8912 
72300 8987 
72400 9136 
72500 9197 
72600 9137 
72700 9011 
72800 8834 
72900 8646 
73000 8746 
73100 8692 
73200 8910 
73300 9081 
73400 8967 
73500 9010 
73600 8994 
73700 9127 
73800 8954 
73900 8748 
74000 8534 
74100 8475 
74200 8609 
74300 8782 
74400 8611 
74500 8778 
74600 8648 
74700 8701 
74800 8754 
74900 9044 
75000 9344 
