# Wed Aug 26 17:33:59 2020
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
100 1 0 1 0 1 
200 1 0 1 0 1 
300 1 0 1 0 1 
400 1 0 1 0 1 
500 1 0 1 0 1 
600 2 0.0102594 2 0 1 
700 2 0.0137846 4 0 1 
800 2 0.0135154 5 0 1 
900 2 0.0220054 8 0 1 
1000 3 0.0283952 9 0.000228258 1.00023 
1100 3 0.0330321 11 0.000194194 1.00019 
1200 4 0.0409735 13 0.000328683 1.00033 
1300 4 0.0421486 15 0.000224562 1.00023 
1400 4 0.0460725 15 0.000704574 1.00074 
1500 5 0.0522822 17 0.00074965 1.00079 
1600 6 0.0513728 20 0.000591593 1.00062 
1700 7 0.0456522 21 0.000297153 1.00031 
1800 7 0.0514482 22 0.000595897 1.00063 
1900 7 0.0553329 24 0.000775458 1.00082 
2000 7 0.0552402 24 0.000608688 1.00064 
2100 6 0.0603659 26 0.00105476 1.00112 
2200 7 0.0598213 26 0.000938369 1.001 
2300 7 0.0610078 24 0.000760039 1.00081 
2400 7 0.0687718 29 0.00121552 1.00128 
2500 7 0.0719555 31 0.00149463 1.00155 
2600 7 0.0792839 33 0.00198924 1.00209 
2700 7 0.0756222 31 0.00199876 1.0021 
2800 7 0.0756339 33 0.00187118 1.00197 
2900 7 0.0832862 35 0.00215053 1.00231 
3000 7 0.0803091 34 0.00207818 1.00219 
3100 7 0.0825643 33 0.00226283 1.0024 
3200 8 0.0840164 35 0.00261855 1.00275 
3300 8 0.0846554 37 0.00263437 1.00275 
3400 8 0.0847771 39 0.0033034 1.00345 
3500 8 0.0893062 41 0.00354517 1.00374 
3600 8 0.0980986 38 0.00434531 1.00458 
3700 9 0.102348 38 0.00470563 1.00495 
3800 9 0.104454 41 0.00460916 1.00483 
3900 9 0.113687 44 0.00495455 1.00523 
4000 9 0.125851 43 0.00474891 1.00497 
4100 8 0.140709 45 0.00540087 1.00568 
4200 8 0.159624 38 0.00524822 1.00551 
4300 8 0.198699 37 0.00490415 1.00515 
4400 9 0.24035 33 0.00454427 1.00472 
4500 9 0.311907 32 0.00513619 1.00531 
4600 9 0.366605 26 0.00393154 1.00403 
4700 9 0.446979 28 0.00524668 1.00539 
4800 10 0.509836 32 0.00655903 1.00677 
4900 9 0.583028 30 0.0072682 1.0075 
5000 10 0.673915 32 0.00784068 1.00807 
5100 10 0.767591 33 0.00889273 1.00916 
5200 10 0.878293 37 0.010262 1.01053 
5300 11 0.991769 41 0.0117003 1.012 
5400 10 1.11949 46 0.0126684 1.01297 
5500 10 1.23677 45 0.0150416 1.01548 
5600 10 1.33732 44 0.014738 1.01514 
5700 11 1.4493 42 0.0153707 1.01583 
5800 11 1.53766 45 0.0153686 1.01577 
5900 11 1.62907 48 0.0163049 1.01677 
6000 10 1.70993 51 0.0183193 1.01891 
6100 11 1.76965 58 0.0203789 1.02103 
6200 11 1.82741 64 0.0226903 1.02349 
6300 11 1.86828 67 0.0245053 1.02538 
6400 12 1.9022 71 0.0260883 1.02708 
6500 12 1.9316 78 0.027641 1.02871 
6600 12 1.95878 82 0.0289979 1.03015 
6700 12 1.98383 87 0.0304934 1.03176 
6800 12 2.00505 90 0.0316147 1.03289 
6900 12 2.03248 92 0.0339771 1.03542 
7000 12 2.05645 94 0.0334512 1.03487 
7100 12 2.08074 91 0.0337696 1.03527 
7200 13 2.09827 101 0.0329849 1.03445 
7300 14 2.13521 104 0.0356622 1.03733 
7400 14 2.14789 104 0.0332676 1.03482 
7500 13 2.16782 103 0.0330454 1.03456 
7600 13 2.19844 104 0.0339316 1.03555 
7700 13 2.22642 108 0.0362712 1.03801 
7800 12 2.2449 108 0.0368808 1.03871 
7900 14 2.26726 107 0.0383964 1.04044 
8000 14 2.27549 108 0.0385686 1.04062 
8100 11 2.28332 106 0.0380565 1.03993 
8200 11 2.29571 105 0.0390555 1.04098 
8300 14 2.30365 102 0.0394873 1.0414 
8400 17 2.31265 114 0.0390987 1.04098 
8500 15 2.33491 117 0.0415405 1.04353 
8600 15 2.3581 123 0.044631 1.04685 
8700 14 2.37277 124 0.046142 1.04834 
8800 14 2.38492 135 0.0465752 1.0488 
8900 14 2.40202 135 0.0484791 1.05076 
9000 13 2.40501 130 0.0476496 1.05003 
9100 13 2.4247 126 0.0501459 1.0527 
9200 14 2.45167 122 0.052837 1.05541 
9300 13 2.46778 128 0.0531595 1.05574 
9400 13 2.49969 129 0.0565926 1.05952 
9500 15 2.51348 136 0.0567038 1.05966 
9600 15 2.5256 140 0.0562725 1.05943 
9700 14 2.53613 145 0.0567759 1.05983 
9800 16 2.54148 136 0.0560477 1.05923 
9900 14 2.54482 142 0.0556515 1.05866 
10000 14 2.56153 143 0.0569352 1.0604 
10100 15 2.56784 155 0.0575594 1.0613 
10200 15 2.56013 159 0.0560483 1.05972 
10300 17 2.56265 167 0.0572159 1.06109 
10400 14 2.54338 161 0.0550867 1.05881 
10500 15 2.54793 166 0.0572852 1.06133 
10600 16 2.54533 169 0.0585427 1.06266 
10700 16 2.54503 170 0.0591657 1.06345 
10800 15 2.55537 174 0.0604108 1.0649 
10900 15 2.57129 174 0.0622095 1.0667 
11000 15 2.59759 179 0.0647172 1.06955 
11100 16 2.62213 175 0.0676448 1.07272 
11200 17 2.63448 181 0.0672044 1.07224 
11300 18 2.64504 189 0.067974 1.07335 
11400 17 2.64823 192 0.0670425 1.07227 
11500 18 2.65512 196 0.068038 1.07352 
11600 19 2.65565 195 0.0681343 1.07338 
11700 20 2.6677 199 0.0706133 1.07643 
11800 19 2.66716 206 0.0701254 1.07583 
11900 18 2.66327 214 0.0704778 1.0762 
12000 19 2.67884 214 0.0750203 1.08124 
12100 19 2.68907 223 0.0785445 1.08499 
12200 19 2.68328 215 0.0792739 1.08604 
12300 20 2.69644 228 0.0830788 1.09077 
12400 21 2.68981 232 0.0822372 1.08969 
