# Fri Sep 25 14:18:38 2020
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
100 1 0 1 0 1 
200 1 0 1 0 1 
300 1 0 1 0 1 
400 1 0 1 0 1 
500 1 0 1 0 1 
600 2 0.00723602 2 0 1 
700 3 0.0123853 5 0 1 
800 4 0.0223492 7 0.000316381 1.00034 
900 4 0.0229538 9 0 1 
1000 4 0.0232703 10 0 1 
1100 5 0.0406469 15 0.000269619 1.00029 
1200 5 0.0468977 15 0.000228906 1.00025 
1300 5 0.0535463 19 0.000559541 1.0006 
1400 5 0.0568155 21 0.000931716 1.00099 
1500 5 0.0648957 20 0.00062142 1.00066 
1600 5 0.0688588 23 0.000833336 1.00089 
1700 5 0.0798157 25 0.000928109 1.00098 
1800 5 0.0799041 25 0.000778672 1.00082 
1900 5 0.0844864 28 0.0011294 1.00119 
2000 5 0.0918673 26 0.00149988 1.00156 
2100 5 0.0927057 26 0.00217205 1.0023 
2200 5 0.0901372 27 0.00188997 1.00197 
2300 6 0.092048 28 0.00230698 1.00241 
2400 6 0.0980188 30 0.00283281 1.00296 
2500 6 0.103482 31 0.00334543 1.00354 
2600 5 0.0968356 30 0.00263844 1.00279 
2700 5 0.104333 30 0.0033235 1.00348 
2800 5 0.11188 31 0.0033683 1.00351 
2900 5 0.126117 33 0.00486621 1.00508 
3000 6 0.126277 35 0.00479809 1.005 
3100 8 0.122887 37 0.00480633 1.00499 
3200 8 0.130375 36 0.00548157 1.00569 
3300 8 0.136539 39 0.00646448 1.00673 
3400 7 0.14543 37 0.00764879 1.00793 
3500 8 0.147263 38 0.00778786 1.00806 
3600 7 0.147071 39 0.00800516 1.00831 
3700 8 0.152796 38 0.0086862 1.00901 
3800 7 0.158114 39 0.00911044 1.0094 
3900 8 0.169238 41 0.00988603 1.01019 
4000 8 0.174443 41 0.0103038 1.01062 
4100 8 0.187898 42 0.0116582 1.0121 
4200 8 0.203666 47 0.0131083 1.01359 
4300 8 0.208039 45 0.0127775 1.01321 
4400 8 0.218772 43 0.013264 1.01366 
4500 8 0.218669 43 0.0126725 1.013 
4600 8 0.218804 42 0.0123196 1.01263 
4700 7 0.225181 40 0.012061 1.01233 
4800 6 0.233016 42 0.0114016 1.01165 
4900 6 0.241818 43 0.0110913 1.01133 
5000 6 0.26746 45 0.0114469 1.01173 
5100 7 0.2882 47 0.011101 1.01135 
5200 7 0.321809 43 0.0116844 1.01194 
5300 8 0.351676 42 0.0121256 1.01239 
5400 7 0.388656 41 0.0141858 1.01449 
5500 8 0.435541 45 0.0149495 1.01525 
5600 8 0.479183 46 0.0165378 1.01689 
5700 8 0.555341 44 0.0188199 1.01923 
5800 8 0.619254 43 0.0196997 1.02002 
5900 7 0.689739 43 0.0209131 1.02126 
6000 8 0.765642 43 0.0234237 1.02384 
6100 8 0.838954 48 0.0252542 1.02562 
6200 9 0.916951 53 0.0276234 1.02805 
6300 8 0.983644 51 0.0291276 1.02961 
6400 10 1.07479 51 0.0312629 1.03179 
6500 10 1.15318 51 0.0320966 1.03263 
6600 10 1.22997 54 0.0329135 1.03341 
6700 11 1.3046 55 0.0341831 1.03476 
6800 11 1.38366 57 0.0361182 1.03677 
6900 12 1.45175 63 0.0381383 1.03899 
7000 12 1.50956 63 0.0379271 1.03872 
7100 11 1.5699 67 0.0402132 1.04114 
7200 11 1.63352 72 0.0429878 1.04399 
7300 11 1.68951 68 0.0460747 1.04721 
7400 11 1.75351 71 0.0515195 1.05261 
7500 12 1.80284 81 0.0558363 1.05716 
7600 14 1.84429 85 0.0594656 1.06083 
7700 14 1.87786 83 0.0631192 1.06451 
7800 14 1.92525 87 0.0694122 1.07091 
7900 12 1.96132 93 0.0742465 1.07575 
8000 12 1.98659 98 0.0771549 1.07881 
8100 14 2.02206 107 0.0816424 1.08342 
8200 14 2.05295 104 0.08694 1.08881 
8300 14 2.08367 113 0.0898578 1.09183 
8400 14 2.10776 104 0.0928169 1.09483 
8500 14 2.12614 106 0.0940604 1.0962 
8600 14 2.14995 112 0.0983266 1.10065 
8700 14 2.17586 111 0.102099 1.10447 
8800 15 2.18881 118 0.103893 1.1064 
8900 15 2.22082 126 0.108613 1.11151 
9000 15 2.23031 131 0.108618 1.11154 
9100 15 2.2538 133 0.109062 1.11209 
9200 17 2.27027 141 0.111762 1.11506 
9300 18 2.28282 146 0.112308 1.11561 
9400 19 2.30648 144 0.115156 1.11857 
9500 18 2.30623 152 0.113115 1.1164 
9600 19 2.32105 154 0.112729 1.1165 
9700 18 2.3388 156 0.115599 1.11933 
9800 18 2.35719 152 0.11641 1.12022 
9900 18 2.38198 156 0.119358 1.12316 
10000 19 2.38986 168 0.118626 1.12242 
10100 20 2.41289 166 0.121784 1.12591 
10200 20 2.44018 166 0.126885 1.13136 
10300 19 2.45607 164 0.127359 1.13186 
10400 21 2.4821 181 0.129225 1.13448 
10500 21 2.49323 180 0.131117 1.13637 
10600 20 2.50918 187 0.132656 1.13825 
10700 19 2.52251 190 0.134998 1.14037 
10800 17 2.51823 177 0.131552 1.13666 
10900 17 2.51245 187 0.129979 1.13513 
11000 17 2.52834 188 0.131692 1.13708 
11100 17 2.52389 187 0.129273 1.13478 
11200 17 2.53912 187 0.13263 1.13821 
11300 17 2.56026 188 0.135931 1.14159 
11400 18 2.57958 192 0.138627 1.14464 
11500 19 2.59896 201 0.141279 1.14754 
11600 19 2.61402 206 0.144153 1.15027 
11700 20 2.63512 217 0.145853 1.15232 
11800 20 2.65301 224 0.150015 1.15678 
11900 20 2.65563 233 0.150201 1.1571 
12000 20 2.66937 235 0.152634 1.15951 
12100 22 2.67922 237 0.153665 1.16077 
12200 21 2.69351 244 0.155249 1.16262 
12300 21 2.70052 245 0.155826 1.16342 
12400 21 2.70251 253 0.15836 1.16637 
12500 22 2.70552 251 0.160083 1.16801 
12600 22 2.70132 272 0.156869 1.16471 
