# Avida Dominant Parasite Data
# Fri Sep 25 15:09:38 2020
#  1: Update
#  2: Number of Extant Parasites

0 0 
100 0 
200 0 
300 0 
400 0 
500 0 
600 0 
700 0 
800 0 
900 0 
1000 0 
1100 0 
1200 0 
1300 0 
1400 0 
1500 0 
1600 0 
1700 0 
1800 0 
1900 0 
2000 0 
2100 0 
2200 0 
2300 0 
2400 0 
2500 0 
2600 0 
2700 0 
2800 0 
2900 0 
3000 0 
3100 239 
3200 392 
3300 525 
3400 702 
3500 933 
3600 1268 
3700 1632 
3800 2154 
3900 2677 
4000 3515 
4100 4364 
4200 5304 
4300 6398 
4400 7568 
4500 8833 
4600 9989 
4700 10657 
4800 10744 
4900 10546 
5000 10159 
5100 9663 
5200 9396 
5300 9192 
5400 9018 
5500 9196 
5600 9077 
5700 8918 
5800 8511 
5900 8048 
6000 7710 
6100 7316 
6200 6847 
6300 6538 
6400 5992 
6500 5437 
6600 5097 
6700 4726 
6800 4563 
6900 4327 
7000 3985 
7100 3741 
7200 3445 
7300 3189 
7400 2929 
7500 2757 
7600 2688 
7700 2562 
7800 2591 
7900 2602 
8000 2733 
8100 2795 
8200 2756 
8300 2755 
8400 2816 
8500 2963 
8600 3258 
8700 3366 
8800 3582 
8900 3869 
9000 4124 
9100 4361 
9200 4374 
9300 4482 
9400 4700 
9500 4952 
9600 5017 
9700 4986 
9800 4773 
9900 4520 
10000 4217 
10100 4065 
10200 3907 
10300 3742 
10400 3735 
10500 3632 
10600 3547 
10700 3418 
10800 3387 
10900 3272 
11000 3197 
11100 3104 
11200 3059 
11300 3003 
11400 3002 
11500 2999 
11600 3103 
11700 3143 
11800 3301 
11900 3242 
12000 3201 
12100 3148 
12200 3052 
12300 2970 
12400 2982 
12500 2872 
12600 2876 
12700 2934 
12800 2982 
12900 3016 
13000 3169 
13100 3223 
13200 3243 
13300 3317 
13400 3256 
13500 3140 
13600 3017 
13700 2892 
13800 2913 
13900 3080 
14000 3012 
14100 2976 
14200 2930 
14300 2903 
14400 3052 
14500 3114 
14600 3168 
14700 3292 
14800 3406 
14900 3349 
15000 3309 
15100 3264 
15200 3189 
15300 2981 
15400 2887 
15500 2916 
15600 2974 
15700 2990 
15800 3153 
15900 3205 
16000 3330 
16100 3455 
16200 3616 
16300 3881 
16400 3986 
16500 4087 
16600 4064 
16700 4390 
16800 4539 
16900 4637 
17000 4742 
17100 4715 
17200 4580 
17300 4446 
17400 4387 
17500 4310 
17600 4070 
17700 4142 
17800 4349 
17900 4448 
18000 4407 
18100 4302 
18200 4359 
18300 4487 
18400 4599 
18500 4656 
18600 4685 
18700 4783 
18800 4877 
18900 4978 
19000 5073 
19100 5089 
19200 4838 
19300 4915 
19400 4922 
19500 4795 
19600 4790 
19700 4667 
19800 4652 
19900 4604 
20000 4605 
20100 4671 
20200 4693 
20300 4570 
20400 4592 
20500 4715 
20600 4774 
20700 4956 
20800 5091 
20900 5158 
21000 4961 
21100 4788 
21200 4688 
21300 4834 
21400 4807 
21500 4841 
21600 4792 
21700 4784 
21800 4754 
21900 4708 
22000 4888 
22100 5066 
22200 5199 
22300 5212 
22400 5170 
22500 5145 
22600 5107 
22700 4981 
22800 4986 
22900 4830 
23000 4828 
23100 4824 
23200 5050 
23300 5270 
23400 5625 
23500 5863 
23600 5854 
23700 5654 
23800 5549 
23900 5570 
24000 5673 
24100 5586 
24200 5492 
24300 5590 
24400 5598 
24500 5443 
24600 5375 
24700 5460 
24800 5556 
24900 5750 
25000 5901 
25100 5839 
25200 5766 
25300 5811 
25400 5765 
25500 5740 
25600 5542 
25700 5358 
25800 5261 
25900 5225 
26000 5363 
26100 5290 
26200 5243 
26300 5251 
26400 5192 
26500 5086 
26600 5004 
26700 5083 
26800 5270 
26900 5379 
27000 5514 
27100 5541 
27200 5429 
27300 5367 
27400 5371 
27500 5364 
27600 5330 
27700 5367 
27800 5254 
27900 5075 
28000 4976 
28100 4848 
28200 4840 
28300 4936 
28400 4970 
28500 5021 
28600 5023 
28700 5016 
28800 4988 
28900 5057 
29000 5192 
29100 5370 
29200 5337 
29300 5162 
29400 4974 
29500 4829 
29600 4688 
29700 4710 
29800 4608 
29900 4533 
30000 4390 
30100 4357 
30200 4356 
30300 4356 
30400 4285 
30500 4228 
30600 4056 
30700 3961 
30800 3762 
30900 3825 
31000 3912 
31100 4007 
31200 4035 
31300 3935 
31400 3865 
31500 3890 
31600 3800 
31700 3525 
31800 3399 
31900 3202 
32000 2992 
32100 2815 
32200 2735 
32300 2657 
32400 2512 
32500 2511 
32600 2646 
32700 2778 
32800 2900 
32900 3036 
33000 3193 
33100 3403 
33200 3501 
33300 3601 
33400 3429 
33500 3230 
33600 3006 
33700 2677 
33800 2435 
33900 2140 
34000 1958 
34100 1806 
34200 1770 
34300 1655 
34400 1615 
34500 1475 
34600 1423 
34700 1343 
34800 1336 
34900 1329 
35000 1352 
35100 1212 
35200 1060 
35300 1013 
35400 1009 
35500 1072 
35600 1072 
35700 1146 
35800 1246 
35900 1405 
36000 1568 
36100 1519 
36200 1489 
36300 1561 
36400 1637 
36500 1632 
36600 1672 
36700 1703 
36800 1792 
36900 1802 
37000 1767 
37100 1744 
37200 1703 
37300 1839 
37400 1906 
37500 1893 
37600 1890 
37700 1953 
37800 2008 
37900 2226 
38000 2363 
38100 2578 
38200 2712 
38300 2711 
38400 2606 
38500 2534 
38600 2509 
38700 2417 
38800 2353 
38900 2316 
39000 2378 
39100 2488 
39200 2634 
39300 2716 
39400 2851 
39500 2873 
39600 2805 
39700 2772 
39800 2825 
39900 2846 
40000 2863 
40100 2852 
40200 2932 
40300 3106 
40400 3259 
40500 3435 
40600 3478 
40700 3544 
40800 3744 
40900 4006 
41000 4150 
41100 4327 
41200 4440 
41300 4335 
41400 4256 
41500 4004 
41600 3678 
41700 3273 
41800 3001 
41900 2858 
42000 2706 
42100 2712 
42200 2684 
42300 2704 
42400 2738 
42500 2782 
42600 2758 
42700 2809 
42800 2898 
42900 2924 
43000 2811 
43100 2714 
43200 2687 
43300 2448 
43400 2346 
43500 2257 
43600 2247 
43700 2273 
43800 2238 
43900 2109 
44000 1909 
44100 2102 
44200 2212 
44300 2142 
44400 1969 
44500 1957 
44600 1925 
44700 1781 
44800 1631 
44900 1544 
45000 1388 
45100 1262 
45200 1222 
45300 1189 
45400 1232 
45500 1189 
45600 1083 
45700 1000 
45800 944 
45900 926 
46000 889 
46100 791 
46200 797 
46300 795 
46400 821 
46500 914 
46600 941 
46700 955 
46800 1054 
46900 1139 
47000 1121 
47100 1102 
47200 1069 
47300 1094 
47400 1115 
47500 1071 
47600 1121 
47700 1151 
47800 1241 
47900 1344 
48000 1477 
48100 1501 
48200 1480 
48300 1405 
48400 1378 
48500 1306 
48600 1313 
48700 1302 
48800 1343 
48900 1441 
49000 1434 
49100 1386 
49200 1450 
49300 1430 
49400 1378 
49500 1258 
49600 1237 
49700 1346 
49800 1598 
49900 1667 
50000 1713 
50100 1666 
50200 1530 
50300 1570 
50400 1613 
50500 1613 
50600 1681 
50700 1833 
50800 1899 
50900 1958 
51000 1924 
51100 1877 
51200 1835 
51300 1740 
51400 1745 
51500 1676 
51600 1628 
51700 1499 
51800 1421 
51900 1338 
52000 1216 
52100 1168 
52200 1183 
52300 1173 
52400 1085 
52500 1079 
52600 997 
52700 949 
52800 903 
52900 917 
53000 874 
53100 741 
53200 628 
53300 554 
53400 530 
53500 572 
53600 667 
53700 705 
53800 659 
53900 643 
54000 669 
54100 665 
54200 722 
54300 741 
54400 711 
54500 605 
54600 544 
54700 495 
54800 503 
54900 538 
55000 640 
55100 677 
55200 626 
55300 620 
55400 533 
55500 489 
55600 428 
55700 334 
55800 318 
55900 301 
56000 285 
56100 271 
56200 263 
56300 277 
56400 254 
56500 273 
56600 265 
56700 242 
56800 267 
56900 342 
57000 401 
57100 461 
57200 460 
57300 456 
57400 506 
57500 574 
57600 640 
57700 675 
57800 837 
57900 1025 
58000 1161 
58100 1254 
58200 1283 
58300 1167 
58400 1150 
58500 1193 
58600 1343 
58700 1511 
58800 1539 
58900 1506 
59000 1494 
59100 1570 
59200 1423 
59300 1413 
59400 1420 
59500 1391 
59600 1461 
59700 1419 
59800 1365 
59900 1274 
60000 1218 
60100 1149 
60200 1141 
60300 1095 
60400 999 
60500 981 
60600 1065 
60700 1080 
60800 1120 
60900 1127 
61000 1095 
61100 1098 
61200 1055 
61300 1041 
61400 924 
61500 869 
61600 897 
61700 944 
61800 1014 
61900 1176 
62000 1286 
62100 1334 
62200 1418 
62300 1389 
62400 1444 
62500 1395 
62600 1477 
62700 1534 
62800 1573 
62900 1746 
63000 1941 
63100 2157 
63200 2420 
63300 2555 
63400 2481 
63500 2409 
63600 2175 
63700 2079 
63800 1864 
63900 1739 
64000 1766 
64100 1807 
64200 1777 
64300 1710 
64400 1806 
64500 1858 
64600 1857 
64700 1854 
64800 1765 
64900 1748 
65000 1715 
65100 1695 
65200 1818 
65300 1935 
65400 2051 
65500 2044 
65600 2289 
65700 2498 
65800 2597 
65900 2576 
66000 2448 
66100 2139 
66200 2013 
66300 1889 
66400 1950 
66500 2247 
66600 2436 
66700 2571 
66800 2389 
66900 2120 
67000 2331 
67100 2248 
67200 2358 
67300 2467 
67400 2503 
67500 2775 
67600 2850 
67700 3004 
67800 3268 
67900 3657 
68000 3929 
68100 3979 
68200 4006 
68300 3667 
68400 3478 
68500 3090 
68600 2462 
68700 2011 
68800 1693 
68900 1496 
69000 1363 
69100 1300 
69200 1313 
69300 1356 
69400 1589 
69500 1809 
69600 2167 
69700 2661 
69800 2900 
69900 3158 
70000 3049 
70100 2972 
70200 2910 
70300 2859 
70400 2688 
70500 2661 
70600 2633 
70700 2466 
70800 2276 
70900 1999 
71000 1731 
71100 1604 
71200 1761 
71300 1783 
71400 1558 
71500 1348 
71600 1233 
71700 1017 
71800 919 
71900 823 
72000 731 
72100 620 
72200 505 
72300 462 
72400 355 
72500 315 
72600 375 
72700 436 
72800 505 
72900 506 
73000 518 
73100 511 
73200 543 
73300 509 
73400 465 
73500 380 
73600 246 
73700 201 
73800 176 
73900 149 
74000 147 
74100 153 
74200 133 
74300 89 
74400 78 
74500 67 
74600 32 
74700 34 
74800 23 
74900 7 
75000 4 
