# Fri Sep 25 15:11:09 2020
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
100 1 0 1 0 0 
200 1 0 1 0 0 
300 1 0 1 0 0 
400 1 0 1 0 0 
500 1 0 1 0 0 
600 1 0 1 0 0 
700 1 0 1 0 0 
800 1 0 1 0 0 
900 1 0 1 0 0 
1000 1 0 1 0 0 
1100 1 0 1 0 0 
1200 1 0 1 0 0 
1300 1 0 1 0 0 
1400 1 0 1 0 0 
1500 1 0 1 0 0 
1600 1 0 1 0 0 
1700 1 0 1 0 0 
1800 1 0 1 0 0 
1900 1 0 1 0 0 
2000 1 0 1 0 0 
2100 1 0 1 0 0 
2200 1 0 1 0 0 
2300 1 0 1 0 0 
2400 1 0 1 0 0 
2500 1 0 1 0 0 
2600 1 0 1 0 0 
2700 1 0 1 0 0 
2800 1 0 1 0 0 
2900 1 0 1 0 0 
3000 1 0 1 0 0 
3100 4 0.076458 4 0 0.00925212 
3200 5 0.11131 5 0 0.014651 
3300 3 0.135676 4 0 0.0188633 
3400 3 0.159999 5 0 0.0232485 
3500 4 0.209019 6 0 0.0325018 
3600 4 0.261899 8 0 0.0435906 
3700 3 0.330911 6 0 0.0604325 
3800 3 0.421319 5 0 0.0851673 
3900 3 0.514731 4 0 0.1142 
4000 4 0.624476 9 0 0.154743 
4100 4 0.741261 10 0 0.20829 
4200 5 0.844064 11 0 0.267766 
4300 5 0.920231 8 0 0.327596 
4400 5 0.977306 12 0 0.392839 
4500 5 1.00302 15 3.54285e-05 0.443513 
4600 5 1.01462 14 0 0.491317 
4700 6 1.01674 15 4.80677e-05 0.517977 
4800 5 1.01275 20 0 0.518833 
4900 4 1.01346 12 0 0.505493 
5000 5 1.01117 15 0 0.478907 
5100 6 1.00878 15 9.10692e-05 0.465959 
5200 4 1.00858 17 0 0.458804 
5300 5 1.00901 14 0 0.449382 
5400 6 1.01373 13 9.77469e-05 0.444455 
5500 6 1.01179 14 0.000146951 0.426647 
5600 7 1.01464 18 4.88711e-05 0.40866 
5700 7 1.00827 15 9.72621e-05 0.390118 
5800 7 0.99772 19 4.85531e-05 0.365945 
5900 5 0.978445 17 9.55977e-05 0.344678 
6000 6 0.963962 10 0.00014241 0.32308 
6100 6 0.956462 17 0.000469947 0.304526 
6200 5 0.941917 10 0.000836742 0.285004 
6300 6 0.922312 14 0.000832254 0.266321 
6400 6 0.902696 17 0.000823459 0.250469 
6500 6 0.875789 14 0.000858447 0.23151 
6600 6 0.849732 11 0.00115896 0.213515 
6700 6 0.833034 12 0.00194338 0.198799 
6800 6 0.829998 11 0.00405954 0.1901 
6900 6 0.858285 13 0.00963424 0.192994 
7000 6 0.879895 12 0.0157378 0.197069 
7100 9 0.915931 18 0.0236185 0.205181 
7200 8 0.930468 16 0.0297666 0.210218 
7300 8 0.954208 14 0.0382618 0.220114 
7400 8 0.977512 12 0.0466473 0.231958 
7500 9 1.03591 14 0.05887 0.257966 
7600 10 1.08997 15 0.0701411 0.283335 
7700 10 1.13893 17 0.0829442 0.310114 
7800 10 1.19536 17 0.09793 0.342029 
7900 12 1.26379 20 0.115941 0.380183 
8000 12 1.30909 20 0.135032 0.414814 
8100 12 1.35529 18 0.148509 0.443586 
8200 11 1.39769 19 0.165472 0.476647 
8300 11 1.42593 17 0.173106 0.491575 
8400 11 1.42388 19 0.174134 0.489642 
8500 10 1.38748 21 0.167439 0.46469 
8600 11 1.36723 19 0.160879 0.442768 
8700 15 1.37978 24 0.161088 0.4369 
8800 14 1.39729 23 0.160689 0.434819 
8900 15 1.40385 27 0.156598 0.426054 
9000 15 1.36272 22 0.149765 0.402047 
9100 16 1.34966 25 0.145567 0.387841 
9200 17 1.33229 29 0.144222 0.378615 
9300 17 1.33477 29 0.140477 0.372369 
9400 15 1.34123 27 0.139593 0.36967 
9500 14 1.34221 26 0.136645 0.36228 
9600 15 1.3341 27 0.13332 0.353497 
9700 15 1.32559 26 0.130521 0.34594 
9800 14 1.32524 23 0.128877 0.343362 
9900 13 1.33033 25 0.129485 0.343044 
10000 13 1.30583 23 0.127159 0.334158 
10100 15 1.28638 26 0.124352 0.326405 
10200 13 1.24619 24 0.117411 0.3099 
10300 14 1.22038 25 0.111312 0.296705 
10400 15 1.21785 27 0.111129 0.293756 
10500 15 1.23409 29 0.113261 0.298009 
10600 15 1.25475 28 0.119935 0.30846 
10700 18 1.29853 30 0.124626 0.32081 
10800 18 1.36006 33 0.133989 0.340764 
10900 21 1.45679 39 0.148306 0.373012 
11000 20 1.51729 38 0.157489 0.395024 
11100 23 1.56844 42 0.16159 0.407903 
11200 23 1.5932 44 0.166418 0.417605 
11300 25 1.60253 45 0.170374 0.421018 
11400 22 1.64209 41 0.177752 0.436952 
11500 24 1.6649 43 0.184327 0.446379 
11600 23 1.69014 44 0.189096 0.454886 
11700 23 1.68696 42 0.188711 0.452294 
11800 24 1.7026 44 0.193015 0.460204 
11900 23 1.71129 44 0.194772 0.46313 
12000 22 1.71453 42 0.198941 0.469537 
12100 21 1.71933 47 0.199307 0.471359 
12200 21 1.75531 45 0.201997 0.482104 
12300 23 1.82582 44 0.209627 0.50468 
12400 23 1.87035 46 0.210834 0.514185 
12500 24 1.85776 49 0.211124 0.510119 
12600 22 1.81641 46 0.20503 0.494164 
12700 23 1.7989 43 0.199749 0.484673 
12800 22 1.78947 40 0.199443 0.483515 
12900 22 1.79167 45 0.199679 0.486022 
13000 23 1.81206 48 0.208047 0.498504 
13100 23 1.81222 45 0.210243 0.504409 
13200 23 1.81211 50 0.21297 0.513921 
13300 23 1.7808 49 0.209717 0.509579 
13400 23 1.79107 45 0.214749 0.517803 
13500 21 1.77063 44 0.212904 0.513756 
13600 20 1.76679 44 0.215824 0.51623 
13700 20 1.77094 44 0.221298 0.521263 
13800 21 1.81278 43 0.233332 0.541713 
13900 21 1.79318 46 0.229436 0.533404 
14000 22 1.76989 49 0.225229 0.523572 
14100 23 1.7828 50 0.226632 0.526997 
14200 23 1.7945 45 0.233978 0.539194 
14300 24 1.80749 45 0.239865 0.548504 
14400 24 1.81734 42 0.24125 0.549654 
14500 24 1.85331 49 0.253225 0.57089 
14600 26 1.8779 47 0.26292 0.585898 
