# Sat Sep 12 18:25:50 2020
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
100 1 0 1 0 0 
200 1 0 1 0 0 
300 1 0 1 0 0 
400 1 0 1 0 0 
500 1 0 1 0 0 
600 1 0 1 0 0 
700 1 0 1 0 0 
800 1 0 1 0 0 
900 1 0 1 0 0 
1000 1 0 1 0 0 
1100 1 0 1 0 0 
1200 1 0 1 0 0 
1300 1 0 1 0 0 
1400 1 0 1 0 0 
1500 1 0 1 0 0 
1600 1 0 1 0 0 
1700 1 0 1 0 0 
1800 1 0 1 0 0 
1900 1 0 1 0 0 
2000 1 0 1 0 0 
2100 1 0 1 0 0 
2200 1 0 1 0 0 
2300 1 0 1 0 0 
2400 1 0 1 0 0 
2500 1 0 1 0 0 
2600 1 0 1 0 0 
2700 1 0 1 0 0 
2800 1 0 1 0 0 
2900 1 0 1 0 0 
3000 1 0 1 0 0 
3100 2 0.0743682 2 0 0.00904127 
3200 2 0.115428 2 0 0.0155101 
3300 2 0.148392 2 0 0.0212481 
3400 3 0.170699 5 0 0.0252534 
3500 4 0.186753 4 0 0.0282088 
3600 3 0.211769 3 0 0.0333735 
3700 5 0.24904 5 3.55202e-05 0.0411679 
3800 5 0.296334 6 3.5859e-05 0.0519238 
3900 4 0.334009 5 0 0.0609331 
4000 4 0.371128 6 0 0.0705446 
4100 4 0.400773 7 0 0.0787665 
4200 3 0.432857 6 0 0.08835 
4300 3 0.459579 6 0 0.0965483 
4400 3 0.503782 5 0 0.11061 
4500 5 0.565505 8 0 0.13137 
4600 5 0.608351 7 0 0.147609 
4700 5 0.639661 10 0 0.160126 
4800 5 0.65638 8 0 0.167445 
4900 4 0.668135 11 0 0.172446 
5000 3 0.692168 11 0 0.184466 
5100 4 0.732532 10 0 0.203148 
5200 4 0.768814 9 4.51712e-05 0.221881 
5300 5 0.809763 9 4.64037e-05 0.245012 
5400 5 0.853592 15 4.74789e-05 0.273098 
5500 5 0.874811 11 9.77278e-05 0.288932 
5600 6 0.892804 18 5.00576e-05 0.302648 
5700 5 0.922742 11 0 0.32617 
5800 5 0.945633 10 0 0.348668 
5900 3 0.95379 9 0 0.355816 
6000 5 0.960175 12 5.12663e-05 0.360197 
6100 5 0.961465 13 0 0.360347 
6200 6 0.976618 19 5.56825e-05 0.367716 
6300 6 0.98141 20 0.0002035 0.37444 
6400 7 0.991545 19 0.000457108 0.386561 
6500 7 1.00149 21 0.000510308 0.405338 
6600 7 1.01409 17 0.00046024 0.420046 
6700 7 1.02167 15 0.000359214 0.420999 
6800 6 1.01448 18 0.000257971 0.406976 
6900 6 1.00167 14 0.000362694 0.388083 
7000 6 0.992099 15 0.00025535 0.373219 
7100 6 1.00003 20 0.000252105 0.370292 
7200 6 1.0079 16 0.000452716 0.362726 
7300 6 1.00324 20 0.000250652 0.354772 
7400 5 0.994468 15 0.00020024 0.353374 
7500 6 0.988608 15 0.000349005 0.34736 
7600 6 0.966762 14 0.000547427 0.327162 
7700 7 0.945266 18 0.00049776 0.307715 
7800 7 0.932145 16 0.00069579 0.289399 
7900 7 0.919551 15 0.00127733 0.273938 
8000 6 0.889362 16 0.00111326 0.253727 
8100 5 0.863237 15 0.0015265 0.238802 
8200 4 0.859113 16 0.00174011 0.232564 
8300 5 0.848209 18 0.00245484 0.222974 
8400 5 0.818399 11 0.00320102 0.205872 
8500 6 0.783778 11 0.00370772 0.189863 
8600 5 0.76043 8 0.00536145 0.177062 
8700 6 0.74677 10 0.0061649 0.169468 
8800 6 0.73802 11 0.00805005 0.164064 
8900 6 0.72341 14 0.00969949 0.159695 
9000 5 0.736384 10 0.0114578 0.162769 
9100 6 0.749153 13 0.0141073 0.164727 
9200 5 0.761911 9 0.0168128 0.169575 
9300 6 0.767651 9 0.0204385 0.171395 
9400 6 0.758736 10 0.0212017 0.16902 
9500 6 0.756182 15 0.0223375 0.168145 
9600 6 0.755223 17 0.022429 0.167848 
9700 6 0.764193 15 0.0233836 0.171197 
9800 6 0.771293 12 0.0250094 0.175401 
9900 6 0.779293 9 0.027793 0.179414 
10000 6 0.761056 13 0.0231509 0.169604 
10100 8 0.754156 12 0.0225932 0.165402 
10200 7 0.73241 14 0.0204019 0.157586 
10300 8 0.712989 17 0.0206757 0.152408 
10400 7 0.676462 16 0.0212449 0.143778 
10500 8 0.674099 13 0.0234546 0.145762 
10600 7 0.69052 11 0.025593 0.151135 
10700 8 0.676094 16 0.0245665 0.146247 
10800 7 0.661519 16 0.0252788 0.142769 
10900 6 0.629359 14 0.0252458 0.135898 
11000 7 0.625537 13 0.0250209 0.135434 
11100 7 0.611282 14 0.025612 0.130795 
11200 7 0.595501 14 0.0260254 0.126046 
11300 7 0.607147 15 0.0256528 0.127113 
11400 10 0.611845 13 0.02549 0.127405 
11500 10 0.612419 16 0.0261149 0.126624 
11600 10 0.613204 20 0.0272936 0.127128 
11700 8 0.621664 16 0.0300485 0.132161 
11800 9 0.625617 15 0.0316677 0.133948 
11900 10 0.594293 17 0.0298658 0.125536 
12000 9 0.581534 19 0.0303908 0.123688 
12100 8 0.572292 16 0.030061 0.121652 
12200 7 0.571354 16 0.0299273 0.122338 
12300 9 0.571305 19 0.0269499 0.11975 
12400 10 0.590037 19 0.027722 0.124884 
12500 10 0.599958 17 0.0263266 0.126659 
12600 7 0.615398 13 0.0257313 0.131082 
12700 7 0.623934 18 0.0270338 0.135032 
12800 7 0.627214 17 0.0256526 0.13514 
12900 7 0.616767 15 0.023307 0.130647 
13000 5 0.606456 12 0.0220589 0.127419 
13100 7 0.589975 11 0.0208472 0.123057 
13200 6 0.578967 12 0.0210283 0.121104 
13300 5 0.602128 13 0.0222848 0.12726 
13400 5 0.605729 11 0.0255828 0.130265 
13500 5 0.598513 12 0.0278198 0.129359 
13600 5 0.553172 13 0.0276428 0.118046 
13700 5 0.526503 11 0.0258084 0.110525 
13800 6 0.512203 15 0.0258049 0.107534 
13900 6 0.506353 14 0.0276829 0.108309 
14000 5 0.504258 9 0.0267697 0.106751 
14100 9 0.506237 17 0.0263402 0.106243 
14200 8 0.504553 15 0.02658 0.106929 
14300 7 0.531702 13 0.0281004 0.114879 
