# Avida Dominant Parasite Data
# Sat Sep 12 18:25:44 2020
#  1: Update
#  2: Number of Extant Parasites

0 0 
100 0 
200 0 
300 0 
400 0 
500 0 
600 0 
700 0 
800 0 
900 0 
1000 0 
1100 0 
1200 0 
1300 0 
1400 0 
1500 0 
1600 0 
1700 0 
1800 0 
1900 0 
2000 0 
2100 0 
2200 0 
2300 0 
2400 0 
2500 0 
2600 0 
2700 0 
2800 0 
2900 0 
3000 0 
3100 246 
3200 423 
3300 524 
3400 719 
3500 956 
3600 1207 
3700 1364 
3800 1544 
3900 1635 
4000 1651 
4100 1730 
4200 1771 
4300 1928 
4400 2039 
4500 2230 
4600 2303 
4700 2381 
4800 2524 
4900 2616 
5000 2796 
5100 2840 
5200 2995 
5300 3123 
5400 3195 
5500 3474 
5600 3808 
5700 4111 
5800 4539 
5900 4921 
6000 5156 
6100 5029 
6200 5029 
6300 4792 
6400 4782 
6500 4870 
6600 4989 
6700 5186 
6800 5283 
6900 5390 
7000 5637 
7100 5954 
7200 6170 
7300 6342 
7400 6249 
7500 6252 
7600 6442 
7700 6668 
7800 6841 
7900 6745 
8000 6387 
8100 5940 
8200 5437 
8300 4904 
8400 4535 
8500 4209 
8600 3919 
8700 3752 
8800 3813 
8900 3865 
9000 3795 
9100 3832 
9200 3869 
9300 3893 
9400 3926 
9500 3884 
9600 4012 
9700 4064 
9800 3946 
9900 3738 
10000 3770 
10100 3632 
10200 3630 
10300 3591 
10400 3644 
10500 3667 
10600 3937 
10700 4152 
10800 4356 
10900 4260 
11000 4328 
11100 4177 
11200 3955 
11300 3594 
11400 3464 
11500 3487 
11600 3426 
11700 3369 
11800 3407 
11900 3372 
12000 3335 
12100 3159 
12200 2991 
12300 3112 
12400 3195 
12500 3354 
12600 3389 
12700 3269 
12800 3131 
12900 2966 
13000 2859 
13100 2808 
13200 2815 
13300 2944 
13400 3154 
13500 3263 
13600 3425 
13700 3578 
13800 3837 
13900 4115 
14000 4264 
14100 4422 
14200 4517 
14300 4307 
14400 4234 
14500 4225 
14600 4365 
14700 4517 
14800 4530 
14900 4411 
15000 4324 
15100 4273 
15200 4243 
15300 4108 
15400 3959 
15500 3876 
15600 3737 
15700 3722 
15800 3633 
15900 3507 
16000 3444 
16100 3400 
16200 3499 
16300 3687 
16400 3803 
16500 3716 
16600 3580 
16700 3449 
16800 3252 
16900 3240 
17000 3252 
17100 3130 
17200 2895 
17300 2754 
17400 2677 
17500 2618 
17600 2568 
17700 2559 
17800 2526 
17900 2507 
18000 2477 
18100 2430 
18200 2393 
18300 2536 
18400 2572 
18500 2571 
18600 2522 
18700 2501 
18800 2513 
18900 2398 
19000 2324 
19100 2176 
19200 2080 
19300 1931 
19400 1868 
19500 1781 
19600 1736 
19700 1787 
19800 1804 
19900 1770 
20000 1689 
20100 1673 
20200 1644 
20300 1746 
20400 1898 
20500 2107 
20600 2242 
20700 2257 
20800 2396 
20900 2432 
21000 2462 
21100 2427 
21200 2339 
21300 2256 
21400 2258 
21500 2221 
21600 2256 
21700 2160 
21800 2177 
21900 2138 
22000 2355 
22100 2620 
22200 2779 
22300 2695 
22400 2564 
22500 2358 
22600 2261 
22700 2207 
22800 2217 
22900 2277 
23000 2346 
23100 2287 
23200 2227 
23300 2187 
23400 2136 
23500 2164 
23600 2190 
23700 2161 
23800 2146 
23900 1827 
24000 1718 
24100 1643 
24200 1666 
24300 1811 
24400 1933 
24500 2146 
24600 2400 
24700 2484 
24800 2404 
24900 2293 
25000 2269 
25100 2365 
25200 2407 
25300 2319 
25400 2159 
25500 2068 
25600 1968 
25700 1852 
25800 1924 
25900 1930 
26000 1848 
26100 1796 
26200 1646 
26300 1611 
26400 1615 
26500 1620 
26600 1572 
26700 1453 
26800 1439 
26900 1318 
27000 1217 
27100 1167 
27200 1137 
27300 1246 
27400 1407 
27500 1574 
27600 1787 
27700 1808 
27800 1879 
27900 1814 
28000 1661 
28100 1643 
28200 1556 
28300 1533 
28400 1566 
28500 1770 
28600 2023 
28700 2048 
28800 2112 
28900 2113 
29000 2205 
29100 2325 
29200 2478 
29300 2609 
29400 2651 
29500 2647 
29600 2629 
29700 2612 
29800 2703 
29900 2764 
30000 2752 
30100 2750 
30200 2608 
30300 2423 
30400 2212 
30500 2169 
30600 2208 
30700 2317 
30800 2574 
30900 2854 
31000 2859 
31100 2820 
31200 2739 
31300 2517 
31400 2295 
31500 2071 
31600 2022 
31700 1972 
31800 2085 
31900 2246 
32000 2306 
32100 2261 
32200 2188 
32300 2195 
32400 2077 
32500 1994 
32600 1942 
32700 1800 
32800 1783 
32900 1678 
33000 1649 
33100 1702 
33200 1750 
33300 1817 
33400 1915 
33500 1944 
33600 1966 
33700 1960 
33800 1904 
33900 1898 
34000 1859 
34100 1958 
34200 2005 
34300 2058 
34400 1973 
34500 2054 
34600 2153 
34700 2354 
34800 2350 
34900 2305 
35000 2200 
35100 2123 
35200 2074 
35300 2111 
35400 2046 
35500 1945 
35600 1908 
35700 1868 
35800 2051 
35900 2241 
36000 2233 
36100 2379 
36200 2463 
36300 2492 
36400 2500 
36500 2534 
36600 2592 
36700 2594 
36800 2567 
36900 2540 
37000 2437 
37100 2367 
37200 2315 
37300 2305 
37400 2334 
37500 2341 
37600 2293 
37700 2291 
37800 2231 
37900 2140 
38000 2029 
38100 1997 
38200 2003 
38300 1900 
38400 1857 
38500 1940 
38600 1979 
38700 2111 
38800 2128 
38900 2204 
39000 2387 
39100 2427 
39200 2461 
39300 2388 
39400 2335 
39500 2305 
39600 2199 
39700 2221 
39800 2258 
39900 2330 
40000 2310 
40100 2309 
40200 2537 
40300 2572 
40400 2578 
40500 2624 
40600 2758 
40700 2975 
40800 2943 
40900 2909 
41000 2764 
41100 2715 
41200 2673 
41300 2725 
41400 2913 
41500 3081 
41600 3244 
41700 3301 
41800 3421 
41900 3542 
42000 3637 
42100 3638 
42200 3444 
42300 3187 
42400 2987 
42500 2937 
42600 2857 
42700 2780 
42800 2800 
42900 2875 
43000 2819 
43100 2864 
43200 2995 
43300 3014 
43400 2967 
43500 2915 
43600 2763 
43700 2769 
43800 2805 
43900 2691 
44000 2561 
44100 2394 
44200 2367 
44300 2398 
44400 2421 
44500 2511 
44600 2597 
44700 2589 
44800 2688 
44900 2717 
45000 2746 
45100 2764 
45200 2713 
45300 2659 
45400 2650 
45500 2653 
45600 2680 
45700 2979 
45800 2893 
45900 2807 
46000 2687 
46100 2669 
46200 2548 
46300 2502 
46400 2729 
46500 3094 
46600 3352 
46700 3178 
46800 3109 
46900 2914 
47000 2957 
47100 3259 
47200 3362 
47300 3433 
47400 3411 
47500 3222 
47600 3146 
47700 2990 
47800 3081 
47900 3404 
48000 3568 
48100 3562 
48200 3561 
48300 3567 
48400 3659 
48500 3327 
48600 3188 
48700 3095 
48800 3033 
48900 2945 
49000 3009 
49100 3039 
49200 2922 
49300 2837 
49400 2891 
49500 2994 
49600 3199 
49700 3399 
49800 3428 
49900 3380 
50000 3451 
50100 3361 
50200 3146 
50300 3127 
50400 2977 
50500 2852 
50600 2933 
50700 3110 
50800 3171 
50900 3334 
51000 3482 
51100 3341 
51200 3390 
51300 3479 
51400 3504 
51500 3397 
51600 3167 
51700 3157 
51800 3366 
51900 3545 
52000 3668 
52100 3480 
52200 3423 
52300 3344 
52400 3274 
52500 3147 
52600 3109 
52700 3154 
52800 3199 
52900 3232 
53000 3202 
53100 3081 
53200 2941 
53300 2725 
53400 2791 
53500 2702 
53600 2570 
53700 2505 
53800 2547 
53900 2650 
54000 2775 
54100 2825 
54200 2656 
54300 2456 
54400 2295 
54500 2314 
54600 2354 
54700 2325 
54800 2281 
54900 2254 
55000 2385 
55100 2508 
55200 2533 
55300 2506 
55400 2430 
55500 2384 
55600 2337 
55700 2314 
55800 2392 
55900 2447 
56000 2384 
56100 2295 
56200 2271 
56300 2267 
56400 2277 
56500 2299 
56600 2426 
56700 2480 
56800 2441 
56900 2442 
57000 2376 
57100 2464 
57200 2509 
57300 2470 
57400 2429 
57500 2303 
57600 2311 
57700 2319 
57800 2365 
57900 2258 
58000 1958 
58100 1738 
58200 1592 
58300 1438 
58400 1329 
58500 1198 
58600 1077 
58700 1032 
58800 1013 
58900 1035 
59000 1052 
59100 985 
59200 995 
59300 1086 
59400 1244 
59500 1258 
59600 1216 
59700 1146 
59800 1204 
59900 1263 
60000 1230 
60100 1219 
60200 1221 
60300 1318 
60400 1417 
60500 1544 
60600 1549 
60700 1405 
60800 1226 
60900 1054 
61000 941 
61100 931 
61200 898 
61300 886 
61400 879 
61500 920 
61600 991 
61700 1018 
61800 951 
61900 948 
62000 902 
62100 812 
62200 793 
62300 803 
62400 865 
62500 875 
62600 876 
62700 941 
62800 1030 
62900 1110 
63000 1112 
63100 1132 
63200 1023 
63300 981 
63400 909 
63500 799 
63600 725 
63700 684 
63800 669 
63900 528 
64000 406 
64100 321 
64200 263 
64300 218 
64400 179 
64500 208 
64600 240 
64700 223 
64800 228 
64900 276 
65000 360 
65100 364 
65200 414 
65300 385 
65400 407 
65500 459 
65600 507 
65700 584 
65800 702 
65900 899 
66000 893 
66100 821 
66200 758 
66300 789 
66400 764 
66500 709 
66600 680 
66700 581 
66800 542 
66900 507 
67000 504 
67100 531 
67200 557 
67300 494 
67400 519 
67500 528 
67600 442 
67700 375 
67800 299 
67900 292 
68000 261 
68100 250 
68200 216 
68300 185 
68400 191 
68500 192 
68600 193 
68700 206 
68800 189 
68900 217 
69000 251 
69100 273 
69200 284 
69300 297 
69400 268 
69500 232 
69600 272 
69700 377 
69800 460 
69900 497 
70000 489 
70100 517 
70200 602 
70300 695 
70400 746 
70500 751 
70600 745 
70700 696 
70800 685 
70900 596 
71000 542 
71100 487 
71200 467 
71300 429 
71400 393 
71500 381 
71600 422 
71700 475 
71800 550 
71900 651 
72000 663 
72100 679 
72200 697 
72300 730 
72400 813 
72500 854 
72600 871 
72700 819 
72800 792 
72900 755 
73000 643 
73100 604 
73200 567 
73300 593 
73400 587 
73500 604 
73600 585 
73700 562 
73800 553 
73900 536 
74000 537 
74100 516 
74200 526 
74300 495 
74400 437 
74500 409 
74600 362 
74700 338 
74800 299 
74900 307 
75000 364 
