# Sat Sep 12 18:25:44 2020
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
100 1 0 1 0 0 
200 1 0 1 0 0 
300 1 0 1 0 0 
400 1 0 1 0 0 
500 1 0 1 0 0 
600 1 0 1 0 0 
700 1 0 1 0 0 
800 1 0 1 0 0 
900 1 0 1 0 0 
1000 1 0 1 0 0 
1100 1 0 1 0 0 
1200 1 0 1 0 0 
1300 1 0 1 0 0 
1400 1 0 1 0 0 
1500 1 0 1 0 0 
1600 1 0 1 0 0 
1700 1 0 1 0 0 
1800 1 0 1 0 0 
1900 1 0 1 0 0 
2000 1 0 1 0 0 
2100 1 0 1 0 0 
2200 1 0 1 0 0 
2300 1 0 1 0 0 
2400 1 0 1 0 0 
2500 1 0 1 0 0 
2600 1 0 1 0 0 
2700 1 0 1 0 0 
2800 1 0 1 0 0 
2900 1 0 1 0 0 
3000 1 0 1 0 0 
3100 2 0.076146 2 0 0.00930445 
3200 3 0.106016 3 0 0.0139006 
3300 3 0.133392 3 0 0.0185159 
3400 2 0.155225 3 0 0.0224943 
3500 3 0.190268 5 0 0.0291037 
3600 3 0.223638 4 0 0.0357798 
3700 3 0.252422 6 0 0.0419918 
3800 3 0.256349 6 0 0.0430115 
3900 4 0.263372 6 0 0.0442733 
4000 4 0.28491 4 0 0.0490136 
4100 4 0.303303 4 0 0.0532379 
4200 3 0.307598 4 0 0.0544402 
4300 3 0.32612 5 0 0.0593745 
4400 3 0.343688 5 0 0.0639305 
4500 4 0.363942 8 3.74995e-05 0.0688866 
4600 4 0.393506 9 3.77302e-05 0.0766677 
4700 5 0.395239 8 3.79925e-05 0.0772767 
4800 5 0.406571 9 0 0.0805181 
4900 5 0.418107 9 7.77333e-05 0.0836799 
5000 4 0.429092 6 3.93654e-05 0.0873125 
5100 5 0.456542 8 3.97472e-05 0.0955523 
5200 4 0.490691 8 0 0.106356 
5300 4 0.523923 8 0 0.116949 
5400 3 0.537866 6 0 0.121955 
5500 5 0.564545 8 8.26515e-05 0.131168 
5600 5 0.588839 12 0.000167231 0.139847 
5700 5 0.610198 8 0.000510508 0.146686 
5800 5 0.638793 9 0.00034514 0.158506 
5900 5 0.678036 11 0.000261689 0.174459 
6000 7 0.723294 14 0.000265687 0.194483 
6100 6 0.762202 14 0.000268336 0.215072 
6200 7 0.790216 15 0.000364714 0.229952 
6300 7 0.801457 17 0.000453885 0.235696 
6400 7 0.795707 16 0.000327685 0.234435 
6500 7 0.801155 14 0.000567725 0.235984 
6600 6 0.815557 13 0.000671817 0.242142 
6700 6 0.846715 13 0.000827653 0.258617 
6800 7 0.862417 13 0.00121712 0.266147 
6900 7 0.87261 12 0.00128037 0.275881 
7000 7 0.889181 13 0.00149955 0.284065 
7100 7 0.903258 15 0.00212046 0.290099 
7200 7 0.910408 15 0.00162231 0.297693 
7300 8 0.925279 24 0.0017809 0.311199 
7400 8 0.9657 18 0.00270229 0.33126 
7500 7 0.986273 14 0.0034715 0.339287 
7600 8 1.00203 16 0.00373027 0.34519 
7700 8 1.00593 19 0.00357959 0.348233 
7800 8 1.0192 21 0.00327216 0.356246 
7900 8 1.03301 21 0.00322036 0.370035 
8000 8 1.03794 18 0.00310755 0.376309 
8100 9 1.02977 17 0.00325079 0.362383 
8200 7 1.01271 15 0.003386 0.339165 
8300 8 0.998189 16 0.00336186 0.325795 
8400 8 1.00463 17 0.00371153 0.325238 
8500 8 1.00636 16 0.00461882 0.317209 
8600 8 0.991068 15 0.00513732 0.30083 
8700 8 0.970658 12 0.00633378 0.281043 
8800 8 0.96547 10 0.00600804 0.272252 
8900 8 0.947909 18 0.00575724 0.259409 
9000 8 0.956088 20 0.0062659 0.257891 
9100 8 0.965661 18 0.00666108 0.254891 
9200 8 0.967152 14 0.00643975 0.251622 
9300 8 0.965759 15 0.00656686 0.247934 
9400 8 0.94393 15 0.00672553 0.239191 
9500 8 0.931236 19 0.00625367 0.231571 
9600 7 0.916356 18 0.0063211 0.226002 
9700 7 0.898453 13 0.00729629 0.217801 
9800 8 0.894674 14 0.00853929 0.208467 
9900 8 0.903015 18 0.0116583 0.204627 
10000 8 0.930192 14 0.0153653 0.208395 
10100 8 0.949499 18 0.0172311 0.213117 
10200 8 0.971668 20 0.018731 0.217907 
10300 8 0.99138 15 0.0217025 0.224555 
10400 8 1.03056 19 0.0283443 0.239904 
10500 9 1.05221 22 0.0300134 0.250331 
10600 9 1.05638 27 0.0327833 0.255665 
10700 10 1.04898 21 0.0333387 0.253543 
10800 9 1.0429 17 0.0327103 0.252756 
10900 9 0.997382 18 0.0302431 0.240102 
11000 9 0.96361 23 0.0273568 0.231538 
11100 8 0.931862 19 0.0246383 0.220758 
11200 9 0.934724 22 0.0245143 0.220324 
11300 9 0.928846 16 0.0245547 0.217577 
11400 9 0.938593 22 0.0283411 0.223813 
11500 8 0.970229 20 0.0305096 0.237515 
11600 9 0.986353 20 0.0319699 0.241527 
11700 10 1.01359 18 0.0336467 0.249139 
11800 9 1.05024 17 0.0382323 0.261368 
11900 10 1.02836 17 0.0369206 0.249904 
12000 10 1.0089 19 0.0367975 0.240062 
12100 8 0.994895 20 0.0384602 0.234165 
12200 8 0.98223 14 0.0377477 0.225858 
12300 11 0.99542 19 0.0394375 0.228587 
12400 11 1.01192 19 0.0428121 0.23357 
12500 9 1.00648 19 0.0440167 0.231587 
12600 10 1.01838 19 0.0466106 0.236185 
12700 9 1.03044 23 0.0466775 0.237015 
12800 9 1.02491 21 0.0444763 0.227443 
12900 9 1.00642 15 0.0428468 0.217941 
13000 9 1.00492 16 0.0435259 0.215444 
13100 9 1.02863 17 0.0430929 0.21911 
13200 10 1.07316 21 0.0472148 0.23209 
13300 9 1.12583 23 0.0525597 0.247789 
13400 10 1.14242 23 0.0504411 0.250265 
13500 10 1.12029 21 0.0488756 0.243159 
13600 12 1.10202 24 0.0503917 0.239516 
13700 11 1.09608 24 0.0554585 0.242035 
13800 9 1.09974 23 0.0577674 0.247882 
13900 10 1.08461 25 0.0578964 0.248231 
14000 12 1.09044 26 0.0562226 0.250569 
14100 9 1.13977 20 0.0578678 0.266397 
14200 10 1.15522 28 0.0609934 0.274573 
