# Sat Sep 12 18:25:53 2020
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
100 1 0 1 0 1 
200 2 0.0361579 2 0 1 
300 2 0.0367934 2 0 1 
400 2 0.0523323 2 0 1 
500 2 0.0565683 2 0 1 
600 3 0.0721224 3 0 1 
700 4 0.0889331 7 0 1 
800 4 0.0826534 8 0 1 
900 3 0.0788398 10 0 1 
1000 4 0.0780585 12 0.000209108 1.00023 
1100 4 0.0764051 15 8.92069e-05 1.0001 
1200 4 0.0757824 19 0.000398303 1.00042 
1300 4 0.0764087 17 0.000148725 1.00015 
1400 5 0.0827499 19 0.000265444 1.00027 
1500 5 0.0849123 22 0.000350389 1.00037 
1600 5 0.0842566 21 0.000421857 1.00045 
1700 4 0.0801233 19 0.000245327 1.00026 
1800 4 0.0873185 20 0.000505806 1.00054 
1900 4 0.088921 21 0.000601711 1.00064 
2000 4 0.0911336 24 0.000633627 1.0007 
2100 4 0.0982199 23 0.000473026 1.0005 
2200 4 0.0988045 22 0.000412713 1.00044 
2300 4 0.102637 21 0.000479656 1.00051 
2400 4 0.105566 25 0.000651129 1.00068 
2500 4 0.114048 28 0.000869341 1.00093 
2600 4 0.112481 27 0.000789545 1.00085 
2700 4 0.110261 23 0.000640061 1.00069 
2800 4 0.11631 25 0.000763768 1.00083 
2900 4 0.117135 26 0.000743679 1.00078 
3000 4 0.117257 26 0.00100664 1.00106 
3100 6 0.117573 30 0.000992737 1.00106 
3200 6 0.119118 30 0.0010927 1.00116 
3300 7 0.123134 28 0.00145912 1.00155 
3400 7 0.125406 27 0.00132858 1.00141 
3500 7 0.132428 29 0.00149781 1.00159 
3600 8 0.141288 30 0.00188679 1.00202 
3700 8 0.142063 32 0.00183907 1.00197 
3800 7 0.136197 30 0.00146113 1.00155 
3900 7 0.143115 31 0.00169285 1.00178 
4000 7 0.149869 30 0.00202605 1.00214 
4100 6 0.156779 31 0.00208063 1.00221 
4200 6 0.162039 32 0.00215813 1.00231 
4300 6 0.176632 34 0.00252492 1.0027 
4400 7 0.190193 35 0.00254686 1.00269 
4500 7 0.212176 33 0.00283889 1.00303 
4600 7 0.230633 37 0.00296604 1.00315 
4700 7 0.238763 31 0.00255542 1.00273 
4800 7 0.253347 32 0.00235667 1.0025 
4900 7 0.279906 37 0.00262122 1.00277 
5000 7 0.322216 38 0.0034734 1.00368 
5100 8 0.358314 36 0.00365035 1.00388 
5200 8 0.404791 35 0.00382555 1.00406 
5300 7 0.435689 35 0.00320462 1.00342 
5400 7 0.480249 32 0.00324411 1.00346 
5500 7 0.521695 34 0.00231764 1.00245 
5600 7 0.576815 29 0.00261239 1.00277 
5700 7 0.615186 31 0.00213201 1.00226 
5800 8 0.670048 35 0.00256182 1.00272 
5900 6 0.724082 31 0.00261362 1.00277 
6000 8 0.780438 30 0.00302019 1.00319 
6100 8 0.843045 35 0.00378914 1.004 
6200 9 0.904782 39 0.00526197 1.00556 
6300 9 0.9503 41 0.00494623 1.0052 
6400 9 1.01909 36 0.00562781 1.0059 
6500 9 1.05862 38 0.00626434 1.00655 
6600 9 1.12129 42 0.00704808 1.00735 
6700 9 1.16338 47 0.00772491 1.00802 
6800 9 1.20733 47 0.00861088 1.00896 
6900 9 1.26992 50 0.0107501 1.01117 
7000 8 1.3031 51 0.0114672 1.0119 
7100 9 1.35594 57 0.0140329 1.01459 
7200 9 1.39945 51 0.014415 1.01494 
7300 10 1.439 58 0.0155498 1.01611 
7400 10 1.48083 58 0.0160883 1.01672 
7500 11 1.53184 62 0.0180188 1.01874 
7600 12 1.56629 64 0.0184639 1.01919 
7700 12 1.60506 68 0.0187151 1.01954 
7800 12 1.63482 66 0.0202512 1.02099 
7900 13 1.67773 72 0.0211681 1.02188 
8000 11 1.7086 74 0.0213776 1.02203 
8100 13 1.74412 75 0.0231244 1.02386 
8200 13 1.76398 73 0.0206657 1.02128 
8300 11 1.79572 72 0.0223235 1.02292 
8400 11 1.82303 76 0.0233329 1.02397 
8500 11 1.85073 78 0.0236338 1.0243 
8600 14 1.86931 88 0.024987 1.02565 
8700 14 1.89799 87 0.0268422 1.02763 
8800 14 1.90794 85 0.0265006 1.02714 
8900 14 1.92774 93 0.0272583 1.02797 
9000 14 1.94854 94 0.0283191 1.02904 
9100 13 1.9709 99 0.0295642 1.03032 
9200 14 1.98577 95 0.0310594 1.03168 
9300 14 2.00312 96 0.0314766 1.0324 
9400 14 2.02214 97 0.0308944 1.03167 
9500 13 2.0473 103 0.0309813 1.03191 
9600 14 2.06316 100 0.0320918 1.03308 
9700 14 2.09393 109 0.0338264 1.03488 
9800 14 2.10947 108 0.0344542 1.03547 
9900 14 2.13348 107 0.0359349 1.03695 
10000 14 2.1489 113 0.0364491 1.03769 
10100 15 2.16073 112 0.0372791 1.0385 
10200 15 2.17203 110 0.0373615 1.0385 
10300 15 2.17889 114 0.0374196 1.03859 
10400 15 2.19603 113 0.0391173 1.04036 
10500 15 2.20987 120 0.0407208 1.0421 
10600 15 2.22344 112 0.0413563 1.04266 
10700 15 2.23764 120 0.0414655 1.04266 
10800 15 2.24238 127 0.0411124 1.04245 
10900 15 2.24862 130 0.0419511 1.04334 
11000 15 2.25045 138 0.0412747 1.04254 
11100 15 2.25344 128 0.0413503 1.04246 
11200 14 2.27389 131 0.0445196 1.04583 
11300 14 2.28479 135 0.0452347 1.04659 
11400 14 2.2965 136 0.046951 1.04839 
11500 14 2.30418 142 0.0477918 1.0492 
11600 14 2.32036 139 0.0515878 1.05328 
11700 14 2.32015 139 0.0512776 1.05278 
11800 14 2.33902 145 0.0539691 1.0557 
11900 14 2.35045 143 0.0568591 1.05862 
12000 14 2.3492 147 0.0555797 1.05736 
12100 14 2.35529 144 0.0580226 1.05979 
12200 15 2.35016 156 0.0592591 1.06089 
12300 16 2.34001 152 0.0583082 1.05989 
12400 17 2.31783 158 0.0558623 1.05745 
