# Avida Dominant Parasite Data
# Sat Sep 12 18:25:56 2020
#  1: Update
#  2: Number of Extant Parasites

0 0 
100 0 
200 0 
300 0 
400 0 
500 0 
600 0 
700 0 
800 0 
900 0 
1000 0 
1100 0 
1200 0 
1300 0 
1400 0 
1500 0 
1600 0 
1700 0 
1800 0 
1900 0 
2000 0 
2100 0 
2200 0 
2300 0 
2400 0 
2500 0 
2600 0 
2700 0 
2800 0 
2900 0 
3000 0 
3100 269 
3200 534 
3300 766 
3400 999 
3500 1341 
3600 1643 
3700 1856 
3800 2203 
3900 2535 
4000 2927 
4100 3356 
4200 3643 
4300 3813 
4400 4124 
4500 4513 
4600 4953 
4700 5586 
4800 6276 
4900 6894 
5000 7206 
5100 7179 
5200 6787 
5300 6654 
5400 6540 
5500 6585 
5600 6935 
5700 7378 
5800 7935 
5900 8203 
6000 8531 
6100 8742 
6200 8457 
6300 8027 
6400 7736 
6500 7538 
6600 7526 
6700 7538 
6800 7466 
6900 7371 
7000 7429 
7100 7050 
7200 6712 
7300 6347 
7400 6159 
7500 5844 
7600 5656 
7700 5688 
7800 5797 
7900 5836 
8000 5595 
8100 5502 
8200 5717 
8300 6039 
8400 6066 
8500 5843 
8600 5383 
8700 5163 
8800 5241 
8900 5447 
9000 5679 
9100 5798 
9200 5766 
9300 5619 
9400 5517 
9500 5325 
9600 5271 
9700 4988 
9800 4819 
9900 4706 
10000 4915 
10100 5289 
10200 5469 
10300 5409 
10400 5321 
10500 5233 
10600 5272 
10700 5290 
10800 5264 
10900 5237 
11000 5023 
11100 4974 
11200 4673 
11300 4520 
11400 4450 
11500 4489 
11600 4327 
11700 4224 
11800 4210 
11900 4365 
12000 4145 
12100 3869 
12200 3681 
12300 3663 
12400 3605 
12500 3653 
12600 3665 
12700 3866 
12800 3903 
12900 4098 
13000 4737 
13100 5279 
13200 5633 
13300 5792 
13400 5794 
13500 5919 
13600 5915 
13700 5970 
13800 5764 
13900 5411 
14000 5155 
14100 5112 
14200 4971 
14300 4856 
14400 4870 
14500 4908 
14600 4643 
14700 4688 
14800 4893 
14900 5180 
15000 5236 
15100 5060 
15200 4928 
15300 4863 
15400 5006 
15500 5133 
15600 5236 
15700 5226 
15800 5079 
15900 5031 
16000 5064 
16100 5156 
16200 5301 
16300 5389 
16400 5307 
16500 5392 
16600 5426 
16700 5518 
16800 5546 
16900 5664 
17000 5746 
17100 5728 
17200 5517 
17300 5366 
17400 5240 
17500 5346 
17600 5378 
17700 5292 
17800 5192 
17900 5203 
18000 5046 
18100 5150 
18200 5107 
18300 5074 
18400 4870 
18500 4623 
18600 4481 
18700 4392 
18800 4392 
18900 4481 
19000 4600 
19100 4793 
19200 4866 
19300 4758 
19400 4587 
19500 4563 
19600 4320 
19700 4307 
19800 4073 
19900 3955 
20000 3978 
20100 3951 
20200 3844 
20300 3822 
20400 3938 
20500 4408 
20600 4668 
20700 4772 
20800 4671 
20900 4537 
21000 4585 
21100 4611 
21200 4808 
21300 5020 
21400 5106 
21500 5355 
21600 5481 
21700 5760 
21800 6094 
21900 6411 
22000 6420 
22100 6248 
22200 6264 
22300 6069 
22400 5963 
22500 5843 
22600 5840 
22700 5937 
22800 5929 
22900 6078 
23000 6253 
23100 6304 
23200 6160 
23300 6015 
23400 5901 
23500 5897 
23600 5677 
23700 5537 
23800 5494 
23900 5567 
24000 5488 
24100 5591 
24200 5715 
24300 5840 
24400 5959 
24500 6006 
24600 5937 
24700 5960 
24800 5747 
24900 5647 
25000 5519 
25100 5451 
25200 5335 
25300 5105 
25400 5056 
25500 4833 
25600 4807 
25700 4557 
25800 4531 
25900 4572 
26000 4541 
26100 4552 
26200 4575 
26300 4533 
26400 4556 
26500 4384 
26600 4322 
26700 4522 
26800 4627 
26900 4882 
27000 5076 
27100 5118 
27200 5182 
27300 5171 
27400 5219 
27500 5384 
27600 5389 
27700 5316 
27800 5260 
27900 5374 
28000 5353 
28100 5363 
28200 5391 
28300 5469 
28400 5326 
28500 5241 
28600 5128 
28700 5125 
28800 5054 
28900 4966 
29000 4966 
29100 5016 
29200 5262 
29300 5432 
29400 5665 
29500 5626 
29600 5446 
29700 5362 
29800 5298 
29900 5376 
30000 5530 
30100 5663 
30200 5698 
30300 5831 
30400 5585 
30500 5476 
30600 5287 
30700 5236 
30800 5313 
30900 5313 
31000 5298 
31100 5384 
31200 5351 
31300 5219 
31400 5065 
31500 4847 
31600 4894 
31700 4866 
31800 5048 
31900 5235 
32000 5181 
32100 5146 
32200 5076 
32300 5212 
32400 5268 
32500 5127 
32600 5090 
32700 5236 
32800 5252 
32900 5241 
33000 5237 
33100 5003 
33200 4641 
33300 4472 
33400 4592 
33500 4602 
33600 4651 
33700 4840 
33800 4742 
33900 4587 
34000 4581 
34100 4607 
34200 4611 
34300 4611 
34400 4490 
34500 4323 
34600 4253 
34700 4083 
34800 4070 
34900 4102 
35000 4121 
35100 4165 
35200 4125 
35300 4210 
35400 4398 
35500 4604 
35600 4829 
35700 4929 
35800 4824 
35900 4590 
36000 4349 
36100 4129 
36200 3988 
36300 3988 
36400 4115 
36500 4313 
36600 4342 
36700 4175 
36800 4058 
36900 3897 
37000 3752 
37100 3548 
37200 3448 
37300 3445 
37400 3552 
37500 3561 
37600 3560 
37700 3521 
37800 3513 
37900 3503 
38000 3473 
38100 3459 
38200 3473 
38300 3662 
38400 3740 
38500 3555 
38600 3357 
38700 3260 
38800 3238 
38900 3190 
39000 3302 
39100 3363 
39200 3281 
39300 3234 
39400 3035 
39500 3062 
39600 3082 
39700 3164 
39800 3179 
39900 3223 
40000 3213 
40100 3233 
40200 3202 
40300 3121 
40400 2977 
40500 2855 
40600 2820 
40700 2807 
40800 2807 
40900 2737 
41000 2773 
41100 2794 
41200 2695 
41300 2682 
41400 2580 
41500 2511 
41600 2363 
41700 2255 
41800 2115 
41900 2014 
42000 1913 
42100 1925 
42200 1929 
42300 1864 
42400 1830 
42500 1615 
42600 1451 
42700 1317 
42800 1248 
42900 1189 
43000 1247 
43100 1402 
43200 1541 
43300 1712 
43400 1784 
43500 1865 
43600 1836 
43700 1760 
43800 1773 
43900 1817 
44000 1816 
44100 1760 
44200 1626 
44300 1626 
44400 1726 
44500 1738 
44600 1661 
44700 1623 
44800 1580 
44900 1578 
45000 1554 
45100 1526 
45200 1523 
45300 1425 
45400 1353 
45500 1246 
45600 1163 
45700 1196 
45800 1237 
45900 1374 
46000 1509 
46100 1563 
46200 1587 
46300 1559 
46400 1564 
46500 1523 
46600 1525 
46700 1553 
46800 1578 
46900 1708 
47000 1763 
47100 1825 
47200 1754 
47300 1668 
47400 1455 
47500 1342 
47600 1164 
47700 1131 
47800 1078 
47900 1068 
48000 994 
48100 919 
48200 804 
48300 804 
48400 866 
48500 931 
48600 1064 
48700 1110 
48800 1164 
48900 1115 
49000 1132 
49100 1123 
49200 1198 
49300 1234 
49400 1335 
49500 1448 
49600 1440 
49700 1440 
49800 1427 
49900 1447 
50000 1593 
50100 1818 
50200 1849 
50300 1701 
50400 1527 
50500 1374 
50600 1254 
50700 1155 
50800 1075 
50900 1075 
51000 1077 
51100 1152 
51200 1345 
51300 1512 
51400 1590 
51500 1505 
51600 1442 
51700 1437 
51800 1402 
51900 1294 
52000 1263 
52100 1470 
52200 1838 
52300 2099 
52400 2081 
52500 1747 
52600 1528 
52700 1524 
52800 1576 
52900 1689 
53000 1828 
53100 1912 
53200 1906 
53300 1847 
53400 1764 
53500 1645 
53600 1729 
53700 1935 
53800 2266 
53900 2470 
54000 2557 
54100 2537 
54200 2480 
54300 2538 
54400 2719 
54500 2874 
54600 2964 
54700 2911 
54800 2895 
54900 3067 
55000 3124 
55100 3299 
55200 3578 
55300 3627 
55400 3533 
55500 3414 
55600 3244 
55700 3127 
55800 3127 
55900 3254 
56000 3525 
56100 3535 
56200 3736 
56300 4142 
56400 4426 
56500 4497 
56600 4231 
56700 3898 
56800 3646 
56900 3603 
57000 3629 
57100 3889 
57200 4148 
57300 4231 
57400 4524 
57500 4930 
57600 5226 
57700 5280 
57800 5252 
57900 5168 
58000 5147 
58100 4959 
58200 4808 
58300 4717 
58400 4653 
58500 4617 
58600 4746 
58700 4818 
58800 4892 
58900 4898 
59000 4765 
59100 4586 
59200 4346 
59300 4118 
59400 3895 
59500 3878 
59600 3781 
59700 3698 
59800 4036 
59900 4434 
60000 4839 
60100 5124 
60200 5271 
60300 5162 
60400 4888 
60500 4516 
60600 4294 
60700 4035 
60800 3893 
60900 3906 
61000 4082 
61100 4187 
61200 4177 
61300 4041 
61400 3952 
61500 4048 
61600 4067 
61700 4165 
61800 4297 
61900 4536 
62000 4499 
62100 4467 
62200 4365 
62300 4490 
62400 4430 
62500 4454 
62600 4635 
62700 4869 
62800 4964 
62900 4939 
63000 4709 
63100 4672 
63200 4721 
63300 4870 
63400 4912 
63500 4972 
63600 5095 
63700 5192 
63800 5139 
63900 4962 
64000 4838 
64100 4654 
64200 4593 
64300 4653 
64400 4569 
64500 4736 
64600 4709 
64700 4758 
64800 4710 
64900 4658 
65000 4494 
65100 4390 
65200 4344 
65300 4213 
65400 4112 
65500 4140 
65600 4094 
65700 4201 
65800 4380 
65900 4452 
66000 4402 
66100 4304 
66200 4425 
66300 4680 
66400 4990 
66500 5431 
66600 5691 
66700 5651 
66800 5461 
66900 5159 
67000 4921 
67100 4921 
67200 4919 
67300 4926 
67400 5046 
67500 5271 
67600 5245 
67700 5293 
67800 5538 
67900 5712 
68000 5785 
68100 5881 
68200 5778 
68300 5464 
68400 5024 
68500 4661 
68600 4564 
68700 4607 
68800 4683 
68900 4592 
69000 4537 
69100 4465 
69200 4440 
69300 4569 
69400 4435 
69500 4466 
69600 4343 
69700 4431 
69800 4552 
69900 4476 
70000 4595 
70100 4716 
70200 5064 
70300 5357 
70400 5678 
70500 6078 
70600 6374 
70700 6429 
70800 6054 
70900 5669 
71000 5422 
71100 5458 
71200 5526 
71300 5768 
71400 5909 
71500 6295 
71600 6394 
71700 6462 
71800 6377 
71900 5963 
72000 5765 
72100 5528 
72200 5794 
72300 5713 
72400 5727 
72500 5421 
72600 5263 
72700 5126 
72800 5105 
72900 5166 
73000 5401 
73100 5727 
73200 5955 
73300 6274 
73400 6617 
73500 6747 
73600 6836 
73700 6849 
73800 6783 
73900 6580 
74000 6369 
74100 6404 
74200 6159 
74300 5933 
74400 5785 
74500 6012 
74600 6240 
74700 6211 
74800 5938 
74900 6032 
75000 6146 
