# Sat Sep 12 18:25:42 2020
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
100 1 0 1 0 1 
200 1 0 1 0 1 
300 1 0 1 0 1 
400 1 0 1 0 1 
500 1 0 1 0 1 
600 1 0 1 0 1 
700 2 0.00767358 4 0 1 
800 3 0.00706446 6 0 1 
900 4 0.0107529 9 0.000247486 1.00027 
1000 4 0.0105233 9 0.000105357 1.00011 
1100 4 0.0157765 12 0.000356897 1.00039 
1200 4 0.0218009 15 0.000618751 1.00067 
1300 5 0.0278691 17 0.000633328 1.00068 
1400 4 0.0284616 17 0.000552802 1.00059 
1500 5 0.0334705 17 0.000563524 1.0006 
1600 5 0.0406143 19 0.000801872 1.00083 
1700 6 0.047594 23 0.000974407 1.00102 
1800 6 0.0410345 22 0.000743451 1.00077 
1900 7 0.0490714 23 0.00090971 1.00095 
2000 7 0.0535154 26 0.00119807 1.00125 
2100 7 0.0538924 27 0.00096944 1.001 
2200 7 0.060352 26 0.0016092 1.00169 
2300 7 0.0560308 27 0.00142032 1.00148 
2400 7 0.054362 29 0.00143034 1.00149 
2500 6 0.0562102 29 0.00153966 1.0016 
2600 6 0.0652884 32 0.00206694 1.00217 
2700 5 0.0653703 31 0.00221219 1.00233 
2800 6 0.0710836 31 0.00228585 1.00241 
2900 6 0.0739549 33 0.00227724 1.00239 
3000 6 0.0809876 32 0.00272056 1.00286 
3100 6 0.0832849 32 0.00308927 1.00325 
3200 6 0.0905958 35 0.00380175 1.00397 
3300 7 0.0908295 35 0.00376428 1.00394 
3400 7 0.0926581 36 0.00425331 1.00444 
3500 7 0.0959801 37 0.00415411 1.00433 
3600 7 0.0946337 39 0.00399359 1.00416 
3700 7 0.103247 37 0.00482855 1.00504 
3800 7 0.10627 39 0.00534056 1.0056 
3900 7 0.117371 40 0.00614928 1.0064 
4000 8 0.128571 39 0.00620845 1.00645 
4100 8 0.135458 42 0.00629929 1.00655 
4200 8 0.153783 45 0.00745229 1.00774 
4300 8 0.160497 46 0.00786483 1.00821 
4400 8 0.172132 47 0.00887833 1.00919 
4500 8 0.184334 46 0.0089265 1.00925 
4600 8 0.2001 44 0.0102629 1.01063 
4700 8 0.218031 49 0.01154 1.01193 
4800 8 0.22965 47 0.0122509 1.01273 
4900 8 0.239497 49 0.0130891 1.01356 
5000 9 0.267976 48 0.0146346 1.01514 
5100 9 0.286092 51 0.0150702 1.01562 
5200 9 0.313082 49 0.0162189 1.01675 
5300 8 0.347705 48 0.0171487 1.01771 
5400 9 0.388184 48 0.0198617 1.02055 
5500 9 0.431008 49 0.0215389 1.02227 
5600 9 0.449358 51 0.0197437 1.02038 
5700 8 0.478788 51 0.0191973 1.01983 
5800 8 0.518648 55 0.0199373 1.02062 
5900 9 0.564029 56 0.02065 1.02129 
6000 9 0.603059 52 0.0218861 1.02252 
6100 9 0.656479 52 0.0229399 1.02359 
6200 10 0.709744 54 0.025128 1.0258 
6300 10 0.762168 53 0.0260155 1.02666 
6400 10 0.826299 55 0.0277754 1.02841 
6500 10 0.891545 55 0.0303974 1.03112 
6600 10 0.954867 53 0.0297207 1.03033 
6700 9 1.00825 49 0.0285846 1.02919 
6800 9 1.08018 48 0.0288063 1.02943 
6900 9 1.15053 47 0.0279064 1.02859 
7000 9 1.20403 50 0.0256536 1.02629 
7100 10 1.26747 52 0.0256757 1.0264 
7200 10 1.3311 60 0.028391 1.02927 
7300 9 1.37666 58 0.0286446 1.02964 
7400 9 1.44028 61 0.0302179 1.03123 
7500 9 1.4893 61 0.0327227 1.03394 
7600 9 1.53007 59 0.0337819 1.035 
7700 10 1.57821 67 0.036507 1.03785 
7800 10 1.61838 72 0.040525 1.04208 
7900 10 1.64785 74 0.0430898 1.04474 
8000 11 1.6653 70 0.0431955 1.04481 
8100 11 1.7009 78 0.045596 1.04723 
8200 11 1.73781 79 0.0492307 1.05106 
8300 11 1.75671 84 0.050797 1.05256 
8400 11 1.78068 81 0.0508899 1.05263 
8500 11 1.8089 84 0.0537646 1.05557 
8600 11 1.82904 87 0.054532 1.0564 
8700 11 1.84431 88 0.0560263 1.05797 
8800 11 1.86412 96 0.0567282 1.05858 
8900 11 1.8868 97 0.0582692 1.06018 
9000 11 1.91093 100 0.0597495 1.06162 
9100 12 1.92783 104 0.0584751 1.0604 
9200 12 1.95582 103 0.0605975 1.06252 
9300 10 1.96244 96 0.0594847 1.06121 
9400 12 1.98213 110 0.061178 1.06315 
9500 13 1.99508 114 0.0625551 1.06437 
9600 12 2.01855 109 0.0645802 1.06656 
9700 12 2.02753 113 0.0641349 1.06615 
9800 12 2.0526 117 0.0659635 1.06803 
9900 12 2.08065 119 0.0676603 1.06977 
10000 13 2.09602 124 0.0684521 1.07063 
10100 14 2.11255 117 0.0667097 1.0688 
10200 12 2.14663 120 0.0702617 1.07242 
10300 13 2.16776 120 0.0713627 1.07362 
10400 14 2.18995 114 0.0705984 1.07279 
10500 14 2.19279 117 0.0684225 1.07037 
10600 14 2.22271 119 0.0710433 1.07322 
10700 14 2.22822 118 0.0712449 1.07338 
10800 14 2.23974 125 0.0720005 1.07433 
10900 14 2.25289 125 0.0727465 1.07518 
11000 15 2.25834 131 0.0713503 1.07372 
11100 14 2.25097 128 0.0684614 1.0707 
11200 14 2.25834 126 0.0668231 1.06905 
11300 15 2.26501 131 0.0662465 1.06835 
11400 15 2.27966 128 0.0675233 1.06956 
11500 15 2.28436 127 0.0643934 1.06634 
11600 15 2.2987 129 0.0667458 1.06873 
11700 14 2.31085 128 0.0654123 1.06731 
11800 13 2.32029 128 0.0652251 1.06713 
11900 14 2.34743 136 0.0673684 1.06949 
12000 14 2.35638 133 0.0666512 1.06865 
12100 14 2.37117 136 0.0670888 1.06924 
12200 13 2.38388 135 0.0669295 1.06901 
12300 13 2.39858 134 0.0666583 1.069 
12400 13 2.4072 134 0.0663238 1.06864 
