# Avida Dominant Parasite Data
# Wed Aug 26 16:21:26 2020
#  1: Update
#  2: Number of Extant Parasites

0 0 
100 0 
200 0 
300 0 
400 0 
500 0 
600 0 
700 0 
800 0 
900 0 
1000 0 
1100 0 
1200 0 
1300 0 
1400 0 
1500 0 
1600 0 
1700 0 
1800 0 
1900 0 
2000 0 
2100 0 
2200 0 
2300 0 
2400 0 
2500 0 
2600 0 
2700 0 
2800 0 
2900 0 
3000 0 
3100 314 
3200 626 
3300 879 
3400 1321 
3500 1874 
3600 2328 
3700 2758 
3800 3428 
3900 4094 
4000 4676 
4100 5200 
4200 5448 
4300 5546 
4400 5807 
4500 6347 
4600 6822 
4700 6957 
4800 7040 
4900 7014 
5000 7277 
5100 7421 
5200 7740 
5300 8360 
5400 9188 
5500 10130 
5600 10794 
5700 11003 
5800 11138 
5900 11349 
6000 11411 
6100 11445 
6200 11707 
6300 11888 
6400 11999 
6500 12035 
6600 12016 
6700 11932 
6800 11850 
6900 11789 
7000 11736 
7100 11691 
7200 11473 
7300 11472 
7400 11245 
7500 11195 
7600 11121 
7700 11285 
7800 11355 
7900 11547 
8000 11328 
8100 11137 
8200 10852 
8300 10754 
8400 10494 
8500 10205 
8600 10324 
8700 10259 
8800 10501 
8900 10497 
9000 10498 
9100 10403 
9200 10180 
9300 10009 
9400 9901 
9500 10046 
9600 10134 
9700 10277 
9800 10070 
9900 9745 
10000 9552 
10100 9566 
10200 9687 
10300 9671 
10400 9850 
10500 9928 
10600 10132 
10700 10225 
10800 10037 
10900 9724 
11000 9426 
11100 9227 
11200 9248 
11300 9367 
11400 9480 
11500 9404 
11600 9299 
11700 9282 
11800 9330 
11900 9566 
12000 9531 
12100 9634 
12200 9549 
12300 9708 
12400 9528 
12500 9624 
12600 9614 
12700 9734 
12800 9822 
12900 9728 
13000 9712 
13100 9509 
13200 9419 
13300 9347 
13400 9467 
13500 9554 
13600 9578 
13700 9503 
13800 9350 
13900 9076 
14000 8923 
14100 8954 
14200 9012 
14300 9045 
14400 9244 
14500 9333 
14600 9417 
14700 9615 
14800 9696 
14900 9668 
15000 9715 
15100 9661 
15200 9673 
15300 9442 
15400 8922 
15500 8481 
15600 8204 
15700 8325 
15800 8663 
15900 9188 
16000 9627 
16100 9708 
16200 9735 
16300 9655 
16400 9525 
16500 9166 
16600 8849 
16700 8754 
16800 8798 
16900 8774 
17000 8869 
17100 8924 
17200 9013 
17300 8852 
17400 8760 
17500 8731 
17600 8752 
17700 8933 
17800 8999 
17900 8928 
18000 8890 
18100 8963 
18200 9132 
18300 9142 
18400 9042 
18500 8931 
18600 9070 
18700 9097 
18800 9222 
18900 9175 
19000 8952 
19100 8835 
19200 8725 
19300 8657 
19400 8605 
19500 8527 
19600 8496 
19700 8382 
19800 8551 
19900 8535 
20000 8724 
20100 8947 
20200 9345 
20300 9648 
20400 9587 
20500 9483 
20600 9251 
20700 8964 
20800 8893 
20900 8894 
21000 9052 
21100 9020 
21200 9017 
21300 9182 
21400 9266 
21500 9360 
21600 9210 
21700 9262 
21800 9174 
21900 9101 
22000 9026 
22100 9116 
22200 8951 
22300 8981 
22400 8836 
22500 8974 
22600 9040 
22700 9141 
22800 9301 
22900 9413 
23000 9165 
23100 9052 
23200 9000 
23300 8996 
23400 9033 
23500 8980 
23600 8873 
23700 9018 
23800 9043 
23900 9272 
24000 9296 
24100 9328 
24200 9298 
24300 9258 
24400 9073 
24500 9073 
24600 8902 
24700 8871 
24800 8900 
24900 8860 
25000 8695 
25100 8466 
25200 8493 
25300 8457 
25400 8639 
25500 8826 
25600 9118 
25700 9541 
25800 9839 
25900 9957 
26000 9706 
26100 9468 
26200 9177 
26300 9141 
26400 8940 
26500 8839 
26600 8716 
26700 8790 
26800 8960 
26900 9391 
27000 9677 
27100 9755 
27200 9663 
27300 9314 
27400 9102 
27500 8877 
27600 9066 
27700 9087 
27800 9094 
27900 9120 
28000 9250 
28100 9463 
28200 9651 
28300 9615 
28400 9350 
28500 8832 
28600 8627 
28700 8752 
28800 8961 
28900 9251 
29000 9555 
29100 9550 
29200 9342 
29300 9370 
29400 9354 
29500 9388 
29600 9294 
29700 9263 
29800 9474 
29900 9444 
30000 9347 
30100 9274 
30200 9144 
30300 9403 
30400 9404 
30500 9429 
30600 9276 
30700 9343 
30800 9496 
30900 9477 
31000 9432 
31100 9463 
31200 9557 
31300 9424 
31400 9546 
31500 9552 
31600 9539 
31700 9550 
31800 9528 
31900 9548 
32000 9414 
32100 9381 
32200 9303 
32300 9332 
32400 9438 
32500 9304 
32600 9347 
32700 9195 
32800 9305 
32900 9150 
33000 9136 
33100 9056 
33200 9316 
33300 9492 
33400 9578 
33500 9512 
33600 9579 
33700 9575 
33800 9574 
33900 9561 
34000 9579 
34100 9344 
34200 9098 
34300 8935 
34400 8872 
34500 8947 
34600 9160 
34700 9508 
34800 9636 
34900 9463 
35000 9221 
35100 8944 
35200 8973 
35300 9216 
35400 9321 
35500 9224 
35600 9148 
35700 9274 
35800 9319 
35900 9493 
36000 9359 
36100 9114 
36200 8781 
36300 8695 
36400 8885 
36500 9198 
36600 9206 
36700 9136 
36800 9020 
36900 8983 
37000 8919 
37100 8841 
37200 8738 
37300 8432 
37400 8473 
37500 8579 
37600 8837 
37700 9153 
37800 9285 
37900 9336 
38000 9192 
38100 8970 
38200 8920 
38300 8960 
38400 9253 
38500 9387 
38600 9528 
38700 9513 
38800 9433 
38900 9427 
39000 9158 
39100 8983 
39200 8837 
39300 8955 
39400 9026 
39500 9033 
39600 9039 
39700 9257 
39800 9551 
39900 9699 
40000 9734 
40100 9464 
40200 9279 
40300 9028 
40400 8899 
40500 8659 
40600 8501 
40700 8339 
40800 8730 
40900 8931 
41000 9195 
41100 9065 
41200 9133 
41300 9324 
41400 9414 
41500 9558 
41600 9562 
41700 9559 
41800 9658 
41900 9453 
42000 9315 
42100 9207 
42200 9157 
42300 9241 
42400 9159 
42500 9129 
42600 9042 
42700 9259 
42800 9411 
42900 9429 
43000 9550 
43100 9678 
43200 9569 
43300 9451 
43400 9365 
43500 9430 
43600 9525 
43700 9501 
43800 9506 
43900 9455 
44000 9372 
44100 9289 
44200 9326 
44300 9013 
44400 8937 
44500 8856 
44600 9121 
44700 9012 
44800 9055 
44900 9052 
45000 9107 
45100 9157 
45200 9124 
45300 9196 
45400 9113 
45500 9192 
45600 9181 
45700 9217 
45800 9468 
45900 9613 
46000 9589 
46100 9343 
46200 9165 
46300 9187 
46400 9349 
46500 9311 
46600 9265 
46700 9154 
46800 9238 
46900 9216 
47000 8884 
47100 8983 
47200 9109 
47300 9342 
47400 9460 
47500 9508 
47600 9498 
47700 9586 
47800 9512 
47900 9686 
48000 9633 
48100 9707 
48200 9484 
48300 9219 
48400 8869 
48500 8771 
48600 8713 
48700 8914 
48800 9248 
48900 9625 
49000 9863 
49100 9768 
49200 9696 
49300 9472 
49400 9201 
49500 9001 
49600 9025 
49700 9071 
49800 8966 
49900 8993 
50000 8946 
50100 8959 
50200 9109 
50300 9469 
50400 9862 
50500 9944 
50600 9925 
50700 9725 
50800 9610 
50900 9372 
51000 9222 
51100 9011 
51200 9047 
51300 9207 
51400 9442 
51500 9366 
51600 9381 
51700 9390 
51800 9541 
51900 9696 
52000 9761 
52100 9758 
52200 9690 
52300 9558 
52400 9166 
52500 8733 
52600 8682 
52700 8556 
52800 8578 
52900 8575 
53000 8726 
53100 9165 
53200 9324 
53300 9567 
53400 9498 
53500 9602 
53600 9614 
53700 9494 
53800 9470 
53900 9183 
54000 8920 
54100 8565 
54200 8484 
54300 8517 
54400 8581 
54500 8800 
54600 9037 
54700 9274 
54800 9438 
54900 9695 
55000 9770 
55100 9605 
55200 9136 
55300 8734 
55400 8509 
55500 8409 
55600 8495 
55700 8405 
55800 8522 
55900 8801 
56000 9018 
56100 9105 
56200 9253 
56300 9201 
56400 9260 
56500 9025 
56600 8838 
56700 8629 
56800 8563 
56900 8557 
57000 8840 
57100 9207 
57200 9664 
57300 9766 
57400 9832 
57500 9688 
57600 9454 
57700 9264 
57800 9070 
57900 9077 
58000 8887 
58100 8860 
58200 8651 
58300 8802 
58400 8903 
58500 8996 
58600 9020 
58700 9071 
58800 8980 
58900 8901 
59000 8852 
59100 8878 
59200 9032 
59300 8875 
59400 8878 
59500 8795 
59600 8788 
59700 8794 
59800 8875 
59900 9023 
60000 9285 
60100 9337 
60200 9625 
60300 9693 
60400 9617 
60500 9388 
60600 9118 
60700 8898 
60800 8491 
60900 8323 
61000 8430 
61100 8675 
61200 8910 
61300 9273 
61400 9465 
61500 9762 
61600 9777 
61700 9675 
61800 9511 
61900 9363 
62000 9045 
62100 8799 
62200 8628 
62300 8673 
62400 8869 
62500 9113 
62600 9178 
62700 9428 
62800 9457 
62900 9530 
63000 9348 
63100 9016 
63200 8721 
63300 8373 
63400 8499 
63500 8648 
63600 9003 
63700 9329 
63800 9643 
63900 9851 
64000 9505 
64100 9358 
64200 9271 
64300 9181 
64400 9566 
64500 9404 
64600 9283 
64700 8972 
64800 8799 
64900 8766 
65000 8736 
65100 8768 
65200 8868 
65300 9058 
65400 9182 
65500 9275 
65600 9117 
65700 9059 
65800 9011 
65900 8908 
66000 8702 
66100 8745 
66200 9176 
66300 9517 
66400 9626 
66500 9465 
66600 9357 
66700 9185 
66800 9003 
66900 8722 
67000 8852 
67100 8807 
67200 8885 
67300 8943 
67400 9126 
67500 9167 
67600 9233 
67700 9379 
67800 9472 
67900 9516 
68000 9394 
68100 9144 
68200 9188 
68300 9371 
68400 9301 
68500 9115 
68600 8957 
68700 8790 
68800 8739 
68900 8776 
69000 8984 
69100 8950 
69200 9155 
69300 9191 
69400 9364 
69500 9384 
69600 9372 
69700 9283 
69800 9124 
69900 9104 
70000 9056 
70100 9205 
70200 9228 
70300 9164 
70400 9242 
70500 9107 
70600 9232 
70700 9282 
70800 9459 
70900 9534 
71000 9539 
71100 9474 
71200 9181 
71300 9050 
71400 8981 
71500 8875 
71600 8959 
71700 8770 
71800 8934 
71900 9164 
72000 9311 
72100 9298 
72200 9191 
72300 9302 
72400 9346 
72500 9362 
72600 9482 
72700 9421 
72800 9392 
72900 9461 
73000 9330 
73100 9283 
73200 9307 
73300 9454 
73400 9548 
73500 9547 
73600 9644 
73700 9682 
73800 9651 
73900 9457 
74000 9300 
74100 9062 
74200 8994 
74300 8903 
74400 8949 
74500 8941 
74600 9098 
74700 9068 
74800 8996 
74900 8866 
75000 8828 
