# Wed Aug 26 16:21:26 2020
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
100 1 0 1 0 0 
200 1 0 1 0 0 
300 1 0 1 0 0 
400 1 0 1 0 0 
500 1 0 1 0 0 
600 1 0 1 0 0 
700 1 0 1 0 0 
800 1 0 1 0 0 
900 1 0 1 0 0 
1000 1 0 1 0 0 
1100 1 0 1 0 0 
1200 1 0 1 0 0 
1300 1 0 1 0 0 
1400 1 0 1 0 0 
1500 1 0 1 0 0 
1600 1 0 1 0 0 
1700 1 0 1 0 0 
1800 1 0 1 0 0 
1900 1 0 1 0 0 
2000 1 0 1 0 0 
2100 1 0 1 0 0 
2200 1 0 1 0 0 
2300 1 0 1 0 0 
2400 1 0 1 0 0 
2500 1 0 1 0 0 
2600 1 0 1 0 0 
2700 1 0 1 0 0 
2800 1 0 1 0 0 
2900 1 0 1 0 0 
3000 1 0 1 0 0 
3100 2 0.0884441 2 0 0.0111686 
3200 2 0.153525 2 0 0.0221825 
3300 2 0.204841 2 0 0.032105 
3400 2 0.276643 2 0 0.0477226 
3500 2 0.3616 2 0 0.0688454 
3600 2 0.425041 2 0 0.0866067 
3700 2 0.48194 2 0 0.104126 
3800 2 0.560353 2 0 0.131065 
3900 2 0.632536 2 0 0.15926 
4000 2 0.692015 2 0 0.185524 
4100 2 0.750812 2 0 0.214936 
4200 2 0.786804 2 0 0.235105 
4300 2 0.814151 2 0 0.251821 
4400 2 0.846938 2 0 0.273852 
4500 2 0.895373 2 0 0.311916 
4600 2 0.9358 2 0 0.351952 
4700 2 0.959474 2 0 0.382046 
4800 2 0.973 2 0 0.403569 
4900 2 0.98078 2 0 0.418565 
5000 2 0.993803 2 0 0.45369 
5100 2 0.997242 2 0 0.469093 
5200 2 0.999809 2 0 0.491866 
5300 2 0.997362 2 0 0.530227 
5400 2 0.984621 2 0 0.572877 
5500 2 0.955211 2 0 0.623941 
5600 2 0.925484 2 0 0.659303 
5700 2 0.91861 2 0 0.666352 
5800 2 0.905226 2 0 0.679221 
5900 2 0.898086 2 0 0.685691 
6000 2 0.890734 2 0 0.6921 
6100 2 0.892644 2 0 0.690458 
6200 2 0.884974 2 0 0.696961 
6300 2 0.872459 2 0 0.707083 
6400 2 0.870206 2 0 0.708847 
6500 2 0.862561 2 0 0.714709 
6600 2 0.862653 2 0 0.714639 
6700 2 0.857579 2 0 0.718431 
6800 2 0.853289 2 0 0.72158 
6900 2 0.856231 2 0 0.719427 
7000 2 0.85088 2 0 0.723325 
7100 2 0.85338 2 0 0.721514 
7200 2 0.856259 2 0 0.719406 
7300 2 0.854161 2 0 0.720944 
7400 2 0.862318 2 0 0.714892 
7500 2 0.875923 2 0 0.704339 
7600 2 0.885331 2 0 0.696664 
7700 2 0.879714 2 0 0.701285 
7800 2 0.876962 2 0 0.703507 
7900 2 0.86219 2 0 0.714988 
8000 2 0.867578 2 0 0.710883 
8100 2 0.865865 2 0 0.712198 
8200 2 0.882652 2 0 0.698883 
8300 2 0.880082 2 0 0.700986 
8400 2 0.89089 2 0 0.691967 
8500 2 0.905184 2 0 0.679261 
8600 2 0.906833 2 0 0.67773 
8700 2 0.909942 2 0 0.674804 
8800 2 0.895662 2 0 0.68783 
8900 2 0.898197 2 0 0.685591 
9000 2 0.896393 2 0 0.687188 
9100 2 0.896329 2 0 0.687244 
9200 2 0.901676 2 0 0.682469 
9300 2 0.907994 2 0 0.676644 
9400 2 0.920841 2 0 0.664101 
9500 2 0.914119 2 0 0.670788 
9600 2 0.90758 2 0 0.677032 
9700 2 0.894217 2 0 0.689094 
9800 2 0.898228 2 0 0.685564 
9900 2 0.908046 2 0 0.676595 
10000 2 0.920685 2 0 0.664259 
10100 2 0.927015 2 0 0.657687 
10200 2 0.927142 2 0 0.657552 
10300 2 0.931634 2 0 0.6527 
10400 2 0.92566 2 0 0.659119 
10500 2 0.923699 2 0 0.661165 
10600 2 0.910307 2 0 0.674457 
10700 2 0.898541 2 0 0.685285 
10800 2 0.896178 2 0 0.687377 
10900 2 0.905274 2 0 0.679177 
11000 2 0.91232 2 0 0.672531 
11100 2 0.921314 2 0 0.663618 
11200 2 0.922975 2 0 0.661914 
11300 2 0.923613 2 0 0.661254 
11400 2 0.922439 2 0 0.662466 
11500 2 0.923173 2 0 0.66171 
11600 2 0.930941 2 0 0.653459 
11700 2 0.929719 2 0 0.654788 
11800 2 0.932808 2 0 0.651404 
11900 2 0.926603 2 0 0.658123 
12000 2 0.93053 2 0 0.653907 
12100 2 0.924864 2 0 0.659953 
12200 2 0.928617 2 0 0.655976 
12300 2 0.918669 2 0 0.666293 
12400 2 0.930445 2 0 0.654 
12500 2 0.923014 2 0 0.661874 
12600 2 0.922068 2 0 0.662847 
12700 2 0.91666 2 0 0.668294 
12800 2 0.915054 2 0 0.669875 
12900 2 0.915166 2 0 0.669765 
13000 2 0.91812 2 0 0.666842 
13100 2 0.923934 2 0 0.660922 
13200 2 0.930321 2 0 0.654135 
13300 2 0.930679 2 0 0.653745 
13400 2 0.925396 2 0 0.659395 
13500 2 0.919765 2 0 0.665191 
13600 2 0.911078 2 0 0.673722 
13700 2 0.908017 2 0 0.676622 
13800 2 0.917168 2 0 0.667791 
13900 2 0.928094 2 0 0.656537 
14000 2 0.935999 2 0 0.647822 
14100 2 0.937785 2 0 0.645774 
14200 2 0.936784 2 0 0.646925 
14300 2 0.940476 2 0 0.642632 
14400 2 0.939034 2 0 0.644325 
14500 2 0.940085 2 0 0.643094 
14600 2 0.941919 2 0 0.640918 
14700 2 0.933119 2 0 0.651059 
14800 2 0.925209 2 0 0.659591 
14900 2 0.926241 2 0 0.658506 
15000 2 0.913682 2 0 0.671213 
15100 2 0.909252 2 0 0.675459 
15200 2 0.896892 2 0 0.686748 
15300 2 0.897407 2 0 0.686292 
15400 2 0.920583 2 0 0.664362 
15500 2 0.941678 2 0 0.641205 
15600 2 0.959474 2 0 0.617954 
15700 2 0.964007 2 0 0.611221 
15800 2 0.957188 2 0 0.621203 
15900 2 0.94702 2 0 0.634668 
16000 2 0.935882 2 0 0.647954 
16100 2 0.929904 2 0 0.654588 
16200 2 0.916787 2 0 0.668168 
