# Wed Aug 26 16:21:26 2020
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
100 1 0 1 0 0 
200 1 0 1 0 0 
300 1 0 1 0 0 
400 1 0 1 0 0 
500 1 0 1 0 0 
600 1 0 1 0 0 
700 1 0 1 0 0 
800 1 0 1 0 0 
900 1 0 1 0 0 
1000 1 0 1 0 0 
1100 1 0 1 0 0 
1200 1 0 1 0 0 
1300 1 0 1 0 0 
1400 1 0 1 0 0 
1500 1 0 1 0 0 
1600 1 0 1 0 0 
1700 1 0 1 0 0 
1800 1 0 1 0 0 
1900 1 0 1 0 0 
2000 1 0 1 0 0 
2100 1 0 1 0 0 
2200 1 0 1 0 0 
2300 1 0 1 0 0 
2400 1 0 1 0 0 
2500 1 0 1 0 0 
2600 1 0 1 0 0 
2700 1 0 1 0 0 
2800 1 0 1 0 0 
2900 1 0 1 0 0 
3000 1 0 1 0 0 
3100 2 0.074217 2 0 0.00901897 
3200 2 0.1214 2 0 0.0165153 
3300 2 0.177404 2 0 0.0266694 
3400 2 0.244914 2 0 0.0405732 
3500 2 0.331649 2 0 0.0610626 
3600 2 0.399481 2 0 0.0792359 
3700 2 0.445487 2 0 0.0927208 
3800 2 0.490592 2 0 0.106932 
3900 2 0.532367 2 0 0.121048 
4000 2 0.559564 2 0 0.130777 
4100 2 0.582185 2 0 0.139217 
4200 2 0.601852 2 0 0.146831 
4300 2 0.641158 2 0 0.162881 
4400 2 0.670409 2 0 0.175624 
4500 2 0.718763 2 0 0.198423 
4600 2 0.768471 2 0 0.224596 
4700 2 0.806705 2 0 0.247134 
4800 2 0.826748 2 0 0.260001 
4900 2 0.852823 2 0 0.278081 
5000 2 0.878641 2 0 0.297845 
5100 2 0.899238 2 0 0.315337 
5200 2 0.919673 2 0 0.334716 
5300 2 0.92616 2 0 0.341409 
5400 2 0.938985 2 0 0.355618 
5500 2 0.960896 2 0 0.384114 
5600 2 0.983304 2 0 0.424079 
5700 2 0.993463 2 0 0.452439 
5800 2 0.997918 2 0 0.473144 
5900 2 0.999474 2 0 0.486496 
6000 2 0.99911 2 0 0.517564 
6100 2 0.995443 2 0 0.539719 
6200 2 0.988497 2 0 0.563056 
6300 2 0.972572 2 0 0.597187 
6400 2 0.953641 2 0 0.626071 
6500 2 0.940993 2 0 0.642021 
6600 2 0.932769 2 0 0.651447 
6700 2 0.927195 2 0 0.657495 
6800 2 0.934174 2 0 0.649881 
6900 2 0.936412 2 0 0.64735 
7000 2 0.938122 2 0 0.645386 
7100 2 0.951908 2 0 0.62838 
7200 2 0.956943 2 0 0.621546 
7300 2 0.955674 2 0 0.623306 
7400 2 0.948854 2 0 0.632345 
7500 2 0.938187 2 0 0.645309 
7600 2 0.943135 2 0 0.639455 
7700 2 0.951545 2 0 0.628857 
7800 2 0.955241 2 0 0.6239 
7900 2 0.960433 2 0 0.616563 
8000 2 0.952279 2 0 0.627889 
8100 2 0.939471 2 0 0.643814 
8200 2 0.906967 2 0 0.677605 
8300 2 0.899616 2 0 0.684325 
8400 2 0.90194 2 0 0.68223 
8500 2 0.915561 2 0 0.669378 
8600 2 0.916087 2 0 0.66886 
8700 2 0.917098 2 0 0.66786 
8800 2 0.907753 2 0 0.67687 
8900 2 0.900152 2 0 0.683844 
9000 2 0.895099 2 0 0.688324 
9100 2 0.904343 2 0 0.680036 
9200 2 0.91055 2 0 0.674226 
9300 2 0.916825 2 0 0.66813 
9400 2 0.914101 2 0 0.670805 
9500 2 0.922698 2 0 0.6622 
9600 2 0.921048 2 0 0.663889 
9700 2 0.923914 2 0 0.660943 
9800 2 0.918617 2 0 0.666346 
9900 2 0.916156 2 0 0.668792 
10000 2 0.91132 2 0 0.673491 
10100 2 0.907016 2 0 0.677559 
10200 2 0.903173 2 0 0.681108 
10300 2 0.898384 2 0 0.685425 
10400 2 0.901781 2 0 0.682374 
10500 2 0.902116 2 0 0.68207 
10600 2 0.918412 2 0 0.66655 
10700 2 0.929018 2 0 0.655545 
10800 2 0.937401 2 0 0.646218 
10900 2 0.938077 2 0 0.645438 
11000 2 0.926759 2 0 0.657959 
11100 2 0.921213 2 0 0.663721 
11200 2 0.909377 2 0 0.675341 
11300 2 0.911939 2 0 0.672897 
11400 2 0.924113 2 0 0.660736 
11500 2 0.926726 2 0 0.657994 
11600 2 0.937792 2 0 0.645767 
11700 2 0.941788 2 0 0.641074 
11800 2 0.943692 2 0 0.638779 
11900 2 0.950476 2 0 0.630255 
12000 2 0.950815 2 0 0.629814 
12100 2 0.941905 2 0 0.640934 
12200 2 0.935134 2 0 0.648801 
12300 2 0.925574 2 0 0.659208 
12400 2 0.918831 2 0 0.66613 
12500 2 0.908695 2 0 0.675984 
12600 2 0.912874 2 0 0.671996 
12700 2 0.90733 2 0 0.677266 
12800 2 0.919319 2 0 0.66564 
12900 2 0.922811 2 0 0.662083 
13000 2 0.928634 2 0 0.655958 
13100 2 0.924536 2 0 0.660296 
13200 2 0.927458 2 0 0.657216 
13300 2 0.928425 2 0 0.656183 
13400 2 0.931356 2 0 0.653004 
13500 2 0.930375 2 0 0.654076 
13600 2 0.933706 2 0 0.650405 
13700 2 0.940407 2 0 0.642714 
13800 2 0.940668 2 0 0.642406 
13900 2 0.940457 2 0 0.642656 
14000 2 0.933336 2 0 0.650817 
14100 2 0.922518 2 0 0.662385 
14200 2 0.929837 2 0 0.654661 
14300 2 0.930468 2 0 0.653975 
14400 2 0.928811 2 0 0.655768 
14500 2 0.931525 2 0 0.652819 
14600 2 0.934065 2 0 0.650003 
14700 2 0.939444 2 0 0.643847 
14800 2 0.92996 2 0 0.654527 
14900 2 0.923234 2 0 0.661647 
15000 2 0.918067 2 0 0.666895 
15100 2 0.923116 2 0 0.661769 
15200 2 0.928191 2 0 0.656433 
15300 2 0.933971 2 0 0.650109 
15400 2 0.936642 2 0 0.647088 
15500 2 0.936921 2 0 0.646769 
15600 2 0.936696 2 0 0.647026 
15700 2 0.93786 2 0 0.645688 
15800 2 0.941382 2 0 0.641558 
15900 2 0.939972 2 0 0.643227 
16000 2 0.933874 2 0 0.650217 
16100 2 0.91449 2 0 0.670426 
16200 2 0.900935 2 0 0.683139 
