# Avida Dominant Parasite Data
# Wed Aug 26 16:21:26 2020
#  1: Update
#  2: Number of Extant Parasites

0 0 
100 0 
200 0 
300 0 
400 0 
500 0 
600 0 
700 0 
800 0 
900 0 
1000 0 
1100 0 
1200 0 
1300 0 
1400 0 
1500 0 
1600 0 
1700 0 
1800 0 
1900 0 
2000 0 
2100 0 
2200 0 
2300 0 
2400 0 
2500 0 
2600 0 
2700 0 
2800 0 
2900 0 
3000 0 
3100 281 
3200 576 
3300 936 
3400 1395 
3500 1980 
3600 2333 
3700 2411 
3800 2705 
3900 2870 
4000 3121 
4100 3333 
4200 3539 
4300 3549 
4400 3653 
4500 3961 
4600 4095 
4700 4288 
4800 4558 
4900 4807 
5000 5142 
5100 5205 
5200 5172 
5300 4977 
5400 4709 
5500 4742 
5600 5078 
5700 5741 
5800 6327 
5900 6978 
6000 7342 
6100 7327 
6200 7302 
6300 7431 
6400 7799 
6500 8468 
6600 9096 
6700 9887 
6800 10395 
6900 10754 
7000 10517 
7100 10852 
7200 11256 
7300 11519 
7400 11687 
7500 11601 
7600 11562 
7700 11404 
7800 11390 
7900 11448 
8000 11394 
8100 11308 
8200 11063 
8300 11190 
8400 11247 
8500 11582 
8600 11495 
8700 11527 
8800 11416 
8900 11107 
9000 10719 
9100 10636 
9200 10462 
9300 10580 
9400 10631 
9500 10716 
9600 10814 
9700 10705 
9800 10754 
9900 10779 
10000 10893 
10100 10700 
10200 10502 
10300 10091 
10400 9998 
10500 9700 
10600 9579 
10700 9739 
10800 9841 
10900 10004 
11000 10169 
11100 10202 
11200 10190 
11300 10072 
11400 9848 
11500 9657 
11600 9722 
11700 9879 
11800 9891 
11900 9646 
12000 9646 
12100 9781 
12200 9872 
12300 9638 
12400 9557 
12500 9527 
12600 9622 
12700 9658 
12800 9738 
12900 9799 
13000 9897 
13100 9947 
13200 9781 
13300 9327 
13400 9128 
13500 8809 
13600 8667 
13700 8725 
13800 8736 
13900 8836 
14000 8965 
14100 9154 
14200 9348 
14300 9579 
14400 9745 
14500 9850 
14600 9858 
14700 9752 
14800 9635 
14900 9538 
15000 9198 
15100 8951 
15200 8874 
15300 8889 
15400 8895 
15500 8753 
15600 8890 
15700 8964 
15800 9264 
15900 9353 
16000 9365 
16100 9395 
16200 9233 
16300 9088 
16400 8911 
16500 8768 
16600 8737 
16700 8898 
16800 8914 
16900 8924 
17000 9113 
17100 9281 
17200 9305 
17300 9455 
17400 9480 
17500 9495 
17600 9277 
17700 9195 
17800 9324 
17900 9461 
18000 9503 
18100 9231 
18200 9004 
18300 8980 
18400 8957 
18500 8893 
18600 8836 
18700 8895 
18800 8886 
18900 8692 
19000 8812 
19100 9120 
19200 9312 
19300 9534 
19400 9683 
19500 9605 
19600 9518 
19700 9240 
19800 9348 
19900 9276 
20000 9436 
20100 9447 
20200 9360 
20300 9295 
20400 9214 
20500 9173 
20600 9123 
20700 9311 
20800 9433 
20900 9370 
21000 9406 
21100 9515 
21200 9327 
21300 9245 
21400 9078 
21500 9133 
21600 9276 
21700 9439 
21800 9438 
21900 9255 
22000 9044 
22100 8805 
22200 8607 
22300 8649 
22400 8977 
22500 9258 
22600 9559 
22700 9713 
22800 9639 
22900 9255 
23000 8889 
23100 8778 
23200 8936 
23300 8862 
23400 8925 
23500 8957 
23600 8955 
23700 9125 
23800 8992 
23900 9080 
24000 9005 
24100 9091 
24200 9278 
24300 9439 
24400 9379 
24500 9147 
24600 8767 
24700 8508 
24800 8366 
24900 8197 
25000 8431 
25100 8736 
25200 8815 
25300 8829 
25400 8823 
25500 9284 
25600 9533 
25700 9484 
25800 9337 
25900 9049 
26000 9140 
26100 9021 
26200 8911 
26300 8806 
26400 8767 
26500 8655 
26600 8636 
26700 8791 
26800 8999 
26900 9212 
27000 9221 
27100 9337 
27200 9570 
27300 9647 
27400 9284 
27500 8918 
27600 8622 
27700 8522 
27800 8751 
27900 8886 
28000 8787 
28100 8809 
28200 8920 
28300 9269 
28400 9405 
28500 9486 
28600 9494 
28700 9474 
28800 9380 
28900 9155 
29000 8958 
29100 9124 
29200 9310 
29300 9672 
29400 9798 
29500 9689 
29600 9391 
29700 9312 
29800 9032 
29900 8773 
30000 8526 
30100 8675 
30200 8892 
30300 8959 
30400 8911 
30500 8823 
30600 8941 
30700 9144 
30800 9365 
30900 9715 
31000 9716 
31100 9706 
31200 9374 
31300 8964 
31400 8847 
31500 8752 
31600 8944 
31700 9050 
31800 9182 
31900 9335 
32000 9460 
32100 9609 
32200 9423 
32300 9276 
32400 9030 
32500 8805 
32600 8589 
32700 8682 
32800 8599 
32900 8668 
33000 8681 
33100 8977 
33200 9219 
33300 9433 
33400 9808 
33500 9892 
33600 9953 
33700 9532 
33800 9316 
33900 8917 
34000 8601 
34100 8748 
34200 8871 
34300 8871 
34400 8754 
34500 8506 
34600 8561 
34700 8686 
34800 9096 
34900 9406 
35000 9634 
35100 9685 
35200 9793 
35300 9792 
35400 9676 
35500 9492 
35600 9272 
35700 8944 
35800 8742 
35900 8797 
36000 8960 
36100 9185 
36200 9228 
36300 9281 
36400 9352 
36500 9250 
36600 9117 
36700 8879 
36800 8772 
36900 8638 
37000 8612 
37100 8689 
37200 8779 
37300 9123 
37400 9618 
37500 9877 
37600 10087 
37700 9849 
37800 9468 
37900 9285 
38000 9402 
38100 9598 
38200 9590 
38300 9507 
38400 9379 
38500 9213 
38600 9200 
38700 9385 
38800 9411 
38900 9318 
39000 9047 
39100 9007 
39200 9190 
39300 9387 
39400 9698 
39500 9806 
39600 9870 
39700 9651 
39800 9343 
39900 9292 
40000 9179 
40100 9228 
40200 9294 
40300 9384 
40400 9449 
40500 9584 
40600 9527 
40700 9478 
40800 9195 
40900 9195 
41000 9091 
41100 9038 
41200 9042 
41300 9083 
41400 9280 
41500 9467 
41600 9512 
41700 9562 
41800 9418 
41900 9233 
42000 9049 
42100 8663 
42200 8393 
42300 8288 
42400 8546 
42500 8763 
42600 8971 
42700 9158 
42800 9202 
42900 9279 
43000 9311 
43100 9141 
43200 9080 
43300 8722 
43400 8594 
43500 8467 
43600 8728 
43700 8587 
43800 8530 
43900 8645 
44000 8782 
44100 9014 
44200 9205 
44300 9317 
44400 9439 
44500 9287 
44600 9120 
44700 9079 
44800 9214 
44900 9179 
45000 8998 
45100 8873 
45200 8686 
45300 8990 
45400 9265 
45500 9253 
45600 9140 
45700 9004 
45800 9031 
45900 9198 
46000 9366 
46100 9361 
46200 9260 
46300 9190 
46400 9219 
46500 9097 
46600 9089 
46700 9133 
46800 9308 
46900 9498 
47000 9712 
47100 9627 
47200 9347 
47300 9098 
47400 8779 
47500 8549 
47600 8432 
47700 8539 
47800 8835 
47900 8977 
48000 9065 
48100 9044 
48200 9216 
48300 9176 
48400 9071 
48500 8824 
48600 8744 
48700 8877 
48800 9281 
48900 9514 
49000 9469 
49100 9411 
49200 9319 
49300 9191 
49400 9084 
49500 9010 
49600 8884 
49700 8847 
49800 8625 
49900 8395 
50000 8379 
50100 8664 
50200 8924 
50300 9327 
50400 9494 
50500 9307 
50600 9062 
50700 8870 
50800 8931 
50900 8789 
51000 8682 
51100 8526 
51200 8557 
51300 8796 
51400 9339 
51500 9645 
51600 9824 
51700 9994 
51800 9963 
51900 9690 
52000 9377 
52100 9102 
52200 9042 
52300 9198 
52400 9244 
52500 9478 
52600 9560 
52700 9768 
52800 9646 
52900 9590 
53000 9508 
53100 9564 
53200 9511 
53300 9443 
53400 9480 
53500 9258 
53600 9389 
53700 9197 
53800 9202 
53900 9119 
54000 8997 
54100 9159 
54200 9286 
54300 9551 
54400 9522 
54500 9214 
54600 9149 
54700 9058 
54800 9123 
54900 8928 
55000 9009 
55100 9229 
55200 9462 
55300 9591 
55400 9709 
55500 9525 
55600 9344 
55700 9041 
55800 8803 
55900 8702 
56000 8590 
56100 8684 
56200 8485 
56300 8549 
56400 8637 
56500 8704 
56600 8680 
56700 8529 
56800 8631 
56900 8773 
57000 8926 
57100 8949 
57200 8879 
57300 9049 
57400 9188 
57500 9454 
57600 9499 
57700 9395 
57800 9300 
57900 9172 
58000 9045 
58100 8968 
58200 9095 
58300 9101 
58400 9235 
58500 9296 
58600 9363 
58700 9299 
58800 9493 
58900 9351 
59000 9085 
59100 8957 
59200 8883 
59300 9185 
59400 9577 
59500 9521 
59600 9484 
59700 9285 
59800 9368 
59900 9591 
60000 9787 
60100 9897 
60200 9751 
60300 9716 
60400 9475 
60500 9366 
60600 9362 
60700 9351 
60800 9206 
60900 9055 
61000 8785 
61100 8740 
61200 8739 
61300 8732 
61400 8986 
61500 9340 
61600 9741 
61700 9790 
61800 9662 
61900 9186 
62000 8760 
62100 8505 
62200 8619 
62300 8815 
62400 8999 
62500 9125 
62600 9191 
62700 9306 
62800 9422 
62900 9371 
63000 9515 
63100 9316 
63200 9444 
63300 9446 
63400 9435 
63500 9569 
63600 9709 
63700 9763 
63800 9533 
63900 9427 
64000 9438 
64100 9364 
64200 9479 
64300 9294 
64400 9231 
64500 9285 
64600 9210 
64700 9180 
64800 9122 
64900 9008 
65000 8957 
65100 9062 
65200 9221 
65300 9352 
65400 9421 
65500 9567 
65600 9541 
65700 9624 
65800 9542 
65900 9414 
66000 9423 
66100 9305 
66200 9073 
66300 9122 
66400 8906 
66500 8808 
66600 8761 
66700 8990 
66800 9335 
66900 9636 
67000 9749 
67100 9656 
67200 9548 
67300 9429 
67400 9372 
67500 9099 
67600 9031 
67700 8903 
67800 8976 
67900 9083 
68000 9276 
68100 9386 
68200 9519 
68300 9570 
68400 9643 
68500 9402 
68600 9136 
68700 9185 
68800 9194 
68900 9385 
69000 9489 
69100 9691 
69200 9692 
69300 9625 
69400 9526 
69500 9419 
69600 9304 
69700 9208 
69800 9085 
69900 8875 
70000 8822 
70100 8926 
70200 9248 
70300 9166 
70400 9233 
70500 9189 
70600 9444 
70700 9450 
70800 9487 
70900 9384 
71000 9133 
71100 8962 
71200 8753 
71300 8778 
71400 8884 
71500 8976 
71600 8867 
71700 8949 
71800 8783 
71900 8820 
72000 9042 
72100 9560 
72200 9951 
72300 9744 
72400 9593 
72500 9147 
72600 8971 
72700 8872 
72800 8820 
72900 9026 
73000 9012 
73100 9097 
73200 9113 
73300 9296 
73400 9345 
73500 9229 
73600 9127 
73700 9131 
73800 9163 
73900 9028 
74000 9007 
74100 9083 
74200 8944 
74300 8806 
74400 8855 
74500 9041 
74600 9219 
74700 9299 
74800 9392 
74900 9274 
75000 9445 
