# Tue Aug 25 19:34:32 2020
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
100 1 0 1 0 0 
200 1 0 1 0 0 
300 1 0 1 0 0 
400 1 0 1 0 0 
500 1 0 1 0 0 
600 1 0 1 0 0 
700 1 0 1 0 0 
800 1 0 1 0 0 
900 1 0 1 0 0 
1000 1 0 1 0 0 
1100 1 0 1 0 0 
1200 1 0 1 0 0 
1300 1 0 1 0 0 
1400 1 0 1 0 0 
1500 1 0 1 0 0 
1600 1 0 1 0 0 
1700 1 0 1 0 0 
1800 1 0 1 0 0 
1900 1 0 1 0 0 
2000 1 0 1 0 0 
2100 1 0 1 0 0 
2200 1 0 1 0 0 
2300 1 0 1 0 0 
2400 1 0 1 0 0 
2500 1 0 1 0 0 
2600 1 0 1 0 0 
2700 1 0 1 0 0 
2800 1 0 1 0 0 
2900 1 0 1 0 0 
3000 1 0 1 0 0 
3100 2 0.0831999 2 0 0.0103645 
3200 2 0.168985 2 0 0.0250613 
3300 2 0.267799 2 0 0.0456902 
3400 2 0.355747 2 0 0.067295 
3500 2 0.462547 2 0 0.0979762 
3600 2 0.551716 2 0 0.127923 
3700 2 0.632081 2 0 0.15907 
3800 2 0.733663 2 0 0.205947 
3900 2 0.813179 2 0 0.251203 
4000 2 0.884977 2 0 0.303041 
4100 2 0.933261 2 0 0.349099 
4200 2 0.96947 2 0 0.397502 
4300 2 0.992195 2 0 0.448039 
4400 2 0.999867 2 0 0.506777 
4500 2 0.992312 2 0 0.551572 
4600 2 0.977887 2 0 0.587319 
4700 2 0.966137 2 0 0.607907 
4800 2 0.975114 2 0 0.592602 
4900 2 0.98465 2 0 0.572809 
5000 2 0.97421 2 0 0.594259 
5100 2 0.939067 2 0 0.644287 
5200 2 0.909332 2 0 0.675383 
5300 2 0.869976 2 0 0.709026 
5400 2 0.856473 2 0 0.719248 
5500 2 0.859146 2 0 0.717269 
5600 2 0.864564 2 0 0.713191 
5700 2 0.873426 2 0 0.706321 
5800 2 0.874287 2 0 0.70564 
5900 2 0.859351 2 0 0.717116 
6000 2 0.849717 2 0 0.724162 
6100 2 0.851594 2 0 0.72281 
6200 2 0.838781 2 0 0.731861 
6300 2 0.841867 2 0 0.72972 
6400 2 0.858078 2 0 0.718062 
6500 2 0.87606 2 0 0.704229 
6600 2 0.87725 2 0 0.703275 
6700 2 0.881801 2 0 0.699582 
6800 2 0.870322 2 0 0.708757 
6900 2 0.871252 2 0 0.708031 
7000 2 0.86566 2 0 0.712354 
7100 2 0.860753 2 0 0.716068 
7200 2 0.862403 2 0 0.714828 
7300 2 0.868179 2 0 0.710419 
7400 2 0.882651 2 0 0.698884 
7500 2 0.899806 2 0 0.684154 
7600 2 0.912046 2 0 0.672794 
7700 2 0.926363 2 0 0.658378 
7800 2 0.935556 2 0 0.648324 
7900 2 0.934476 2 0 0.649542 
8000 2 0.931802 2 0 0.652514 
8100 2 0.905928 2 0 0.678571 
8200 2 0.874355 2 0 0.705586 
8300 2 0.865653 2 0 0.71236 
8400 2 0.863584 2 0 0.713934 
8500 2 0.879129 2 0 0.70176 
8600 2 0.907593 2 0 0.67702 
8700 2 0.924328 2 0 0.660512 
8800 2 0.939491 2 0 0.643792 
8900 2 0.948533 2 0 0.632755 
9000 2 0.946659 2 0 0.635121 
9100 2 0.940881 2 0 0.642154 
9200 2 0.930059 2 0 0.65442 
9300 2 0.927167 2 0 0.657526 
9400 2 0.909805 2 0 0.674934 
9500 2 0.892483 2 0 0.690597 
9600 2 0.888129 2 0 0.694315 
9700 2 0.886255 2 0 0.695892 
9800 2 0.902808 2 0 0.68144 
9900 2 0.919311 2 0 0.665649 
10000 2 0.936016 2 0 0.647801 
10100 2 0.941063 2 0 0.641937 
10200 2 0.940281 2 0 0.642863 
10300 2 0.949465 2 0 0.631562 
10400 2 0.947942 2 0 0.633507 
10500 2 0.936967 2 0 0.646715 
10600 2 0.917267 2 0 0.667692 
10700 2 0.917392 2 0 0.667568 
10800 2 0.913366 2 0 0.671519 
10900 2 0.916365 2 0 0.668585 
11000 2 0.916443 2 0 0.668509 
11100 2 0.920401 2 0 0.664547 
11200 2 0.926705 2 0 0.658015 
11300 2 0.934131 2 0 0.64993 
11400 2 0.938896 2 0 0.644487 
11500 2 0.929704 2 0 0.654804 
11600 2 0.93708 2 0 0.646586 
11700 2 0.948614 2 0 0.632651 
11800 2 0.95503 2 0 0.624189 
11900 2 0.946174 2 0 0.635726 
12000 2 0.925354 2 0 0.65944 
12100 2 0.934911 2 0 0.649053 
12200 2 0.922459 2 0 0.662445 
12300 2 0.930018 2 0 0.654464 
12400 2 0.933184 2 0 0.650986 
12500 2 0.923581 2 0 0.661288 
12600 2 0.93509 2 0 0.648851 
12700 2 0.937207 2 0 0.64644 
12800 2 0.941433 2 0 0.641497 
12900 2 0.932647 2 0 0.651582 
13000 2 0.934279 2 0 0.649763 
13100 2 0.937102 2 0 0.646561 
13200 2 0.939854 2 0 0.643366 
13300 2 0.942978 2 0 0.639644 
13400 2 0.940286 2 0 0.642857 
13500 2 0.936639 2 0 0.647091 
13600 2 0.935553 2 0 0.648327 
13700 2 0.928335 2 0 0.656279 
13800 2 0.921503 2 0 0.663425 
13900 2 0.914982 2 0 0.669946 
14000 2 0.923563 2 0 0.661306 
14100 2 0.928796 2 0 0.655784 
14200 2 0.930196 2 0 0.654271 
14300 2 0.934631 2 0 0.649368 
14400 2 0.940296 2 0 0.642845 
14500 2 0.938341 2 0 0.645132 
14600 2 0.945363 2 0 0.636731 
14700 2 0.942112 2 0 0.640686 
14800 2 0.948406 2 0 0.632916 
14900 2 0.943593 2 0 0.6389 
15000 2 0.943662 2 0 0.638816 
15100 2 0.937022 2 0 0.646653 
15200 2 0.924938 2 0 0.659875 
15300 2 0.930139 2 0 0.654332 
15400 2 0.931007 2 0 0.653386 
15500 2 0.942207 2 0 0.640572 
15600 2 0.939985 2 0 0.643211 
15700 2 0.929346 2 0 0.655191 
15800 2 0.916383 2 0 0.668568 
15900 2 0.912529 2 0 0.672329 
16000 2 0.918483 2 0 0.66648 
16100 2 0.9243 2 0 0.660542 
16200 2 0.942237 2 0 0.640537 
