# Avida Dominant Parasite Data
# Tue Aug 25 20:22:10 2020
#  1: Update
#  2: Number of Extant Parasites

0 0 
100 0 
200 0 
300 0 
400 0 
500 0 
600 0 
700 0 
800 0 
900 0 
1000 0 
1100 0 
1200 0 
1300 0 
1400 0 
1500 0 
1600 0 
1700 0 
1800 0 
1900 0 
2000 0 
2100 0 
2200 0 
2300 0 
2400 0 
2500 0 
2600 0 
2700 0 
2800 0 
2900 0 
3000 0 
3100 268 
3200 670 
3300 1250 
3400 1931 
3500 2741 
3600 3507 
3700 4190 
3800 4976 
3900 5472 
4000 5960 
4100 6636 
4200 7219 
4300 7895 
4400 8357 
4500 8951 
4600 9068 
4700 8199 
4800 7350 
4900 7356 
5000 8216 
5100 9798 
5200 11334 
5300 11857 
5400 11833 
5500 11727 
5600 11937 
5700 12349 
5800 12605 
5900 12480 
6000 12273 
6100 12185 
6200 11961 
6300 11845 
6400 11951 
6500 11822 
6600 11789 
6700 11506 
6800 11251 
6900 10984 
7000 10670 
7100 10564 
7200 10594 
7300 10461 
7400 10225 
7500 9897 
7600 9762 
7700 9798 
7800 9666 
7900 9732 
8000 9554 
8100 9494 
8200 9301 
8300 9045 
8400 8988 
8500 9094 
8600 9302 
8700 9484 
8800 9548 
8900 9663 
9000 9644 
9100 9537 
9200 9325 
9300 9047 
9400 8714 
9500 8370 
9600 8251 
9700 8178 
9800 8208 
9900 8288 
10000 8550 
10100 8744 
10200 8661 
10300 8743 
10400 8653 
10500 8397 
10600 8027 
10700 7717 
10800 7531 
10900 7551 
11000 7680 
11100 8123 
11200 8390 
11300 8659 
11400 8658 
11500 8741 
11600 8620 
11700 8676 
11800 8655 
11900 8451 
12000 8194 
12100 7867 
12200 7892 
12300 7850 
12400 7882 
12500 8142 
12600 8399 
12700 8537 
12800 8429 
12900 8289 
13000 8296 
13100 8245 
13200 8141 
13300 8167 
13400 8106 
13500 8265 
13600 8057 
13700 8153 
13800 8235 
13900 8410 
14000 8464 
14100 8271 
14200 8320 
14300 8006 
14400 7811 
14500 7816 
14600 7825 
14700 8013 
14800 7935 
14900 8124 
15000 8060 
15100 8042 
15200 8033 
15300 7912 
15400 7972 
15500 7888 
15600 7917 
15700 7982 
15800 8018 
15900 8108 
16000 8250 
16100 8317 
16200 8417 
16300 8261 
16400 8214 
16500 8104 
16600 8022 
16700 8087 
16800 8072 
16900 8202 
17000 8189 
17100 7862 
17200 7532 
17300 7528 
17400 7752 
17500 8039 
17600 8142 
17700 8102 
17800 8176 
17900 8223 
18000 8289 
18100 8148 
18200 7867 
18300 7574 
18400 7216 
18500 7147 
18600 7180 
18700 7242 
18800 7383 
18900 7584 
19000 7995 
19100 8298 
19200 8611 
19300 8836 
19400 8718 
19500 8551 
19600 8172 
19700 7838 
19800 7654 
19900 7544 
20000 7557 
20100 7606 
20200 7646 
20300 7789 
20400 7844 
20500 7903 
20600 7936 
20700 8141 
20800 8363 
20900 8403 
21000 8466 
21100 8446 
21200 8411 
21300 8151 
21400 7928 
21500 7743 
21600 7633 
21700 7777 
21800 7718 
21900 7747 
22000 7615 
22100 7788 
22200 7781 
22300 8170 
22400 8342 
22500 8313 
22600 8341 
22700 8242 
22800 8131 
22900 8044 
23000 7997 
23100 8061 
23200 8190 
23300 8297 
23400 8377 
23500 8365 
23600 8438 
23700 8027 
23800 7901 
23900 7774 
24000 8107 
24100 8325 
24200 8485 
24300 8456 
24400 8192 
24500 7856 
24600 7556 
24700 7300 
24800 7247 
24900 7336 
25000 7621 
25100 7955 
25200 8201 
25300 8224 
25400 8237 
25500 8260 
25600 8230 
25700 8240 
25800 8185 
25900 8237 
26000 8321 
26100 8358 
26200 8290 
26300 8055 
26400 7661 
26500 7517 
26600 7647 
26700 7792 
26800 7878 
26900 7930 
27000 7958 
27100 8104 
27200 8025 
27300 8152 
27400 8292 
27500 8439 
27600 8582 
27700 8598 
27800 8701 
27900 8794 
28000 8674 
28100 8332 
28200 8042 
28300 7797 
28400 7617 
28500 7674 
28600 7764 
28700 8030 
28800 8201 
28900 8384 
29000 8595 
29100 9011 
29200 9059 
29300 8805 
29400 8454 
29500 8065 
29600 7794 
29700 7592 
29800 7501 
29900 7712 
30000 7940 
30100 8294 
30200 8589 
30300 8793 
30400 8985 
30500 9079 
30600 8990 
30700 8716 
30800 8334 
30900 8153 
31000 8275 
31100 8303 
31200 8262 
31300 8248 
31400 8145 
31500 8044 
31600 8027 
31700 7990 
31800 7978 
31900 8038 
32000 7976 
32100 8034 
32200 8041 
32300 8016 
32400 8420 
32500 8691 
32600 8689 
32700 8275 
32800 7843 
32900 7719 
33000 7668 
33100 7577 
33200 7634 
33300 7634 
33400 7948 
33500 8232 
33600 8524 
33700 8615 
33800 8230 
33900 7918 
34000 7850 
34100 7941 
34200 7801 
34300 7545 
34400 7419 
34500 7199 
34600 7217 
34700 7331 
34800 7674 
34900 8096 
35000 8519 
35100 8628 
35200 8525 
35300 8319 
35400 8042 
35500 7883 
35600 7723 
35700 7639 
35800 7502 
35900 7609 
36000 7708 
36100 7840 
36200 7985 
36300 7857 
36400 7609 
36500 7448 
36600 7437 
36700 7471 
36800 7717 
36900 8152 
37000 8245 
37100 8190 
37200 8223 
37300 8224 
37400 8198 
37500 8291 
37600 8243 
37700 8027 
37800 7974 
37900 7994 
38000 8082 
38100 8310 
38200 8339 
38300 8210 
38400 8308 
38500 8277 
38600 8240 
38700 8161 
38800 8254 
38900 8392 
39000 8374 
39100 8397 
39200 8376 
39300 8365 
39400 8414 
39500 8396 
39600 8341 
39700 8276 
39800 8128 
39900 8229 
40000 8185 
40100 8133 
40200 7880 
40300 7618 
40400 7627 
40500 7886 
40600 8196 
40700 8320 
40800 8295 
40900 7884 
41000 7629 
41100 7355 
41200 7333 
41300 7366 
41400 7525 
41500 7756 
41600 7804 
41700 7993 
41800 8230 
41900 8509 
42000 8815 
42100 8852 
42200 8693 
42300 8614 
42400 8385 
42500 8223 
42600 8052 
42700 7986 
42800 7839 
42900 7622 
43000 7497 
43100 7618 
43200 7786 
43300 8000 
43400 8260 
43500 8323 
43600 8254 
43700 8369 
43800 8492 
43900 8248 
44000 8290 
44100 8251 
44200 8241 
44300 8240 
44400 8134 
44500 8080 
44600 8097 
44700 8051 
44800 8223 
44900 8186 
45000 8390 
45100 8439 
45200 8283 
45300 8353 
45400 8207 
45500 8380 
45600 8285 
45700 8185 
45800 8090 
45900 8040 
46000 8035 
46100 7932 
46200 7990 
46300 8078 
46400 8059 
46500 8028 
46600 7986 
46700 8167 
46800 8176 
46900 8428 
47000 8418 
47100 8380 
47200 8144 
47300 7980 
47400 7853 
47500 7897 
47600 7999 
47700 8288 
47800 8503 
47900 8572 
48000 8399 
48100 8392 
48200 8572 
48300 8364 
48400 8144 
48500 7739 
48600 7731 
48700 7768 
48800 7900 
48900 8028 
49000 8094 
49100 8268 
49200 8428 
49300 8629 
49400 8689 
49500 8802 
49600 8549 
49700 8431 
49800 8320 
49900 8388 
50000 8272 
50100 8008 
50200 7864 
50300 7833 
50400 7969 
50500 8050 
50600 8093 
50700 8332 
50800 8360 
50900 8421 
51000 8277 
51100 8170 
51200 8122 
51300 8077 
51400 8133 
51500 8106 
51600 8287 
51700 8489 
51800 8311 
51900 8142 
52000 7949 
52100 7976 
52200 8129 
52300 8471 
52400 8550 
52500 8487 
52600 8247 
52700 8136 
52800 7796 
52900 7747 
53000 7906 
53100 8024 
53200 8172 
53300 8279 
53400 8473 
53500 8636 
53600 8769 
53700 8666 
53800 8342 
53900 8146 
54000 7881 
54100 7859 
54200 7854 
54300 8059 
54400 8210 
54500 8386 
54600 8693 
54700 8686 
54800 8867 
54900 8684 
55000 8461 
55100 8163 
55200 8168 
55300 7834 
55400 7636 
55500 7589 
55600 7522 
55700 7591 
55800 7604 
55900 7922 
56000 8225 
56100 8453 
56200 8331 
56300 8163 
56400 7866 
56500 7696 
56600 7692 
56700 7641 
56800 7787 
56900 7800 
57000 7947 
57100 7980 
57200 8022 
57300 8110 
57400 8055 
57500 8049 
57600 8016 
57700 7923 
57800 8125 
57900 8073 
58000 8194 
58100 8127 
58200 7902 
58300 7862 
58400 7891 
58500 8144 
58600 8148 
58700 8043 
58800 7892 
58900 7760 
59000 7665 
59100 7638 
59200 7560 
59300 7795 
59400 7924 
59500 8207 
59600 8015 
59700 8007 
59800 8135 
59900 8216 
60000 8263 
60100 8258 
60200 8403 
60300 8400 
60400 8248 
60500 8222 
60600 8245 
60700 8357 
60800 8367 
60900 8131 
61000 8006 
61100 7807 
61200 7766 
61300 7487 
61400 7471 
61500 7573 
61600 7698 
61700 8077 
61800 8372 
61900 8735 
62000 8855 
62100 8601 
62200 8321 
62300 8157 
62400 8104 
62500 7920 
62600 7743 
62700 7628 
62800 7771 
62900 7989 
63000 8148 
63100 8373 
63200 8733 
63300 8822 
63400 8573 
63500 8370 
63600 8183 
63700 7742 
63800 7274 
63900 7096 
64000 7270 
64100 7468 
64200 7643 
64300 7939 
64400 8362 
64500 8694 
64600 9048 
64700 9117 
64800 9003 
64900 8758 
65000 8558 
65100 8464 
65200 8482 
65300 8384 
65400 8294 
65500 7947 
65600 7700 
65700 7644 
65800 7547 
65900 7694 
66000 7844 
66100 7804 
66200 7765 
66300 7909 
66400 8026 
66500 8458 
66600 8471 
66700 8281 
66800 8164 
66900 8019 
67000 8034 
67100 7763 
67200 7657 
67300 7740 
67400 7803 
67500 7926 
67600 7986 
67700 8070 
67800 8325 
67900 8252 
68000 8170 
68100 7975 
68200 7914 
68300 7907 
68400 8004 
68500 8187 
68600 8536 
68700 8729 
68800 8685 
68900 8686 
69000 8441 
69100 8376 
69200 8039 
69300 8066 
69400 7981 
69500 8067 
69600 8197 
69700 8309 
69800 8431 
69900 8324 
70000 8277 
70100 8041 
70200 7756 
70300 7786 
70400 8024 
70500 8171 
70600 8100 
70700 7909 
70800 7939 
70900 7905 
71000 7874 
71100 7875 
71200 7965 
71300 8110 
71400 8110 
71500 8435 
71600 8766 
71700 8937 
71800 9041 
71900 8804 
72000 8554 
72100 8188 
72200 7815 
72300 7423 
72400 7224 
72500 7276 
72600 7323 
72700 7510 
72800 7852 
72900 8218 
73000 8568 
73100 8611 
73200 8418 
73300 8197 
73400 8030 
73500 8024 
73600 8031 
73700 8047 
73800 8158 
73900 8394 
74000 8753 
74100 8990 
74200 8924 
74300 8790 
74400 8639 
74500 8283 
74600 7738 
74700 7448 
74800 7362 
74900 7608 
75000 8053 
