# Avida Dominant Parasite Data
# Tue Aug 25 19:34:32 2020
#  1: Update
#  2: Number of Extant Parasites

0 0 
100 0 
200 0 
300 0 
400 0 
500 0 
600 0 
700 0 
800 0 
900 0 
1000 0 
1100 0 
1200 0 
1300 0 
1400 0 
1500 0 
1600 0 
1700 0 
1800 0 
1900 0 
2000 0 
2100 0 
2200 0 
2300 0 
2400 0 
2500 0 
2600 0 
2700 0 
2800 0 
2900 0 
3000 0 
3100 287 
3200 676 
3300 1341 
3400 2144 
3500 2939 
3600 3420 
3700 3519 
3800 3708 
3900 3912 
4000 4147 
4100 4429 
4200 4769 
4300 5349 
4400 5750 
4500 6128 
4600 6447 
4700 6421 
4800 6390 
4900 5959 
5000 5891 
5100 5980 
5200 6330 
5300 6945 
5400 7413 
5500 7886 
5600 8511 
5700 9067 
5800 9686 
5900 10164 
6000 10647 
6100 11119 
6200 11377 
6300 11345 
6400 11681 
6500 12090 
6600 12214 
6700 12071 
6800 11873 
6900 11742 
7000 11681 
7100 11547 
7200 11401 
7300 11257 
7400 11094 
7500 11170 
7600 10887 
7700 10909 
7800 10818 
7900 10829 
8000 10611 
8100 10221 
8200 10031 
8300 9956 
8400 9803 
8500 9487 
8600 9310 
8700 9152 
8800 9027 
8900 8861 
9000 8846 
9100 8828 
9200 8961 
9300 9049 
9400 9019 
9500 8706 
9600 8754 
9700 8850 
9800 9039 
9900 8959 
10000 8961 
10100 8872 
10200 8855 
10300 9073 
10400 9254 
10500 9267 
10600 8887 
10700 8549 
10800 8358 
10900 8245 
11000 7945 
11100 7752 
11200 7869 
11300 8178 
11400 8702 
11500 9028 
11600 9161 
11700 9075 
11800 8653 
11900 8158 
12000 7759 
12100 7582 
12200 7422 
12300 7576 
12400 7941 
12500 8456 
12600 9051 
12700 9436 
12800 9560 
12900 9309 
13000 8794 
13100 8436 
13200 7930 
13300 7932 
13400 7891 
13500 7801 
13600 7796 
13700 7804 
13800 7959 
13900 8089 
14000 8193 
14100 8286 
14200 8577 
14300 8767 
14400 8705 
14500 8529 
14600 8015 
14700 7713 
14800 7358 
14900 7296 
15000 7303 
15100 7578 
15200 7927 
15300 8170 
15400 8313 
15500 8184 
15600 7985 
15700 8021 
15800 8001 
15900 8108 
16000 8042 
16100 8047 
16200 7848 
16300 7774 
16400 7857 
16500 8063 
16600 8328 
16700 8320 
16800 8155 
16900 8045 
17000 7997 
17100 8083 
17200 8104 
17300 8362 
17400 8594 
17500 8644 
17600 8410 
17700 8356 
17800 8436 
17900 8548 
18000 8577 
18100 8389 
18200 8380 
18300 8369 
18400 8422 
18500 8235 
18600 8105 
18700 7828 
18800 7803 
18900 7759 
19000 7823 
19100 7920 
19200 8039 
19300 8061 
19400 8194 
19500 8257 
19600 8217 
19700 8174 
19800 8104 
19900 8149 
20000 8070 
20100 8146 
20200 8188 
20300 8121 
20400 8076 
20500 8015 
20600 7809 
20700 7597 
20800 7571 
20900 7677 
21000 8041 
21100 8108 
21200 8272 
21300 8124 
21400 8174 
21500 7984 
21600 7704 
21700 7764 
21800 7567 
21900 7780 
22000 7831 
22100 8034 
22200 7938 
22300 7949 
22400 7963 
22500 7985 
22600 7943 
22700 8024 
22800 8012 
22900 7975 
23000 7918 
23100 7735 
23200 7731 
23300 7921 
23400 8116 
23500 8222 
23600 8303 
23700 8437 
23800 8410 
23900 8301 
24000 8087 
24100 7851 
24200 7798 
24300 7767 
24400 7986 
24500 8005 
24600 8248 
24700 8437 
24800 8811 
24900 8742 
25000 8467 
25100 7953 
25200 7592 
25300 7314 
25400 7358 
25500 7579 
25600 7923 
25700 8177 
25800 8270 
25900 8343 
26000 8165 
26100 8305 
26200 8304 
26300 8095 
26400 7800 
26500 7763 
26600 7910 
26700 8007 
26800 8063 
26900 8176 
27000 8072 
27100 7987 
27200 8092 
27300 8242 
27400 8306 
27500 8377 
27600 8288 
27700 8093 
27800 7861 
27900 7680 
28000 7590 
28100 7535 
28200 7707 
28300 7859 
28400 8015 
28500 8133 
28600 8222 
28700 8314 
28800 8448 
28900 8465 
29000 8227 
29100 8061 
29200 7737 
29300 7551 
29400 7528 
29500 7724 
29600 7867 
29700 8124 
29800 8270 
29900 8293 
30000 8383 
30100 8336 
30200 8392 
30300 8303 
30400 8162 
30500 8007 
30600 7988 
30700 7998 
30800 7886 
30900 7822 
31000 7791 
31100 7772 
31200 7713 
31300 7769 
31400 7872 
31500 7966 
31600 8090 
31700 8192 
31800 8332 
31900 8506 
32000 8661 
32100 8666 
32200 8813 
32300 8765 
32400 8693 
32500 8515 
32600 8335 
32700 8320 
32800 8242 
32900 8232 
33000 8259 
33100 8406 
33200 8500 
33300 8586 
33400 8409 
33500 8021 
33600 7688 
33700 7551 
33800 7659 
33900 7664 
34000 7994 
34100 8352 
34200 8641 
34300 8936 
34400 8854 
34500 8910 
34600 8456 
34700 8305 
34800 7873 
34900 7735 
35000 7595 
35100 7734 
35200 7990 
35300 8014 
35400 8189 
35500 8285 
35600 8343 
35700 8162 
35800 7997 
35900 7769 
36000 7752 
36100 7680 
36200 7724 
36300 7966 
36400 8109 
36500 8371 
36600 8588 
36700 8444 
36800 8250 
36900 7904 
37000 7635 
37100 7561 
37200 7676 
37300 7955 
37400 8129 
37500 8167 
37600 8169 
37700 8338 
37800 8473 
37900 8685 
38000 8706 
38100 8456 
38200 8259 
38300 7968 
38400 7805 
38500 7736 
38600 7712 
38700 7781 
38800 7835 
38900 7894 
39000 8030 
39100 7980 
39200 8013 
39300 7990 
39400 7814 
39500 7735 
39600 7773 
39700 7900 
39800 8034 
39900 8293 
40000 8466 
40100 8242 
40200 7947 
40300 7727 
40400 7777 
40500 8002 
40600 8254 
40700 8354 
40800 8157 
40900 7850 
41000 7907 
41100 7795 
41200 7724 
41300 7614 
41400 7583 
41500 7659 
41600 7736 
41700 7806 
41800 7766 
41900 7863 
42000 7968 
42100 7999 
42200 7899 
42300 7700 
42400 7693 
42500 7700 
42600 7716 
42700 7745 
42800 7672 
42900 7768 
43000 7870 
43100 8011 
43200 8144 
43300 8119 
43400 8226 
43500 8181 
43600 8072 
43700 7986 
43800 7780 
43900 7645 
44000 7510 
44100 7477 
44200 7587 
44300 7812 
44400 8040 
44500 8188 
44600 8380 
44700 8440 
44800 8381 
44900 8158 
45000 7878 
45100 7639 
45200 7458 
45300 7504 
45400 7765 
45500 7885 
45600 7997 
45700 8214 
45800 8559 
45900 8806 
46000 8725 
46100 8358 
46200 8099 
46300 7734 
46400 7682 
46500 7850 
46600 8059 
46700 8177 
46800 8302 
46900 8158 
47000 8197 
47100 8263 
47200 8396 
47300 8125 
47400 7913 
47500 7617 
47600 7549 
47700 7617 
47800 7832 
47900 8034 
48000 8323 
48100 8566 
48200 8732 
48300 8466 
48400 8238 
48500 7980 
48600 7873 
48700 7614 
48800 7371 
48900 7578 
49000 7740 
49100 8056 
49200 8282 
49300 8424 
49400 8521 
49500 8513 
49600 8502 
49700 8253 
49800 7930 
49900 7597 
50000 7427 
50100 7616 
50200 7733 
50300 7868 
50400 8057 
50500 7983 
50600 8204 
50700 8331 
50800 8436 
50900 8468 
51000 8153 
51100 7989 
51200 7772 
51300 7556 
51400 7391 
51500 7253 
51600 7536 
51700 7705 
51800 8086 
51900 8487 
52000 8662 
52100 8728 
52200 8779 
52300 8614 
52400 8300 
52500 8121 
52600 8070 
52700 7961 
52800 7850 
52900 8031 
53000 8284 
53100 8389 
53200 8324 
53300 8263 
53400 8354 
53500 8415 
53600 8505 
53700 8543 
53800 8211 
53900 7802 
54000 7444 
54100 7186 
54200 7144 
54300 7220 
54400 7294 
54500 7594 
54600 7952 
54700 8323 
54800 8527 
54900 8626 
55000 8705 
55100 8484 
55200 8339 
55300 8003 
55400 7638 
55500 7352 
55600 7187 
55700 7187 
55800 7410 
55900 7772 
56000 8095 
56100 8324 
56200 8367 
56300 8357 
56400 8188 
56500 8111 
56600 8069 
56700 7789 
56800 7652 
56900 7685 
57000 7951 
57100 8137 
57200 8118 
57300 8245 
57400 8215 
57500 8219 
57600 8335 
57700 8485 
57800 8490 
57900 8481 
58000 8298 
58100 8057 
58200 7973 
58300 7890 
58400 7937 
58500 7852 
58600 7769 
58700 7896 
58800 8238 
58900 8682 
59000 8688 
59100 8500 
59200 8388 
59300 8196 
59400 8008 
59500 7997 
59600 8131 
59700 8349 
59800 8207 
59900 8350 
60000 8395 
60100 8619 
60200 8544 
60300 8476 
60400 8312 
60500 7961 
60600 7961 
60700 7733 
60800 7686 
60900 7813 
61000 7750 
61100 7830 
61200 7949 
61300 8109 
61400 8438 
61500 8635 
61600 8664 
61700 8776 
61800 8850 
61900 8716 
62000 8468 
62100 8038 
62200 7573 
62300 7559 
62400 7667 
62500 7789 
62600 7824 
62700 8030 
62800 8297 
62900 8592 
63000 8930 
63100 9115 
63200 9118 
63300 8827 
63400 8428 
63500 7980 
63600 7619 
63700 7430 
63800 7487 
63900 7585 
64000 7695 
64100 8032 
64200 8087 
64300 8036 
64400 8138 
64500 8187 
64600 8449 
64700 8503 
64800 8538 
64900 8263 
65000 8092 
65100 8062 
65200 8177 
65300 8161 
65400 8170 
65500 8029 
65600 8016 
65700 8182 
65800 8301 
65900 8507 
66000 8339 
66100 8254 
66200 8026 
66300 7932 
66400 7884 
66500 8015 
66600 8207 
66700 8347 
66800 8293 
66900 8246 
67000 8286 
67100 8327 
67200 8293 
67300 8069 
67400 8114 
67500 8304 
67600 8460 
67700 8408 
67800 8334 
67900 8356 
68000 8354 
68100 8421 
68200 8280 
68300 8159 
68400 8013 
68500 7920 
68600 7940 
68700 7955 
68800 8075 
68900 8286 
69000 8481 
69100 8621 
69200 8763 
69300 8705 
69400 8508 
69500 8058 
69600 7849 
69700 7655 
69800 7813 
69900 7952 
70000 8233 
70100 8559 
70200 8732 
70300 8876 
70400 8903 
70500 8760 
70600 8419 
70700 8069 
70800 7846 
70900 7872 
71000 7994 
71100 7987 
71200 8305 
71300 8805 
71400 9385 
71500 9637 
71600 9522 
71700 9110 
71800 8554 
71900 8196 
72000 8018 
72100 7715 
72200 7640 
72300 7735 
72400 8027 
72500 8352 
72600 8582 
72700 8583 
72800 8320 
72900 8141 
73000 8149 
73100 8285 
73200 8326 
73300 8158 
73400 8056 
73500 7831 
73600 7901 
73700 7815 
73800 7945 
73900 8019 
74000 7943 
74100 7892 
74200 7913 
74300 8063 
74400 8016 
74500 7988 
74600 7821 
74700 7741 
74800 7891 
74900 7942 
75000 8158 
