# Tue Aug 25 19:34:32 2020
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
100 1 0 1 0 0 
200 1 0 1 0 0 
300 1 0 1 0 0 
400 1 0 1 0 0 
500 1 0 1 0 0 
600 1 0 1 0 0 
700 1 0 1 0 0 
800 1 0 1 0 0 
900 1 0 1 0 0 
1000 1 0 1 0 0 
1100 1 0 1 0 0 
1200 1 0 1 0 0 
1300 1 0 1 0 0 
1400 1 0 1 0 0 
1500 1 0 1 0 0 
1600 1 0 1 0 0 
1700 1 0 1 0 0 
1800 1 0 1 0 0 
1900 1 0 1 0 0 
2000 1 0 1 0 0 
2100 1 0 1 0 0 
2200 1 0 1 0 0 
2300 1 0 1 0 0 
2400 1 0 1 0 0 
2500 1 0 1 0 0 
2600 1 0 1 0 0 
2700 1 0 1 0 0 
2800 1 0 1 0 0 
2900 1 0 1 0 0 
3000 1 0 1 0 0 
3100 2 0.0824999 2 0 0.0102582 
3200 2 0.167549 2 0 0.02479 
3300 2 0.280105 2 0 0.0485266 
3400 2 0.395157 2 0 0.0780181 
3500 2 0.495324 2 0 0.108483 
3600 2 0.554352 2 0 0.128878 
3700 2 0.575513 2 0 0.136693 
3800 2 0.606353 2 0 0.148611 
3900 2 0.637446 2 0 0.161315 
4000 2 0.67148 2 0 0.176104 
4100 2 0.70858 2 0 0.193424 
4200 2 0.747613 2 0 0.213231 
4300 2 0.802565 2 0 0.244575 
4400 2 0.842324 2 0 0.2706 
4500 2 0.882625 2 0 0.301095 
4600 2 0.91541 2 0 0.330474 
4700 2 0.930984 2 0 0.346588 
4800 2 0.940251 2 0 0.357102 
4900 2 0.932227 2 0 0.347954 
5000 2 0.934376 2 0 0.350345 
5100 2 0.944924 2 0 0.362727 
5200 2 0.961403 2 0 0.38486 
5300 2 0.984193 2 0 0.426119 
5400 2 0.995266 2 0 0.459515 
5500 2 0.999746 2 0 0.490619 
5600 2 0.997354 2 0 0.530276 
5700 2 0.987764 2 0 0.565029 
5800 2 0.9681 2 0 0.604756 
5900 2 0.944439 2 0 0.637868 
6000 2 0.920498 2 0 0.664449 
6100 2 0.900645 2 0 0.683401 
6200 2 0.887103 2 0 0.69518 
6300 2 0.890704 2 0 0.692126 
6400 2 0.871928 2 0 0.707501 
6500 2 0.850583 2 0 0.723539 
6600 2 0.839555 2 0 0.731327 
6700 2 0.839366 2 0 0.731457 
6800 2 0.840612 2 0 0.730593 
6900 2 0.845142 2 0 0.72742 
7000 2 0.845253 2 0 0.727342 
7100 2 0.852243 2 0 0.72234 
7200 2 0.847172 2 0 0.725982 
7300 2 0.853494 2 0 0.721431 
7400 2 0.858848 2 0 0.71749 
7500 2 0.854143 2 0 0.720957 
7600 2 0.860656 2 0 0.716141 
7700 2 0.857584 2 0 0.718428 
7800 2 0.861458 2 0 0.715539 
7900 2 0.853608 2 0 0.721348 
8000 2 0.858642 2 0 0.717643 
8100 2 0.874477 2 0 0.705489 
8200 2 0.872089 2 0 0.707374 
8300 2 0.875688 2 0 0.704526 
8400 2 0.881308 2 0 0.699986 
8500 2 0.885964 2 0 0.696135 
8600 2 0.893123 2 0 0.690044 
8700 2 0.897881 2 0 0.685872 
8800 2 0.904193 2 0 0.680174 
8900 2 0.913879 2 0 0.671022 
9000 2 0.915994 2 0 0.668952 
9100 2 0.915551 2 0 0.669387 
9200 2 0.909115 2 0 0.675588 
9300 2 0.90515 2 0 0.679292 
9400 2 0.904725 2 0 0.679684 
9500 2 0.925979 2 0 0.658783 
9600 2 0.925675 2 0 0.659102 
9700 2 0.923741 2 0 0.661122 
9800 2 0.914542 2 0 0.670376 
9900 2 0.91498 2 0 0.669947 
10000 2 0.921644 2 0 0.663281 
10100 2 0.922802 2 0 0.662093 
10200 2 0.928612 2 0 0.655982 
10300 2 0.917248 2 0 0.667711 
10400 2 0.902604 2 0 0.681627 
10500 2 0.886303 2 0 0.695852 
10600 2 0.896283 2 0 0.687285 
10700 2 0.903037 2 0 0.681232 
10800 2 0.904089 2 0 0.680268 
10900 2 0.909018 2 0 0.67568 
11000 2 0.932608 2 0 0.651626 
11100 2 0.949213 2 0 0.631886 
11200 2 0.955027 2 0 0.624193 
11300 2 0.953195 2 0 0.62667 
11400 2 0.934878 2 0 0.64909 
11500 2 0.917792 2 0 0.667169 
11600 2 0.899509 2 0 0.684421 
11700 2 0.883221 2 0 0.698414 
11800 2 0.883085 2 0 0.698526 
11900 2 0.905783 2 0 0.678706 
12000 2 0.927946 2 0 0.656696 
12100 2 0.942691 2 0 0.63999 
12200 2 0.957919 2 0 0.620174 
12300 2 0.967493 2 0 0.605742 
12400 2 0.965934 2 0 0.608227 
12500 2 0.958017 2 0 0.620036 
12600 2 0.930751 2 0 0.653666 
12700 2 0.91311 2 0 0.671768 
12800 2 0.890295 2 0 0.692476 
12900 2 0.881791 2 0 0.699591 
13000 2 0.891989 2 0 0.691023 
13100 2 0.900334 2 0 0.683681 
13200 2 0.924905 2 0 0.65991 
13300 2 0.923357 2 0 0.66152 
13400 2 0.930879 2 0 0.653526 
13500 2 0.937449 2 0 0.646163 
13600 2 0.943381 2 0 0.639157 
13700 2 0.946049 2 0 0.635881 
13800 2 0.944821 2 0 0.637399 
13900 2 0.945795 2 0 0.636197 
14000 2 0.945688 2 0 0.636329 
14100 2 0.944318 2 0 0.638016 
14200 2 0.925733 2 0 0.659042 
14300 2 0.916551 2 0 0.668401 
14400 2 0.899654 2 0 0.684291 
14500 2 0.89832 2 0 0.685482 
14600 2 0.912113 2 0 0.67273 
14700 2 0.924876 2 0 0.65994 
14800 2 0.942798 2 0 0.639862 
14900 2 0.95098 2 0 0.629599 
15000 2 0.960682 2 0 0.6162 
15100 2 0.952532 2 0 0.627553 
15200 2 0.944176 2 0 0.638189 
15300 2 0.929314 2 0 0.655226 
15400 2 0.917514 2 0 0.667447 
15500 2 0.929808 2 0 0.654691 
15600 2 0.938368 2 0 0.6451 
15700 2 0.928697 2 0 0.65589 
15800 2 0.933348 2 0 0.650804 
15900 2 0.924474 2 0 0.660359 
16000 2 0.925382 2 0 0.65941 
16100 2 0.923117 2 0 0.661768 
16200 2 0.937005 2 0 0.646672 
