# Mon Aug 31 10:39:22 2020
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
100 1 0 1 0 0 
200 1 0 1 0 0 
300 1 0 1 0 0 
400 1 0 1 0 0 
500 1 0 1 0 0 
600 1 0 1 0 0 
700 1 0 1 0 0 
800 1 0 1 0 0 
900 1 0 1 0 0 
1000 1 0 1 0 0 
1100 1 0 1 0 0 
1200 1 0 1 0 0 
1300 1 0 1 0 0 
1400 1 0 1 0 0 
1500 1 0 1 0 0 
1600 1 0 1 0 0 
1700 1 0 1 0 0 
1800 1 0 1 0 0 
1900 1 0 1 0 0 
2000 1 0 1 0 0 
2100 1 0 1 0 0 
2200 1 0 1 0 0 
2300 1 0 1 0 0 
2400 1 0 1 0 0 
2500 1 0 1 0 0 
2600 1 0 1 0 0 
2700 1 0 1 0 0 
2800 1 0 1 0 0 
2900 1 0 1 0 0 
3000 1 0 1 0 0 
3100 2 0.0682986 2 0 0.00815519 
3200 2 0.123533 2 0 0.0168781 
3300 2 0.195605 2 0 0.0302422 
3400 2 0.270176 2 0 0.0462334 
3500 2 0.375785 2 0 0.0726633 
3600 2 0.475951 2 0 0.102206 
3700 2 0.60484 2 0 0.148011 
3800 2 0.760194 2 0 0.220015 
3900 2 0.899724 2 0 0.315772 
4000 2 0.980321 2 0 0.417605 
4100 2 0.994093 2 0 0.545216 
4200 2 0.928124 2 0 0.656505 
4300 2 0.843166 2 0 0.728811 
4400 2 0.838706 2 0 0.731913 
4500 2 0.900948 2 0 0.683128 
4600 2 0.952693 2 0 0.627339 
4700 2 0.960117 2 0 0.617024 
4800 2 0.940583 2 0 0.642507 
4900 2 0.897724 2 0 0.686011 
5000 2 0.858529 2 0 0.717727 
5100 2 0.838245 2 0 0.732231 
5200 2 0.840501 2 0 0.73067 
5300 2 0.848051 2 0 0.725355 
5400 2 0.859036 2 0 0.71735 
5500 2 0.858969 2 0 0.7174 
5600 2 0.846618 2 0 0.726375 
5700 2 0.832695 2 0 0.736019 
5800 2 0.830187 2 0 0.737707 
5900 2 0.847779 2 0 0.725549 
6000 2 0.84879 2 0 0.724827 
6100 2 0.854571 2 0 0.720644 
6200 2 0.851655 2 0 0.722766 
6300 2 0.850877 2 0 0.723328 
6400 2 0.844098 2 0 0.728156 
6500 2 0.850984 2 0 0.72325 
6600 2 0.853078 2 0 0.721733 
6700 2 0.851765 2 0 0.722686 
6800 2 0.852954 2 0 0.721823 
6900 2 0.856378 2 0 0.719318 
7000 2 0.855521 2 0 0.719948 
7100 2 0.858266 2 0 0.717923 
7200 2 0.862714 2 0 0.714593 
7300 2 0.868183 2 0 0.710417 
7400 2 0.87522 2 0 0.704899 
7500 2 0.88594 2 0 0.696155 
7600 2 0.88351 2 0 0.698175 
7700 2 0.880267 2 0 0.700836 
7800 2 0.880862 2 0 0.70035 
7900 2 0.894706 2 0 0.688667 
8000 2 0.898711 2 0 0.685134 
8100 2 0.908095 2 0 0.676549 
8200 2 0.916195 2 0 0.668754 
8300 2 0.914419 2 0 0.670496 
8400 2 0.911529 2 0 0.673291 
8500 2 0.905122 2 0 0.679317 
8600 2 0.892656 2 0 0.690448 
8700 2 0.886414 2 0 0.695759 
8800 2 0.889327 2 0 0.6933 
8900 2 0.9083 2 0 0.676356 
9000 2 0.913945 2 0 0.670958 
9100 2 0.919003 2 0 0.665958 
9200 2 0.922108 2 0 0.662807 
9300 2 0.925754 2 0 0.659019 
9400 2 0.92014 2 0 0.664811 
9500 2 0.915589 2 0 0.66935 
9600 2 0.923374 2 0 0.661502 
9700 2 0.920148 2 0 0.664803 
9800 2 0.917861 2 0 0.667101 
9900 2 0.916427 2 0 0.668524 
10000 2 0.903184 2 0 0.681098 
10100 2 0.911765 2 0 0.673064 
10200 2 0.922411 2 0 0.662495 
10300 2 0.936608 2 0 0.647127 
10400 2 0.94156 2 0 0.641346 
10500 2 0.93875 2 0 0.644657 
10600 2 0.93029 2 0 0.654168 
10700 2 0.929425 2 0 0.655106 
10800 2 0.921461 2 0 0.663468 
10900 2 0.924224 2 0 0.66062 
11000 2 0.926361 2 0 0.65838 
11100 2 0.915836 2 0 0.669107 
11200 2 0.916086 2 0 0.668861 
11300 2 0.917304 2 0 0.667656 
11400 2 0.924709 2 0 0.660114 
11500 2 0.920065 2 0 0.664887 
11600 2 0.919269 2 0 0.665691 
11700 2 0.918971 2 0 0.66599 
11800 2 0.923733 2 0 0.661131 
11900 2 0.927305 2 0 0.657379 
12000 2 0.927416 2 0 0.65726 
12100 2 0.927579 2 0 0.657086 
12200 2 0.928566 2 0 0.656031 
12300 2 0.920487 2 0 0.66446 
12400 2 0.926252 2 0 0.658495 
12500 2 0.919623 2 0 0.665334 
12600 2 0.922829 2 0 0.662065 
12700 2 0.921876 2 0 0.663043 
12800 2 0.919811 2 0 0.665144 
12900 2 0.925404 2 0 0.659387 
13000 2 0.922284 2 0 0.662625 
13100 2 0.933596 2 0 0.650527 
13200 2 0.936055 2 0 0.647757 
13300 2 0.941328 2 0 0.641623 
13400 2 0.934358 2 0 0.649675 
13500 2 0.927626 2 0 0.657037 
13600 2 0.920292 2 0 0.664657 
13700 2 0.915061 2 0 0.669868 
13800 2 0.919134 2 0 0.665826 
13900 2 0.92289 2 0 0.662002 
14000 2 0.922832 2 0 0.662062 
14100 2 0.923492 2 0 0.66138 
14200 2 0.922303 2 0 0.662606 
14300 2 0.917027 2 0 0.66793 
14400 2 0.919173 2 0 0.665787 
14500 2 0.922892 2 0 0.661999 
14600 2 0.924993 2 0 0.659818 
14700 2 0.917551 2 0 0.66741 
14800 2 0.922249 2 0 0.662662 
14900 2 0.911713 2 0 0.673115 
15000 2 0.912701 2 0 0.672163 
15100 2 0.918956 2 0 0.666005 
15200 2 0.932561 2 0 0.651677 
15300 2 0.936737 2 0 0.646979 
15400 2 0.946361 2 0 0.635493 
15500 2 0.942878 2 0 0.639765 
15600 2 0.9278 2 0 0.656851 
15700 2 0.926704 2 0 0.658016 
15800 2 0.911815 2 0 0.673016 
15900 2 0.906059 2 0 0.67845 
16000 2 0.89785 2 0 0.6859 
16100 2 0.899351 2 0 0.684562 
16200 2 0.910434 2 0 0.674337 
