# Avida Dominant Parasite Data
# Mon Aug 31 10:39:23 2020
#  1: Update
#  2: Number of Extant Parasites

0 0 
100 0 
200 0 
300 0 
400 0 
500 0 
600 0 
700 0 
800 0 
900 0 
1000 0 
1100 0 
1200 0 
1300 0 
1400 0 
1500 0 
1600 0 
1700 0 
1800 0 
1900 0 
2000 0 
2100 0 
2200 0 
2300 0 
2400 0 
2500 0 
2600 0 
2700 0 
2800 0 
2900 0 
3000 0 
3100 288 
3200 616 
3300 924 
3400 1497 
3500 2618 
3600 3924 
3700 5611 
3800 8096 
3900 10940 
4000 13035 
4100 14388 
4200 13883 
4300 12373 
4400 10952 
4500 10393 
4600 11001 
4700 12101 
4800 12834 
4900 13121 
5000 12891 
5100 12541 
5200 12289 
5300 12398 
5400 12522 
5500 12820 
5600 12830 
5700 12654 
5800 12331 
5900 12249 
6000 12221 
6100 12168 
6200 12210 
6300 11980 
6400 11993 
6500 11880 
6600 11741 
6700 11671 
6800 11636 
6900 11650 
7000 11645 
7100 11427 
7200 11427 
7300 11448 
7400 11310 
7500 11356 
7600 11242 
7700 11043 
7800 11055 
7900 11096 
8000 10919 
8100 10560 
8200 10420 
8300 10436 
8400 10455 
8500 10525 
8600 10726 
8700 10695 
8800 10589 
8900 10085 
9000 10007 
9100 9910 
9200 10052 
9300 9888 
9400 9796 
9500 9811 
9600 9662 
9700 9841 
9800 10020 
9900 10126 
10000 10124 
10100 10083 
10200 10054 
10300 9926 
10400 9712 
10500 9628 
10600 9563 
10700 9558 
10800 9426 
10900 9386 
11000 9481 
11100 9689 
11200 9687 
11300 9614 
11400 9608 
11500 9672 
11600 9565 
11700 9399 
11800 9469 
11900 9780 
12000 9733 
12100 9567 
12200 9442 
12300 9521 
12400 9357 
12500 9337 
12600 9260 
12700 9203 
12800 9360 
12900 9444 
13000 9411 
13100 9431 
13200 9224 
13300 9242 
13400 9117 
13500 9363 
13600 9638 
13700 9780 
13800 9728 
13900 9503 
14000 9410 
14100 9165 
14200 8999 
14300 8909 
14400 9050 
14500 9138 
14600 9428 
14700 9612 
14800 9665 
14900 9693 
15000 9348 
15100 9115 
15200 8786 
15300 8880 
15400 9094 
15500 9132 
15600 9331 
15700 9275 
15800 9362 
15900 9182 
16000 9063 
16100 9037 
16200 9183 
16300 9287 
16400 9387 
16500 9352 
16600 9251 
16700 9246 
16800 9308 
16900 9427 
17000 9514 
17100 9407 
17200 9365 
17300 9407 
17400 9698 
17500 9941 
17600 9858 
17700 9809 
17800 9583 
17900 9346 
18000 9082 
18100 8854 
18200 8858 
18300 8731 
18400 8884 
18500 8940 
18600 9138 
18700 9156 
18800 9151 
18900 9170 
19000 9145 
19100 9535 
19200 9698 
19300 9576 
19400 9404 
19500 9421 
19600 9385 
19700 9307 
19800 9277 
19900 9325 
20000 9324 
20100 9522 
20200 9425 
20300 9226 
20400 8875 
20500 8778 
20600 8931 
20700 9114 
20800 9403 
20900 9471 
21000 9477 
21100 9512 
21200 9521 
21300 9560 
21400 9451 
21500 9373 
21600 9251 
21700 9352 
21800 9331 
21900 9596 
22000 9763 
22100 9816 
22200 9810 
22300 9821 
22400 9718 
22500 9521 
22600 9401 
22700 9301 
22800 9180 
22900 8995 
23000 9101 
23100 9132 
23200 9235 
23300 9462 
23400 9683 
23500 9753 
23600 9758 
23700 9581 
23800 9483 
23900 9335 
24000 9284 
24100 9368 
24200 9389 
24300 9410 
24400 9591 
24500 9635 
24600 9453 
24700 9263 
24800 9296 
24900 9538 
25000 9608 
25100 9678 
25200 9607 
25300 9396 
25400 9140 
25500 8926 
25600 8995 
25700 9104 
25800 9156 
25900 9176 
26000 8865 
26100 8582 
26200 8560 
26300 8961 
26400 9303 
26500 9517 
26600 9828 
26700 9911 
26800 9773 
26900 9363 
27000 8930 
27100 8498 
27200 8477 
27300 8586 
27400 8830 
27500 8882 
27600 9060 
27700 9129 
27800 9195 
27900 9235 
28000 9440 
28100 9563 
28200 9511 
28300 9603 
28400 9512 
28500 9528 
28600 9298 
28700 9145 
28800 8835 
28900 8833 
29000 9226 
29100 9385 
29200 9526 
29300 9435 
29400 9641 
29500 9990 
29600 9879 
29700 9840 
29800 9667 
29900 9479 
30000 9310 
30100 9211 
30200 8981 
30300 8926 
30400 8831 
30500 8844 
30600 8881 
30700 8912 
30800 9120 
30900 9346 
31000 9663 
31100 9846 
31200 9884 
31300 9855 
31400 9963 
31500 10003 
31600 10234 
31700 10009 
31800 9698 
31900 9194 
32000 9052 
32100 8981 
32200 9128 
32300 9392 
32400 9714 
32500 9779 
32600 9678 
32700 9575 
32800 9482 
32900 9505 
33000 9365 
33100 9344 
33200 9408 
33300 9467 
33400 9557 
33500 9609 
33600 9592 
33700 9598 
33800 9460 
33900 9197 
34000 9325 
34100 9352 
34200 9406 
34300 9687 
34400 9788 
34500 10047 
34600 10045 
34700 9904 
34800 9644 
34900 9541 
35000 9333 
35100 9407 
35200 9667 
35300 9936 
35400 10155 
35500 9938 
35600 9705 
35700 9482 
35800 9479 
35900 9352 
36000 9226 
36100 9072 
36200 9136 
36300 9282 
36400 9336 
36500 9535 
36600 9463 
36700 9629 
36800 9643 
36900 9841 
37000 9847 
37100 9593 
37200 9132 
37300 8716 
37400 8845 
37500 9049 
37600 9309 
37700 9531 
37800 9468 
37900 9447 
38000 9171 
38100 9082 
38200 8948 
38300 8797 
38400 8798 
38500 8793 
38600 9063 
38700 9235 
38800 9620 
38900 9551 
39000 9432 
39100 9181 
39200 9085 
39300 8932 
39400 8855 
39500 8621 
39600 8783 
39700 9033 
39800 9367 
39900 9481 
40000 9553 
40100 9553 
40200 9209 
40300 9163 
40400 9050 
40500 9128 
40600 9139 
40700 9288 
40800 9543 
40900 9662 
41000 9475 
41100 9134 
41200 8936 
41300 8780 
41400 8697 
41500 8679 
41600 8754 
41700 8904 
41800 9072 
41900 8939 
42000 8842 
42100 9054 
42200 9157 
42300 9260 
42400 9103 
42500 8935 
42600 8771 
42700 8703 
42800 8773 
42900 8977 
43000 9006 
43100 9215 
43200 9158 
43300 9304 
43400 9260 
43500 9125 
43600 9133 
43700 9146 
43800 9079 
43900 9115 
44000 9145 
44100 9045 
44200 9099 
44300 9071 
44400 9044 
44500 8972 
44600 9061 
44700 9009 
44800 9010 
44900 8873 
45000 8899 
45100 8916 
45200 9102 
45300 9111 
45400 8946 
45500 9058 
45600 9274 
45700 9543 
45800 9723 
45900 9843 
46000 9860 
46100 9462 
46200 9143 
46300 8882 
46400 8816 
46500 8714 
46600 8532 
46700 8555 
46800 8530 
46900 8748 
47000 8871 
47100 9169 
47200 9571 
47300 9923 
47400 10203 
47500 9897 
47600 9476 
47700 9168 
47800 8736 
47900 8622 
48000 8496 
48100 8686 
48200 8791 
48300 8975 
48400 8963 
48500 9060 
48600 9169 
48700 9519 
48800 9554 
48900 9404 
49000 9298 
49100 9306 
49200 9322 
49300 9292 
49400 9066 
49500 8957 
49600 8910 
49700 9327 
49800 9397 
49900 9425 
50000 9276 
50100 9196 
50200 9196 
50300 9179 
50400 9202 
50500 9099 
50600 9162 
50700 9267 
50800 9414 
50900 9431 
51000 9404 
51100 9428 
51200 9242 
51300 9297 
51400 9223 
51500 9258 
51600 9271 
51700 9147 
51800 9236 
51900 9203 
52000 9423 
52100 9508 
52200 9708 
52300 9665 
52400 9453 
52500 9182 
52600 9245 
52700 9346 
52800 9366 
52900 9373 
53000 9185 
53100 9339 
53200 9292 
53300 9349 
53400 9367 
53500 9333 
53600 9302 
53700 9149 
53800 9219 
53900 9136 
54000 9159 
54100 9059 
54200 8967 
54300 9078 
54400 9357 
54500 9542 
54600 9501 
54700 9437 
54800 9453 
54900 9341 
55000 9163 
55100 9064 
55200 9009 
55300 9011 
55400 8974 
55500 9187 
55600 9419 
55700 9416 
55800 9339 
55900 9363 
56000 9594 
56100 9682 
56200 9638 
56300 9533 
56400 9626 
56500 9737 
56600 9788 
56700 9620 
56800 9585 
56900 9664 
57000 9730 
57100 9667 
57200 9544 
57300 9263 
57400 9061 
57500 9052 
57600 9193 
57700 9285 
57800 9487 
57900 9486 
58000 9431 
58100 9333 
58200 9349 
58300 9459 
58400 9614 
58500 9636 
58600 9765 
58700 9734 
58800 9494 
58900 9400 
59000 9391 
59100 9189 
59200 9549 
59300 9748 
59400 9945 
59500 9785 
59600 9652 
59700 9421 
59800 9170 
59900 9034 
60000 8978 
60100 9203 
60200 9432 
60300 9612 
60400 9676 
60500 9638 
60600 9527 
60700 9344 
60800 9226 
60900 9104 
61000 8959 
61100 8930 
61200 9074 
61300 9369 
61400 9519 
61500 9677 
61600 9699 
61700 9641 
61800 9160 
61900 8891 
62000 8820 
62100 8732 
62200 8595 
62300 8619 
62400 8708 
62500 8937 
62600 9054 
62700 9120 
62800 9205 
62900 9077 
63000 8882 
63100 8473 
63200 8269 
63300 8176 
63400 8009 
63500 8342 
63600 8611 
63700 9147 
63800 9603 
63900 9950 
64000 10057 
64100 9896 
64200 9417 
64300 9062 
64400 8793 
64500 8778 
64600 8660 
64700 8929 
64800 9078 
64900 9478 
65000 9689 
65100 9697 
65200 9732 
65300 9799 
65400 9688 
65500 9483 
65600 9295 
65700 8967 
65800 8952 
65900 9003 
66000 9230 
66100 9423 
66200 9572 
66300 9630 
66400 9454 
66500 9127 
66600 8747 
66700 8738 
66800 8627 
66900 8752 
67000 8868 
67100 9127 
67200 9381 
67300 9621 
67400 9836 
67500 9988 
67600 9850 
67700 9693 
67800 9270 
67900 8925 
68000 8656 
68100 8678 
68200 8569 
68300 8484 
68400 8691 
68500 9011 
68600 9608 
68700 10001 
68800 10080 
68900 10086 
69000 10208 
69100 10071 
69200 9955 
69300 9638 
69400 9167 
69500 8797 
69600 8569 
69700 8710 
69800 9084 
69900 9575 
70000 9783 
70100 9885 
70200 9761 
70300 9691 
70400 9563 
70500 9562 
70600 9531 
70700 9596 
70800 9476 
70900 9314 
71000 9231 
71100 9090 
71200 8832 
71300 8712 
71400 8931 
71500 9235 
71600 9559 
71700 9599 
71800 9811 
71900 9676 
72000 9519 
72100 9176 
72200 8956 
72300 8981 
72400 8985 
72500 9241 
72600 9388 
72700 9727 
72800 9930 
72900 10112 
73000 10037 
73100 9736 
73200 9387 
73300 9213 
73400 9275 
73500 9251 
73600 9348 
73700 9387 
73800 9289 
73900 9109 
74000 8925 
74100 8886 
74200 9076 
74300 9168 
74400 9003 
74500 8959 
74600 9113 
74700 9061 
74800 9099 
74900 9005 
75000 9206 
