# Avida Dominant Parasite Data
# Sat Aug 29 12:07:22 2020
#  1: Update
#  2: Number of Extant Parasites

0 0 
100 0 
200 0 
300 0 
400 0 
500 0 
600 0 
700 0 
800 0 
900 0 
1000 0 
1100 0 
1200 0 
1300 0 
1400 0 
1500 0 
1600 0 
1700 0 
1800 0 
1900 0 
2000 0 
2100 0 
2200 0 
2300 0 
2400 0 
2500 0 
2600 0 
2700 0 
2800 0 
2900 0 
3000 0 
3100 240 
3200 554 
3300 1070 
3400 1774 
3500 2880 
3600 3617 
3700 4254 
3800 4874 
3900 5798 
4000 6725 
4100 8036 
4200 9452 
4300 10927 
4400 12038 
4500 12359 
4600 11453 
4700 10263 
4800 9870 
4900 10691 
5000 12314 
5100 13197 
5200 13287 
5300 12813 
5400 12411 
5500 12511 
5600 12771 
5700 13183 
5800 13182 
5900 12857 
6000 12568 
6100 12503 
6200 12359 
6300 12302 
6400 12340 
6500 11927 
6600 11578 
6700 11222 
6800 11088 
6900 11112 
7000 11166 
7100 11217 
7200 11218 
7300 10939 
7400 10724 
7500 10385 
7600 10312 
7700 10131 
7800 9873 
7900 9496 
8000 9172 
8100 9014 
8200 9022 
8300 9102 
8400 9053 
8500 9000 
8600 9038 
8700 9011 
8800 8975 
8900 8925 
9000 8738 
9100 8741 
9200 8599 
9300 8438 
9400 8222 
9500 8206 
9600 8165 
9700 8307 
9800 8627 
9900 8841 
10000 9161 
10100 9106 
10200 9015 
10300 8713 
10400 8261 
10500 7979 
10600 7754 
10700 7609 
10800 7604 
10900 7813 
11000 7999 
11100 8075 
11200 8157 
11300 8362 
11400 8679 
11500 8919 
11600 8984 
11700 8637 
11800 8494 
11900 8373 
12000 8305 
12100 8178 
12200 8217 
12300 8214 
12400 8271 
12500 8355 
12600 8246 
12700 8052 
12800 7984 
12900 7957 
13000 7988 
13100 8042 
13200 8227 
13300 8280 
13400 8539 
13500 8491 
13600 8210 
13700 8104 
13800 8113 
13900 8322 
14000 8212 
14100 7978 
14200 7725 
14300 7629 
14400 7710 
14500 7944 
14600 8103 
14700 8023 
14800 8101 
14900 8210 
15000 8331 
15100 8429 
15200 8371 
15300 8252 
15400 8318 
15500 8316 
15600 8413 
15700 8371 
15800 8284 
15900 8140 
16000 7820 
16100 7824 
16200 7841 
16300 7966 
16400 8009 
16500 7925 
16600 7948 
16700 8027 
16800 8262 
16900 8396 
17000 8410 
17100 8534 
17200 8361 
17300 8131 
17400 7728 
17500 7208 
17600 6819 
17700 6737 
17800 6979 
17900 7352 
18000 7708 
18100 8018 
18200 8308 
18300 8538 
18400 8658 
18500 8643 
18600 8343 
18700 7971 
18800 7595 
18900 7369 
19000 7482 
19100 7519 
19200 7612 
19300 7538 
19400 7693 
19500 7876 
19600 7885 
19700 7957 
19800 7952 
19900 7987 
20000 7955 
20100 7758 
20200 7662 
20300 7469 
20400 7465 
20500 7537 
20600 7603 
20700 7652 
20800 7743 
20900 7875 
21000 7954 
21100 7841 
21200 7620 
21300 7556 
21400 7701 
21500 7809 
21600 7890 
21700 8069 
21800 8160 
21900 8159 
22000 8268 
22100 8329 
22200 8260 
22300 8342 
22400 8166 
22500 8003 
22600 7833 
22700 7831 
22800 7875 
22900 8037 
23000 7858 
23100 7877 
23200 7558 
23300 7647 
23400 7845 
23500 7891 
23600 7772 
23700 7726 
23800 7745 
23900 7948 
24000 8258 
24100 8491 
24200 8654 
24300 8562 
24400 8343 
24500 8232 
24600 8211 
24700 8155 
24800 8323 
24900 8187 
25000 8278 
25100 8045 
25200 7849 
25300 7816 
25400 7942 
25500 8174 
25600 8272 
25700 8298 
25800 8208 
25900 8006 
26000 7890 
26100 7775 
26200 7778 
26300 7745 
26400 7876 
26500 7999 
26600 8214 
26700 8267 
26800 8069 
26900 8137 
27000 8053 
27100 8045 
27200 8003 
27300 7798 
27400 7817 
27500 7689 
27600 7806 
27700 7776 
27800 7841 
27900 7564 
28000 7556 
28100 7521 
28200 7687 
28300 7808 
28400 7850 
28500 7788 
28600 7668 
28700 7723 
28800 7842 
28900 7686 
29000 7728 
29100 7749 
29200 8093 
29300 8369 
29400 8594 
29500 8591 
29600 8784 
29700 8698 
29800 8517 
29900 8154 
30000 7997 
30100 7999 
30200 8108 
30300 8316 
30400 8447 
30500 8476 
30600 8604 
30700 8582 
30800 8450 
30900 8168 
31000 8026 
31100 7783 
31200 7822 
31300 7984 
31400 8211 
31500 8451 
31600 8606 
31700 8552 
31800 8468 
31900 8263 
32000 7952 
32100 7976 
32200 8047 
32300 8337 
32400 8291 
32500 8361 
32600 8473 
32700 8445 
32800 8285 
32900 8185 
33000 8101 
33100 8117 
33200 8175 
33300 8355 
33400 8503 
33500 8457 
33600 8319 
33700 8116 
33800 8337 
33900 8309 
34000 8259 
34100 8158 
34200 8083 
34300 8051 
34400 8069 
34500 8133 
34600 8147 
34700 8235 
34800 8229 
34900 8196 
35000 8139 
35100 8092 
35200 8120 
35300 8053 
35400 7943 
35500 8061 
35600 8270 
35700 8429 
35800 8573 
35900 8649 
36000 8536 
36100 8211 
36200 7839 
36300 7587 
36400 7571 
36500 7607 
36600 7708 
36700 8031 
36800 8605 
36900 8897 
37000 9224 
37100 9275 
37200 9056 
37300 8582 
37400 8083 
37500 7781 
37600 7568 
37700 7684 
37800 7840 
37900 8077 
38000 8329 
38100 8584 
38200 8938 
38300 8934 
38400 8793 
38500 8256 
38600 8029 
38700 7672 
38800 7623 
38900 7456 
39000 7623 
39100 7830 
39200 7973 
39300 8073 
39400 8235 
39500 8389 
39600 8522 
39700 8379 
39800 8197 
39900 7956 
40000 7831 
40100 7825 
40200 8033 
40300 8163 
40400 8115 
40500 7955 
40600 7730 
40700 7584 
40800 7484 
40900 7661 
41000 7771 
41100 7920 
41200 7700 
41300 7703 
41400 7684 
41500 7804 
41600 7980 
41700 8068 
41800 8331 
41900 8435 
42000 8421 
42100 8373 
42200 8115 
42300 7889 
42400 7570 
42500 7523 
42600 7657 
42700 7842 
42800 7959 
42900 8012 
43000 8152 
43100 8249 
43200 8408 
43300 8543 
43400 8490 
43500 8428 
43600 8256 
43700 8106 
43800 7983 
43900 7818 
44000 7833 
44100 7795 
44200 7900 
44300 7950 
44400 7867 
44500 7689 
44600 7730 
44700 7855 
44800 7946 
44900 7905 
45000 7925 
45100 7807 
45200 7834 
45300 8030 
45400 8091 
45500 8200 
45600 8396 
45700 8652 
45800 8785 
45900 8811 
46000 8521 
46100 8264 
46200 7941 
46300 7739 
46400 7785 
46500 7805 
46600 8237 
46700 8461 
46800 8452 
46900 8677 
47000 8589 
47100 8334 
47200 7988 
47300 7694 
47400 7687 
47500 7768 
47600 7961 
47700 8207 
47800 8288 
47900 8300 
48000 8155 
48100 8315 
48200 8358 
48300 8192 
48400 8281 
48500 8191 
48600 8337 
48700 8294 
48800 8260 
48900 8412 
49000 8375 
49100 8266 
49200 8096 
49300 7949 
49400 8273 
49500 8340 
49600 8266 
49700 8137 
49800 7931 
49900 7889 
50000 7638 
50100 7819 
50200 7967 
50300 8136 
50400 8161 
50500 8246 
50600 8110 
50700 7983 
50800 8147 
50900 8407 
51000 8640 
51100 8862 
51200 8903 
51300 8635 
51400 8343 
51500 8140 
51600 7836 
51700 7724 
51800 7657 
51900 7706 
52000 7830 
52100 8069 
52200 8222 
52300 8394 
52400 8500 
52500 8588 
52600 8532 
52700 8376 
52800 8294 
52900 8119 
53000 7928 
53100 7631 
53200 7474 
53300 7656 
53400 7745 
53500 7736 
53600 7876 
53700 7908 
53800 8241 
53900 8508 
54000 8610 
54100 8429 
54200 8212 
54300 8131 
54400 8311 
54500 8407 
54600 8414 
54700 8362 
54800 8300 
54900 8214 
55000 7987 
55100 7721 
55200 7608 
55300 7838 
55400 8074 
55500 8030 
55600 7708 
55700 7578 
55800 7444 
55900 7589 
56000 7755 
56100 8013 
56200 8282 
56300 8430 
56400 8558 
56500 8354 
56600 8056 
56700 7835 
56800 7726 
56900 7868 
57000 7937 
57100 8031 
57200 8027 
57300 7980 
57400 8065 
57500 8239 
57600 8411 
57700 8561 
57800 8505 
57900 8272 
58000 7905 
58100 7833 
58200 7778 
58300 7866 
58400 8262 
58500 8378 
58600 8465 
58700 8157 
58800 7851 
58900 7639 
59000 7507 
59100 7793 
59200 7819 
59300 7831 
59400 7960 
59500 7899 
59600 7864 
59700 7692 
59800 7584 
59900 7502 
60000 7612 
60100 7727 
60200 7730 
60300 7906 
60400 8042 
60500 8134 
60600 8355 
60700 8426 
60800 8568 
60900 8506 
61000 8386 
61100 8264 
61200 8203 
61300 8302 
61400 8122 
61500 8057 
61600 7899 
61700 7838 
61800 7830 
61900 7907 
62000 8055 
62100 8121 
62200 7961 
62300 7885 
62400 7879 
62500 8110 
62600 8316 
62700 8582 
62800 8851 
62900 8809 
63000 8733 
63100 8476 
63200 8167 
63300 7945 
63400 7839 
63500 7739 
63600 7848 
63700 7792 
63800 7835 
63900 7977 
64000 8163 
64100 8387 
64200 8485 
64300 8450 
64400 8356 
64500 8272 
64600 8007 
64700 7871 
64800 7788 
64900 7690 
65000 7602 
65100 7702 
65200 7804 
65300 8070 
65400 8184 
65500 8075 
65600 7975 
65700 8037 
65800 7972 
65900 7829 
66000 7744 
66100 7775 
66200 7887 
66300 7878 
66400 7951 
66500 7764 
66600 7665 
66700 7317 
66800 7283 
66900 7419 
67000 7919 
67100 8292 
67200 8502 
67300 8531 
67400 8423 
67500 8285 
67600 8154 
67700 8042 
67800 7795 
67900 7691 
68000 7652 
68100 7791 
68200 7927 
68300 7971 
68400 7946 
68500 7906 
68600 8201 
68700 8399 
68800 8540 
68900 8445 
69000 8217 
69100 8201 
69200 8162 
69300 8214 
69400 8383 
69500 8427 
69600 8397 
69700 8204 
69800 7895 
69900 7670 
70000 7584 
70100 7652 
70200 7871 
70300 8170 
70400 8335 
70500 8489 
70600 8364 
70700 8268 
70800 8118 
70900 8282 
71000 8281 
71100 8375 
71200 8083 
71300 7924 
71400 7809 
71500 7740 
71600 7813 
71700 7804 
71800 7755 
71900 8048 
72000 8283 
72100 8517 
72200 8613 
72300 8465 
72400 8218 
72500 7957 
72600 7758 
72700 7524 
72800 7387 
72900 7262 
73000 7410 
73100 7770 
73200 8204 
73300 8282 
73400 8468 
73500 8543 
73600 8408 
73700 8133 
73800 7949 
73900 7830 
74000 7807 
74100 7989 
74200 8122 
74300 8575 
74400 8852 
74500 9003 
74600 8975 
74700 8707 
74800 8375 
74900 8144 
75000 7849 
