# Sat Aug 29 12:07:46 2020
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
100 1 0 1 0 0 
200 1 0 1 0 0 
300 1 0 1 0 0 
400 1 0 1 0 0 
500 1 0 1 0 0 
600 1 0 1 0 0 
700 1 0 1 0 0 
800 1 0 1 0 0 
900 1 0 1 0 0 
1000 1 0 1 0 0 
1100 1 0 1 0 0 
1200 1 0 1 0 0 
1300 1 0 1 0 0 
1400 1 0 1 0 0 
1500 1 0 1 0 0 
1600 1 0 1 0 0 
1700 1 0 1 0 0 
1800 1 0 1 0 0 
1900 1 0 1 0 0 
2000 1 0 1 0 0 
2100 1 0 1 0 0 
2200 1 0 1 0 0 
2300 1 0 1 0 0 
2400 1 0 1 0 0 
2500 1 0 1 0 0 
2600 1 0 1 0 0 
2700 1 0 1 0 0 
2800 1 0 1 0 0 
2900 1 0 1 0 0 
3000 1 0 1 0 0 
3100 2 0.0933676 2 0 0.0119356 
3200 2 0.186106 2 0 0.0283612 
3300 2 0.3186 2 0 0.0577879 
3400 2 0.499481 2 0 0.109856 
3500 2 0.715765 2 0 0.19694 
3600 2 0.889872 2 0 0.307164 
3700 2 0.982359 2 0 0.421969 
3800 2 0.986042 2 0 0.569439 
3900 2 0.880028 2 0 0.70103 
4000 2 0.773299 2 0 0.772687 
4100 2 0.773931 2 0 0.772328 
4200 2 0.866808 2 0 0.711475 
4300 2 0.920486 2 0 0.664461 
4400 2 0.906173 2 0 0.678344 
4500 2 0.87748 2 0 0.70309 
4600 2 0.820501 2 0 0.744097 
4700 2 0.793053 2 0 0.761192 
4800 2 0.785321 2 0 0.765765 
4900 2 0.79983 2 0 0.7571 
5000 2 0.817663 2 0 0.745932 
5100 2 0.813499 2 0 0.748594 
5200 2 0.808908 2 0 0.75149 
5300 2 0.803944 2 0 0.754576 
5400 2 0.806259 2 0 0.753143 
5500 2 0.803826 2 0 0.754649 
5600 2 0.810166 2 0 0.7507 
5700 2 0.815608 2 0 0.74725 
5800 2 0.807971 2 0 0.752076 
5900 2 0.817723 2 0 0.745893 
6000 2 0.816455 2 0 0.746708 
6100 2 0.83199 2 0 0.736495 
6200 2 0.834607 2 0 0.734722 
6300 2 0.843504 2 0 0.728574 
6400 2 0.847532 2 0 0.725725 
6500 2 0.835384 2 0 0.734192 
6600 2 0.84112 2 0 0.73024 
6700 2 0.833604 2 0 0.735403 
6800 2 0.82823 2 0 0.739014 
6900 2 0.834903 2 0 0.73452 
7000 2 0.843051 2 0 0.728892 
7100 2 0.865141 2 0 0.712751 
7200 2 0.876672 2 0 0.703739 
7300 2 0.883288 2 0 0.698359 
7400 2 0.880957 2 0 0.700273 
7500 2 0.878156 2 0 0.702547 
7600 2 0.875472 2 0 0.704698 
7700 2 0.878704 2 0 0.702104 
7800 2 0.894008 2 0 0.689276 
7900 2 0.892493 2 0 0.690589 
8000 2 0.891518 2 0 0.691428 
8100 2 0.887905 2 0 0.694505 
8200 2 0.884051 2 0 0.697727 
8300 2 0.898119 2 0 0.685661 
8400 2 0.913618 2 0 0.671275 
8500 2 0.903067 2 0 0.681204 
8600 2 0.894975 2 0 0.688432 
8700 2 0.8994 2 0 0.684519 
8800 2 0.906193 2 0 0.678325 
8900 2 0.902868 2 0 0.681386 
9000 2 0.906915 2 0 0.677654 
9100 2 0.905777 2 0 0.678712 
9200 2 0.903652 2 0 0.68067 
9300 2 0.906797 2 0 0.677763 
9400 2 0.907813 2 0 0.676814 
9500 2 0.913467 2 0 0.671422 
9600 2 0.91471 2 0 0.670211 
9700 2 0.925804 2 0 0.658967 
9800 2 0.932831 2 0 0.651379 
9900 2 0.922342 2 0 0.662566 
10000 2 0.915487 2 0 0.66945 
10100 2 0.904928 2 0 0.679496 
10200 2 0.925088 2 0 0.659719 
10300 2 0.923472 2 0 0.661401 
10400 2 0.914601 2 0 0.670318 
10500 2 0.913813 2 0 0.671086 
10600 2 0.909524 2 0 0.675201 
10700 2 0.905335 2 0 0.679121 
10800 2 0.908728 2 0 0.675953 
10900 2 0.908962 2 0 0.675732 
11000 2 0.925414 2 0 0.659376 
11100 2 0.929397 2 0 0.655136 
11200 2 0.930068 2 0 0.65441 
11300 2 0.931318 2 0 0.653046 
11400 2 0.941022 2 0 0.641986 
11500 2 0.93369 2 0 0.650423 
11600 2 0.923814 2 0 0.661047 
11700 2 0.905647 2 0 0.678832 
11800 2 0.904801 2 0 0.679614 
11900 2 0.897059 2 0 0.6866 
12000 2 0.881853 2 0 0.69954 
12100 2 0.89907 2 0 0.684813 
12200 2 0.917361 2 0 0.667598 
12300 2 0.936129 2 0 0.647673 
12400 2 0.957378 2 0 0.620937 
12500 2 0.96024 2 0 0.616845 
12600 2 0.960537 2 0 0.616411 
12700 2 0.951114 2 0 0.629423 
12800 2 0.936482 2 0 0.64727 
12900 2 0.924918 2 0 0.659896 
13000 2 0.911894 2 0 0.67294 
13100 2 0.896472 2 0 0.687118 
13200 2 0.896875 2 0 0.686763 
13300 2 0.9077 2 0 0.676919 
13400 2 0.925489 2 0 0.659297 
13500 2 0.939396 2 0 0.643902 
13600 2 0.942242 2 0 0.64053 
13700 2 0.944856 2 0 0.637357 
13800 2 0.945077 2 0 0.637084 
13900 2 0.937947 2 0 0.645588 
14000 2 0.934374 2 0 0.649657 
14100 2 0.935321 2 0 0.64859 
14200 2 0.935928 2 0 0.647902 
14300 2 0.928239 2 0 0.656382 
14400 2 0.922169 2 0 0.662743 
14500 2 0.91015 2 0 0.674607 
14600 2 0.914629 2 0 0.670291 
14700 2 0.921894 2 0 0.663026 
14800 2 0.934252 2 0 0.649794 
14900 2 0.94448 2 0 0.637817 
15000 2 0.93571 2 0 0.64815 
15100 2 0.938032 2 0 0.64549 
15200 2 0.940891 2 0 0.642141 
15300 2 0.931126 2 0 0.653256 
15400 2 0.927116 2 0 0.65758 
15500 2 0.929191 2 0 0.655359 
15600 2 0.933529 2 0 0.650602 
15700 2 0.929141 2 0 0.655413 
15800 2 0.927467 2 0 0.657206 
15900 2 0.928464 2 0 0.656141 
16000 2 0.933455 2 0 0.650684 
16100 2 0.932973 2 0 0.651221 
16200 2 0.934769 2 0 0.649213 
