# Fri Sep 25 14:19:08 2020
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
100 1 0 1 0 1 
200 1 0 1 0 1 
300 1 0 1 0 1 
400 2 0.00816306 2 0 1 
500 2 0.00585107 2 0 1 
600 3 0.0109839 3 0 1 
700 2 0.00962218 4 0 1 
800 3 0.0207755 6 0 1 
900 3 0.0353328 9 0 1 
1000 3 0.0384207 9 0 1 
1100 4 0.0488422 11 0.000178068 1.00019 
1200 4 0.0542575 14 0.000153999 1.00017 
1300 4 0.0586056 14 0.000276512 1.0003 
1400 5 0.0628354 19 6.0758e-05 1.00007 
1500 5 0.0732272 19 0.000276678 1.0003 
1600 6 0.0747684 22 0.000205021 1.00022 
1700 6 0.0749811 23 0.000527411 1.00056 
1800 6 0.0776393 25 0.000576993 1.00062 
1900 6 0.0793533 25 0.000848774 1.0009 
2000 6 0.0837342 27 0.000876102 1.00094 
2100 6 0.0872843 25 0.000883011 1.00095 
2200 6 0.0911361 28 0.000968424 1.00103 
2300 6 0.0963136 26 0.00109165 1.00116 
2400 6 0.105219 29 0.00148305 1.00158 
2500 6 0.1066 31 0.00129952 1.0014 
2600 6 0.114678 35 0.00166279 1.00182 
2700 6 0.114071 35 0.00193866 1.00209 
2800 6 0.117628 36 0.00208823 1.00222 
2900 7 0.118684 37 0.00224598 1.00238 
3000 7 0.115347 40 0.00198216 1.00209 
3100 6 0.117027 38 0.00216171 1.00229 
3200 6 0.121085 37 0.002557 1.00269 
3300 6 0.128516 41 0.00318228 1.00335 
3400 6 0.135186 44 0.00323913 1.00343 
3500 6 0.13549 43 0.00293511 1.00313 
3600 6 0.137969 39 0.00280114 1.003 
3700 7 0.142138 44 0.0032369 1.00343 
3800 6 0.146128 42 0.00375236 1.00394 
3900 6 0.156571 41 0.00432938 1.0045 
4000 6 0.159023 41 0.00456036 1.00474 
4100 6 0.17063 40 0.00528123 1.00548 
4200 6 0.178087 38 0.00576365 1.00601 
4300 6 0.191513 45 0.00741375 1.00779 
4400 6 0.202448 43 0.00803218 1.00837 
4500 6 0.218775 44 0.00896362 1.0093 
4600 7 0.239873 45 0.00949664 1.0098 
4700 7 0.266994 48 0.010354 1.01071 
4800 7 0.28793 45 0.0105036 1.01086 
4900 7 0.326075 46 0.0119034 1.01233 
5000 7 0.365159 50 0.0126473 1.01307 
5100 6 0.413327 44 0.0143931 1.01491 
5200 7 0.46697 47 0.0156865 1.01625 
5300 8 0.524 48 0.0152272 1.01576 
5400 7 0.58611 49 0.0159016 1.01653 
5500 7 0.649111 46 0.0172977 1.01805 
5600 8 0.704141 50 0.0173922 1.01817 
5700 10 0.756899 51 0.0170078 1.01775 
5800 9 0.820901 42 0.0189306 1.01979 
5900 9 0.875093 42 0.0198236 1.02083 
6000 9 0.936888 44 0.0206368 1.02169 
6100 9 0.994203 49 0.0214384 1.02251 
6200 9 1.04136 47 0.0198273 1.02086 
6300 9 1.11294 50 0.0220964 1.02323 
6400 9 1.1736 52 0.0229399 1.02415 
6500 9 1.23357 60 0.0243757 1.02561 
6600 10 1.28413 62 0.024965 1.02614 
6700 10 1.33511 64 0.026685 1.02795 
6800 11 1.40073 67 0.0298881 1.03132 
6900 11 1.44731 70 0.0321298 1.03361 
7000 13 1.47987 73 0.0330989 1.03469 
7100 12 1.51542 73 0.034173 1.03581 
7200 12 1.55037 73 0.0370227 1.03889 
7300 13 1.56835 79 0.03707 1.03885 
7400 13 1.60539 86 0.0372932 1.03912 
7500 12 1.619 89 0.0368919 1.03867 
7600 12 1.65417 81 0.0389249 1.04073 
7700 11 1.68297 80 0.0412722 1.04324 
7800 11 1.7126 85 0.0421421 1.04415 
7900 12 1.75686 92 0.0460237 1.04829 
8000 13 1.77641 90 0.0466596 1.04884 
8100 13 1.81247 92 0.0491623 1.05143 
8200 13 1.84363 90 0.0498557 1.05209 
8300 13 1.8819 94 0.0526899 1.05501 
8400 13 1.91617 90 0.0556241 1.05788 
8500 14 1.94384 103 0.0571357 1.05959 
8600 14 1.97617 100 0.058175 1.0606 
8700 14 1.9961 98 0.0594064 1.06187 
8800 13 2.03277 101 0.0622166 1.06498 
8900 14 2.05169 99 0.0620802 1.06486 
9000 14 2.07903 100 0.0633071 1.06592 
9100 13 2.10744 101 0.0633135 1.06584 
9200 15 2.14338 108 0.0665724 1.06932 
9300 15 2.16801 111 0.0671847 1.07004 
9400 15 2.18283 112 0.0671144 1.06976 
9500 15 2.19635 115 0.066314 1.06903 
9600 15 2.20278 112 0.0653287 1.06792 
9700 15 2.2129 119 0.0652019 1.068 
9800 15 2.21863 116 0.0624625 1.06518 
9900 14 2.2164 112 0.0591742 1.06163 
10000 14 2.22671 111 0.05918 1.06171 
10100 13 2.24462 110 0.0598399 1.06243 
10200 14 2.24652 111 0.0579888 1.06038 
10300 14 2.24958 112 0.0568241 1.05918 
10400 13 2.25629 109 0.0565853 1.05892 
10500 12 2.2665 115 0.0580794 1.06046 
10600 13 2.27824 119 0.0588064 1.06117 
10700 14 2.29258 126 0.0609918 1.06318 
10800 14 2.3058 128 0.0626236 1.06486 
10900 15 2.32411 135 0.0648382 1.06722 
11000 13 2.34125 123 0.0663953 1.06875 
11100 13 2.34421 123 0.0669264 1.06928 
11200 14 2.35257 123 0.0668506 1.069 
11300 15 2.36489 121 0.0673973 1.06958 
11400 15 2.37268 131 0.0677894 1.07001 
11500 13 2.38023 132 0.0670624 1.06931 
11600 13 2.3782 135 0.0665854 1.06881 
11700 13 2.38468 136 0.0659359 1.06826 
11800 14 2.39302 143 0.0657342 1.06809 
11900 14 2.39753 142 0.0664624 1.06871 
12000 15 2.40644 143 0.0660729 1.06825 
12100 14 2.41054 151 0.0657582 1.06787 
12200 14 2.43694 150 0.0693198 1.07171 
12300 16 2.45129 149 0.0704617 1.07292 
12400 16 2.46293 159 0.0715222 1.07394 
12500 16 2.48797 151 0.0748192 1.07737 
