# Fri Sep 25 15:09:38 2020
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
100 1 0 1 0 0 
200 1 0 1 0 0 
300 1 0 1 0 0 
400 1 0 1 0 0 
500 1 0 1 0 0 
600 1 0 1 0 0 
700 1 0 1 0 0 
800 1 0 1 0 0 
900 1 0 1 0 0 
1000 1 0 1 0 0 
1100 1 0 1 0 0 
1200 1 0 1 0 0 
1300 1 0 1 0 0 
1400 1 0 1 0 0 
1500 1 0 1 0 0 
1600 1 0 1 0 0 
1700 1 0 1 0 0 
1800 1 0 1 0 0 
1900 1 0 1 0 0 
2000 1 0 1 0 0 
2100 1 0 1 0 0 
2200 1 0 1 0 0 
2300 1 0 1 0 0 
2400 1 0 1 0 0 
2500 1 0 1 0 0 
2600 1 0 1 0 0 
2700 1 0 1 0 0 
2800 1 0 1 0 0 
2900 1 0 1 0 0 
3000 1 0 1 0 0 
3100 3 0.0719794 3 0 0.00860397 
3200 3 0.107614 3 0 0.0141607 
3300 3 0.130361 3 0 0.017989 
3400 3 0.17019 3 0 0.025104 
3500 3 0.21247 3 0 0.0335197 
3600 3 0.261605 3 0 0.0440437 
3700 4 0.321688 4 0 0.0581693 
3800 4 0.395148 6 0 0.0774668 
3900 3 0.463033 4 0 0.0976371 
4000 3 0.557336 7 0 0.129235 
4100 6 0.646634 12 3.71016e-05 0.162542 
4200 6 0.730396 11 3.77729e-05 0.200725 
4300 5 0.816878 13 0 0.248173 
4400 5 0.895211 20 0 0.3029 
4500 5 0.958341 17 0 0.368726 
4600 5 0.999576 15 0 0.43213 
4700 6 1.01177 17 4.50146e-05 0.478956 
4800 5 1.01499 18 0 0.507255 
4900 5 1.01414 25 0 0.522207 
5000 6 1.01625 23 0.000147189 0.509714 
5100 6 1.01634 20 4.94829e-05 0.493097 
5200 6 1.01309 20 0.000147863 0.474937 
5300 6 1.01376 22 0.000195398 0.460896 
5400 6 1.00622 18 4.84848e-05 0.447709 
5500 6 1.01172 20 0.000149216 0.452849 
5600 5 1.0074 15 0 0.45026 
5700 6 1.00331 16 4.85814e-05 0.437719 
5800 6 1.00143 13 4.85555e-05 0.420782 
5900 6 0.987896 16 9.73094e-05 0.397168 
6000 6 0.975852 13 0.000193097 0.378084 
6100 6 0.967397 15 0.000241068 0.362133 
6200 5 0.946721 16 0.000239808 0.33693 
6300 5 0.927747 11 0.000381243 0.315288 
6400 6 0.890954 12 0.000368231 0.287465 
6500 5 0.842932 13 0.000279161 0.257386 
6600 6 0.807557 13 0.000230181 0.235982 
6700 7 0.781995 15 0.000404581 0.219886 
6800 6 0.753654 8 0.000492765 0.20723 
6900 5 0.727852 10 0.000710038 0.19211 
7000 6 0.700878 12 0.000965759 0.177173 
7100 6 0.670616 10 0.000693481 0.164658 
7200 6 0.638537 12 0.000600601 0.150365 
7300 5 0.608213 12 0.000847314 0.136841 
7400 6 0.58425 12 0.00142653 0.12478 
7500 6 0.571158 15 0.00188719 0.118212 
7600 7 0.566921 13 0.00228089 0.113956 
7700 7 0.562177 15 0.00418432 0.10932 
7800 7 0.574641 13 0.00605278 0.110241 
7900 6 0.58683 12 0.00753507 0.111142 
8000 6 0.613873 10 0.00898251 0.116216 
8100 6 0.637169 11 0.0105071 0.121146 
8200 6 0.635932 11 0.0130237 0.121443 
8300 6 0.648785 15 0.016259 0.125727 
8400 8 0.666897 18 0.0204584 0.13195 
8500 8 0.702365 16 0.0260275 0.143755 
8600 8 0.760364 19 0.0322993 0.162135 
8700 10 0.788665 19 0.0388271 0.17317 
8800 9 0.822347 19 0.0451523 0.186734 
8900 10 0.878389 18 0.0528723 0.207286 
9000 8 0.924682 20 0.0591767 0.224388 
9100 9 0.971689 18 0.065545 0.242674 
9200 10 0.983785 22 0.063889 0.243392 
9300 9 1.01291 24 0.0654202 0.250783 
9400 10 1.06231 22 0.0672261 0.263896 
9500 10 1.10741 25 0.074549 0.282873 
9600 11 1.14179 26 0.0774554 0.291602 
9700 11 1.15002 28 0.0787018 0.293922 
9800 12 1.138 32 0.0755839 0.285803 
9900 11 1.09779 24 0.0742631 0.272099 
10000 11 1.06086 28 0.0711125 0.257503 
10100 12 1.04301 28 0.0714896 0.25168 
10200 12 1.01186 32 0.0690453 0.240333 
10300 13 0.98198 31 0.0657143 0.228916 
10400 12 0.980582 26 0.0672523 0.229723 
10500 11 0.952854 25 0.0644531 0.221164 
10600 11 0.929965 29 0.0577427 0.209325 
10700 13 0.902945 31 0.0536832 0.199757 
10800 12 0.898725 30 0.0521225 0.196833 
10900 13 0.889382 29 0.0513282 0.191154 
11000 14 0.876149 30 0.053874 0.188969 
11100 13 0.857808 26 0.0552543 0.185803 
11200 13 0.850563 25 0.0554449 0.183392 
11300 11 0.840535 25 0.0528562 0.177265 
11400 11 0.856446 28 0.0513595 0.176532 
11500 11 0.855327 24 0.049262 0.171376 
11600 13 0.888551 27 0.0538179 0.180341 
11700 14 0.909157 24 0.0562847 0.184639 
11800 14 0.942781 25 0.0612369 0.194999 
11900 14 0.932331 27 0.0631299 0.194155 
12000 13 0.924403 25 0.0641063 0.193604 
12100 13 0.919243 24 0.0644186 0.192086 
12200 13 0.900045 26 0.0651856 0.188279 
12300 13 0.885192 26 0.0655473 0.185543 
12400 13 0.89942 22 0.0707031 0.191892 
12500 13 0.88578 21 0.0720856 0.189895 
12600 14 0.885225 27 0.0724248 0.190152 
12700 14 0.896213 30 0.0759231 0.195384 
12800 14 0.905033 24 0.0777211 0.197951 
12900 14 0.909901 23 0.0796644 0.201218 
13000 14 0.928138 22 0.0843905 0.210524 
13100 14 0.937887 22 0.0842514 0.212619 
13200 14 0.945746 20 0.0878124 0.217328 
13300 14 0.955768 24 0.0907696 0.222633 
13400 15 0.942483 27 0.0892989 0.218498 
13500 14 0.91408 30 0.0864406 0.211081 
13600 14 0.882687 29 0.081199 0.200783 
13700 13 0.859786 24 0.0767461 0.191815 
13800 14 0.873529 27 0.0758311 0.192003 
13900 15 0.906564 31 0.0789251 0.200452 
14000 15 0.898922 29 0.0775517 0.198001 
14100 16 0.894716 37 0.0785804 0.198114 
14200 14 0.883524 31 0.0763773 0.193783 
