# Avida Dominant Parasite Data
# Fri Sep 25 16:06:07 2020
#  1: Update
#  2: Number of Extant Parasites

0 0 
100 0 
200 0 
300 0 
400 0 
500 0 
600 0 
700 0 
800 0 
900 0 
1000 0 
1100 0 
1200 0 
1300 0 
1400 0 
1500 0 
1600 0 
1700 0 
1800 0 
1900 0 
2000 0 
2100 0 
2200 0 
2300 0 
2400 0 
2500 0 
2600 0 
2700 0 
2800 0 
2900 0 
3000 0 
3100 259 
3200 473 
3300 744 
3400 1013 
3500 1583 
3600 2368 
3700 3440 
3800 4975 
3900 7005 
4000 9158 
4100 11131 
4200 12315 
4300 12510 
4400 11862 
4500 10897 
4600 10082 
4700 9711 
4800 9591 
4900 9650 
5000 9660 
5100 9632 
5200 9297 
5300 8858 
5400 8511 
5500 8149 
5600 7673 
5700 6969 
5800 6240 
5900 5598 
6000 4946 
6100 4597 
6200 4342 
6300 4341 
6400 4214 
6500 4162 
6600 4115 
6700 4151 
6800 4286 
6900 4312 
7000 4268 
7100 4358 
7200 4529 
7300 4837 
7400 5027 
7500 5099 
7600 5047 
7700 4953 
7800 4871 
7900 4827 
8000 4773 
8100 4467 
8200 4379 
8300 4267 
8400 4160 
8500 4112 
8600 4175 
8700 4226 
8800 4205 
8900 4189 
9000 4375 
9100 4566 
9200 4884 
9300 4978 
9400 5099 
9500 5238 
9600 5206 
9700 5202 
9800 4995 
9900 4980 
10000 4823 
10100 4863 
10200 4892 
10300 4748 
10400 4669 
10500 4600 
10600 4376 
10700 4398 
10800 4596 
10900 4873 
11000 5051 
11100 5176 
11200 5056 
11300 4765 
11400 4705 
11500 4722 
11600 4845 
11700 5029 
11800 5080 
11900 5053 
12000 5084 
12100 5025 
12200 5006 
12300 5125 
12400 5153 
12500 4929 
12600 4905 
12700 4945 
12800 5024 
12900 5161 
13000 5338 
13100 5594 
13200 5634 
13300 5683 
13400 5986 
13500 6232 
13600 6221 
13700 6273 
13800 6277 
13900 6109 
14000 5920 
14100 5938 
14200 6048 
14300 5931 
14400 6048 
14500 6087 
14600 6130 
14700 6099 
14800 6178 
14900 6165 
15000 6051 
15100 5941 
15200 6193 
15300 6336 
15400 6451 
15500 6323 
15600 6397 
15700 6315 
15800 6159 
15900 5942 
16000 5880 
16100 5866 
16200 5996 
16300 6045 
16400 5876 
16500 5841 
16600 5724 
16700 5506 
16800 5338 
16900 5145 
17000 4906 
17100 4886 
17200 4753 
17300 4700 
17400 4641 
17500 4550 
17600 4313 
17700 4214 
17800 4046 
17900 3890 
18000 3847 
18100 3887 
18200 3866 
18300 3851 
18400 3711 
18500 3765 
18600 3838 
18700 3709 
18800 3478 
18900 3323 
19000 3151 
19100 3103 
19200 2941 
19300 2821 
19400 2591 
19500 2367 
19600 2216 
19700 2123 
19800 2042 
19900 1949 
20000 1948 
20100 1905 
20200 1908 
20300 1864 
20400 1996 
20500 2153 
20600 2300 
20700 2525 
20800 2999 
20900 3578 
21000 4333 
21100 4751 
21200 4989 
21300 5061 
21400 5101 
21500 5189 
21600 5363 
21700 5464 
21800 5577 
21900 5718 
22000 5785 
22100 5696 
22200 5680 
22300 5744 
22400 5609 
22500 5651 
22600 5670 
22700 5653 
22800 5608 
22900 5719 
23000 5925 
23100 6051 
23200 6004 
23300 6020 
23400 5970 
23500 5946 
23600 5976 
23700 6046 
23800 6123 
23900 6248 
24000 6299 
24100 6153 
24200 6177 
24300 6124 
24400 6155 
24500 6170 
24600 6191 
24700 6146 
24800 6138 
24900 6120 
25000 6144 
25100 6115 
25200 6081 
25300 6119 
25400 6047 
25500 5959 
25600 5925 
25700 6247 
25800 6508 
25900 6637 
26000 6791 
26100 6738 
26200 6612 
26300 6742 
26400 6974 
26500 7172 
26600 7221 
26700 6944 
26800 6684 
26900 6714 
27000 6726 
27100 6742 
27200 6705 
27300 6632 
27400 6619 
27500 6474 
27600 6391 
27700 6477 
27800 6526 
27900 6407 
28000 6225 
28100 6164 
28200 6086 
28300 6130 
28400 5937 
28500 5732 
28600 5658 
28700 5851 
28800 6297 
28900 6556 
29000 6501 
29100 6401 
29200 6333 
29300 6584 
29400 6624 
29500 6726 
29600 6682 
29700 6549 
29800 6458 
29900 6448 
30000 6549 
30100 6609 
30200 6684 
30300 6658 
30400 6521 
30500 6408 
30600 6456 
30700 6551 
30800 6624 
30900 6529 
31000 6455 
31100 6497 
31200 6525 
31300 6486 
31400 6622 
31500 6586 
31600 6465 
31700 6351 
31800 6364 
31900 6633 
32000 6822 
32100 6832 
32200 6682 
32300 6375 
32400 6353 
32500 6280 
32600 6530 
32700 6654 
32800 6923 
32900 6849 
33000 6758 
33100 6831 
33200 6835 
33300 6719 
33400 6699 
33500 6724 
33600 6950 
33700 7006 
33800 6943 
33900 6808 
34000 6682 
34100 6668 
34200 6735 
34300 6884 
34400 6997 
34500 7153 
34600 7288 
34700 7335 
34800 7340 
34900 7232 
35000 7206 
35100 7142 
35200 7197 
35300 7062 
35400 7025 
35500 6909 
35600 7181 
35700 7241 
35800 7361 
35900 7387 
36000 7326 
36100 7275 
36200 7177 
36300 7233 
36400 7226 
36500 7225 
36600 7374 
36700 7505 
36800 7401 
36900 7219 
37000 7179 
37100 7324 
37200 7703 
37300 7739 
37400 7423 
37500 7081 
37600 6906 
37700 6913 
37800 7190 
37900 7281 
38000 7312 
38100 7389 
38200 7776 
38300 7944 
38400 7761 
38500 7585 
38600 7676 
38700 7895 
38800 7831 
38900 7706 
39000 7508 
39100 7450 
39200 7538 
39300 7424 
39400 7213 
39500 7569 
39600 7792 
39700 7936 
39800 7862 
39900 7684 
40000 7442 
40100 7443 
40200 7532 
40300 7334 
40400 7229 
40500 7443 
40600 7622 
40700 7708 
40800 7806 
40900 7663 
41000 7530 
41100 7430 
41200 7433 
41300 7455 
41400 7367 
41500 7591 
41600 7679 
41700 7844 
41800 7911 
41900 7867 
42000 7603 
42100 7592 
42200 7676 
42300 7801 
42400 7906 
42500 7865 
42600 7968 
42700 8076 
42800 8177 
42900 8200 
43000 8123 
43100 8121 
43200 7912 
43300 7929 
43400 7930 
43500 8107 
43600 8027 
43700 7939 
43800 7813 
43900 7775 
44000 7824 
44100 8022 
44200 7831 
44300 7622 
44400 7743 
44500 7777 
44600 7780 
44700 7984 
44800 8170 
44900 8495 
45000 8384 
45100 8478 
45200 8418 
45300 8430 
45400 8348 
45500 8349 
45600 8477 
45700 8422 
45800 8155 
45900 8015 
46000 8158 
46100 8273 
46200 8269 
46300 8290 
46400 8424 
46500 8305 
46600 8369 
46700 8197 
46800 8236 
46900 8483 
47000 8750 
47100 8624 
47200 8638 
47300 8572 
47400 8575 
47500 8537 
47600 8427 
47700 8290 
47800 8295 
47900 8257 
48000 8295 
48100 8340 
48200 8276 
48300 8121 
48400 8296 
48500 8548 
48600 8598 
48700 8578 
48800 8403 
48900 8245 
49000 8376 
49100 8575 
49200 8373 
49300 8229 
49400 8354 
49500 8446 
49600 8468 
49700 8369 
49800 8328 
49900 8182 
50000 8248 
50100 8253 
50200 8342 
50300 8534 
50400 8587 
50500 8523 
50600 8236 
50700 8214 
50800 8544 
50900 8636 
51000 8703 
51100 8394 
51200 8255 
51300 8268 
51400 8372 
51500 8621 
51600 8715 
51700 8636 
51800 8312 
51900 8194 
52000 8311 
52100 8361 
52200 8401 
52300 8393 
52400 8270 
52500 8428 
52600 8554 
52700 8568 
52800 8436 
52900 8701 
53000 8714 
53100 8765 
53200 8654 
53300 8442 
53400 8212 
53500 8127 
53600 8084 
53700 8180 
53800 8704 
53900 8827 
54000 8708 
54100 8405 
54200 8348 
54300 8185 
54400 8311 
54500 8379 
54600 8621 
54700 8718 
54800 8664 
54900 8354 
55000 8277 
55100 8380 
55200 8347 
55300 8314 
55400 8429 
55500 8397 
55600 8254 
55700 8400 
55800 8479 
55900 8316 
56000 8236 
56100 8269 
56200 8583 
56300 8582 
56400 8484 
56500 8253 
56600 8099 
56700 8121 
56800 8269 
56900 8392 
57000 8270 
57100 8113 
57200 8048 
57300 8314 
57400 8471 
57500 8494 
57600 8259 
57700 8251 
57800 8165 
57900 8301 
58000 8417 
58100 8521 
58200 8511 
58300 8442 
58400 8336 
58500 8520 
58600 8511 
58700 8374 
58800 8453 
58900 8564 
59000 8590 
59100 8823 
59200 8825 
59300 8668 
59400 8444 
59500 8506 
59600 8783 
59700 9062 
59800 9292 
59900 9158 
60000 8955 
60100 8744 
60200 8625 
60300 8540 
60400 8568 
60500 8613 
60600 8677 
60700 8755 
60800 8730 
60900 8931 
61000 8957 
61100 8764 
61200 8798 
61300 8985 
61400 8943 
61500 8870 
61600 8934 
61700 8772 
61800 8710 
61900 8735 
62000 8837 
62100 8965 
62200 8901 
62300 8811 
62400 8797 
62500 8812 
62600 8813 
62700 8772 
62800 8789 
62900 8747 
63000 8690 
63100 8583 
63200 8437 
63300 8444 
63400 8722 
63500 8822 
63600 8784 
63700 8741 
63800 8832 
63900 8796 
64000 8896 
64100 9134 
64200 9177 
64300 9464 
64400 9150 
64500 8825 
64600 8665 
64700 8572 
64800 8331 
64900 8350 
65000 8627 
65100 8943 
65200 9138 
65300 9255 
65400 9049 
65500 8908 
65600 8729 
65700 8696 
65800 8720 
65900 8719 
66000 8688 
66100 8573 
66200 8568 
66300 8643 
66400 8585 
66500 8451 
66600 8442 
66700 8716 
66800 9085 
66900 9304 
67000 9194 
67100 9012 
67200 9048 
67300 8940 
67400 8831 
67500 8792 
67600 8865 
67700 8904 
67800 8804 
67900 8665 
68000 8400 
68100 8192 
68200 8200 
68300 8387 
68400 8683 
68500 8806 
68600 8766 
68700 9022 
68800 9254 
68900 9151 
69000 9001 
69100 8773 
69200 8951 
69300 9028 
69400 9054 
69500 9012 
69600 9074 
69700 9115 
69800 9068 
69900 9096 
70000 9054 
70100 9241 
70200 9257 
70300 9438 
70400 9293 
70500 9273 
70600 9293 
70700 9425 
70800 9390 
70900 9111 
71000 9219 
71100 9346 
71200 9373 
71300 9284 
71400 9151 
71500 9219 
71600 9166 
71700 9192 
71800 9243 
71900 9209 
72000 9055 
72100 9077 
72200 9124 
72300 9171 
72400 9245 
72500 9401 
72600 9449 
72700 9483 
72800 9318 
72900 9348 
73000 9408 
73100 9512 
73200 9473 
73300 9383 
73400 9179 
73500 9105 
73600 9171 
73700 9132 
73800 9242 
73900 9281 
74000 9502 
74100 9514 
74200 9326 
74300 9103 
74400 9008 
74500 9175 
74600 8999 
74700 8933 
74800 9138 
74900 9435 
75000 9615 
